wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max_cc,avg_cc,bug
"b""\\(-inf-9.5]\\''""","b""\\(3.8-4.2]\\''""","b""\\(-inf-5.2]\\''""","b""\\(-inf-6]\\''""","b""\\(-inf-29.7]\\''""","b""\\(-inf-242.5]\\''""","b""\\(-inf-5.7]\\''""","b""\\(-inf-5.5]\\''""","b""\\(5.5-11]\\''""","b""\\(1.8-inf)\\''""","b""\\(-inf-1070.1]\\''""","b""\\(-inf-0.1]\\''""","b""\\(-inf-4.1]\\''""","b""\\(0.9-inf)\\''""","b""\\(0.4-0.5]\\''""","b""\\(-inf-0.4]\\''""","b""\\(-inf-2.5]\\''""","b""\\(-inf-77.98]\\''""","b""\\(-inf-14.7]\\''""","b""\\(-inf-1.33585]\\''""",0
"b""\\(9.5-19]\\''""","b""\\(-inf-1.4]\\''""","b""\\(-inf-5.2]\\''""","b""\\(-inf-6]\\''""","b""\\(-inf-29.7]\\''""","b""\\(-inf-242.5]\\''""","b""\\(-inf-5.7]\\''""","b""\\(-inf-5.5]\\''""","b""\\(11-16.5]\\''""","b""\\(1.8-inf)\\''""","b""\\(-inf-1070.1]\\''""","b""\\(-inf-0.1]\\''""","b""\\(-inf-4.1]\\''""","b""\\(-inf-0.1]\\''""","b""\\(0.4-0.5]\\''""","b""\\(-inf-0.4]\\''""","b""\\(-inf-2.5]\\''""","b""\\(-inf-77.98]\\''""","b""\\(-inf-14.7]\\''""","b""\\(-inf-1.33585]\\''""",0
"b""\\(-inf-9.5]\\''""","b""\\(3.8-4.2]\\''""","b""\\(-inf-5.2]\\''""","b""\\(-inf-6]\\''""","b""\\(-inf-29.7]\\''""","b""\\(-inf-242.5]\\''""","b""\\(-inf-5.7]\\''""","b""\\(-inf-5.5]\\''""","b""\\(-inf-5.5]\\''""","b""\\(1.8-inf)\\''""","b""\\(-inf-1070.1]\\''""","b""\\(-inf-0.1]\\''""","b""\\(-inf-4.1]\\''""","b""\\(0.9-inf)\\''""","b""\\(0.6-0.7]\\''""","b""\\(-inf-0.4]\\''""","b""\\(-inf-2.5]\\''""","b""\\(-inf-77.98]\\''""","b""\\(-inf-14.7]\\''""","b""\\(-inf-1.33585]\\''""",0
"b""\\(9.5-19]\\''""","b""\\(-inf-1.4]\\''""","b""\\(-inf-5.2]\\''""","b""\\(-inf-6]\\''""","b""\\(-inf-29.7]\\''""","b""\\(-inf-242.5]\\''""","b""\\(-inf-5.7]\\''""","b""\\(-inf-5.5]\\''""","b""\\(11-16.5]\\''""","b""\\(1.8-inf)\\''""","b""\\(-inf-1070.1]\\''""","b""\\(-inf-0.1]\\''""","b""\\(-inf-4.1]\\''""","b""\\(-inf-0.1]\\''""","b""\\(0.4-0.5]\\''""","b""\\(-inf-0.4]\\''""","b""\\(-inf-2.5]\\''""","b""\\(-inf-77.98]\\''""","b""\\(-inf-14.7]\\''""","b""\\(-inf-1.33585]\\''""",0
"b""\\(-inf-9.5]\\''""","b""\\(-inf-1.4]\\''""","b""\\(-inf-5.2]\\''""","b""\\(6-12]\\''""","b""\\(-inf-29.7]\\''""","b""\\(-inf-242.5]\\''""","b""\\(5.7-11.4]\\''""","b""\\(-inf-5.5]\\''""","b""\\(5.5-11]\\''""","b""\\(0.8-1]\\''""","b""\\(-inf-1070.1]\\''""","b""\\(-inf-0.1]\\''""","b""\\(-inf-4.1]\\''""","b""\\(-inf-0.1]\\''""","b""\\(0.4-0.5]\\''""","b""\\(0.8-1.2]\\''""","b""\\(-inf-2.5]\\''""","b""\\(-inf-77.98]\\''""","b""\\(-inf-14.7]\\''""","b""\\(-inf-1.33585]\\''""",0
"b""\\(19-28.5]\\''""","b""\\(-inf-1.4]\\''""","b""\\(-inf-5.2]\\''""","b""\\(-inf-6]\\''""","b""\\(29.7-59.4]\\''""","b""\\(-inf-242.5]\\''""","b""\\(-inf-5.7]\\''""","b""\\(-inf-5.5]\\''""","b""\\(11-16.5]\\''""","b""\\(0.8-1]\\''""","b""\\(-inf-1070.1]\\''""","b""\\(0.8-0.9]\\''""","b""\\(-inf-4.1]\\''""","b""\\(-inf-0.1]\\''""","b""\\(0.3-0.4]\\''""","b""\\(-inf-0.4]\\''""","b""\\(-inf-2.5]\\''""","b""\\(-inf-77.98]\\''""","b""\\(-inf-14.7]\\''""","b""\\(1.33585-2.6717]\\''""",1
"b""\\(9.5-19]\\''""","b""\\(-inf-1.4]\\''""","b""\\(-inf-5.2]\\''""","b""\\(36-42]\\''""","b""\\(-inf-29.7]\\''""","b""\\(-inf-242.5]\\''""","b""\\(39.9-45.6]\\''""","b""\\(-inf-5.5]\\''""","b""\\(5.5-11]\\''""","b""\\(-inf-0.2]\\''""","b""\\(-inf-1070.1]\\''""","b""\\(-inf-0.1]\\''""","b""\\(-inf-4.1]\\''""","b""\\(-inf-0.1]\\''""","b""\\(0.4-0.5]\\''""","b""\\(0.8-1.2]\\''""","b""\\(-inf-2.5]\\''""","b""\\(-inf-77.98]\\''""","b""\\(-inf-14.7]\\''""","b""\\(-inf-1.33585]\\''""",0
"b""\\(-inf-9.5]\\''""","b""\\(1.8-2.2]\\''""","b""\\(-inf-5.2]\\''""","b""\\(-inf-6]\\''""","b""\\(-inf-29.7]\\''""","b""\\(-inf-242.5]\\''""","b""\\(-inf-5.7]\\''""","b""\\(-inf-5.5]\\''""","b""\\(5.5-11]\\''""","b""\\(0.6-0.8]\\''""","b""\\(-inf-1070.1]\\''""","b""\\(0.9-inf)\\''""","b""\\(-inf-4.1]\\''""","b""\\(0.3-0.4]\\''""","b""\\(0.2-0.3]\\''""","b""\\(-inf-0.4]\\''""","b""\\(-inf-2.5]\\''""","b""\\(-inf-77.98]\\''""","b""\\(-inf-14.7]\\''""","b""\\(-inf-1.33585]\\''""",0
"b""\\(-inf-9.5]\\''""","b""\\(3.8-4.2]\\''""","b""\\(-inf-5.2]\\''""","b""\\(-inf-6]\\''""","b""\\(-inf-29.7]\\''""","b""\\(-inf-242.5]\\''""","b""\\(-inf-5.7]\\''""","b""\\(-inf-5.5]\\''""","b""\\(5.5-11]\\''""","b""\\(1.8-inf)\\''""","b""\\(-inf-1070.1]\\''""","b""\\(-inf-0.1]\\''""","b""\\(-inf-4.1]\\''""","b""\\(0.9-inf)\\''""","b""\\(0.5-0.6]\\''""","b""\\(0.8-1.2]\\''""","b""\\(5-7.5]\\''""","b""\\(-inf-77.98]\\''""","b""\\(-inf-14.7]\\''""","b""\\(-inf-1.33585]\\''""",0
"b""\\(-inf-9.5]\\''""","b""\\(3.8-4.2]\\''""","b""\\(-inf-5.2]\\''""","b""\\(-inf-6]\\''""","b""\\(-inf-29.7]\\''""","b""\\(-inf-242.5]\\''""","b""\\(-inf-5.7]\\''""","b""\\(-inf-5.5]\\''""","b""\\(-inf-5.5]\\''""","b""\\(1.8-inf)\\''""","b""\\(-inf-1070.1]\\''""","b""\\(-inf-0.1]\\''""","b""\\(-inf-4.1]\\''""","b""\\(0.9-inf)\\''""","b""\\(0.5-0.6]\\''""","b""\\(-inf-0.4]\\''""","b""\\(-inf-2.5]\\''""","b""\\(-inf-77.98]\\''""","b""\\(-inf-14.7]\\''""","b""\\(1.33585-2.6717]\\''""",0
