project,cls_boot,ck_oo_numberOfPrivateMethods,LDHH_lcom,LDHH_fanIn,numberOfNonTrivialBugsFoundUntil:,WCHU_numberOfPublicAttributes,WCHU_numberOfAttributes,CvsWEntropy,LDHH_numberOfPublicMethods,WCHU_fanIn,LDHH_numberOfPrivateAttributes,CvsEntropy,LDHH_numberOfPublicAttributes,WCHU_numberOfPrivateMethods,WCHU_numberOfMethods,ck_oo_numberOfPublicAttributes,ck_oo_noc,numberOfCriticalBugsFoundUntil:,ck_oo_wmc,LDHH_numberOfPrivateMethods,WCHU_numberOfPrivateAttributes,CvsLogEntropy,WCHU_noc,LDHH_numberOfAttributesInherited,WCHU_wmc,ck_oo_fanOut,ck_oo_numberOfLinesOfCode,ck_oo_numberOfAttributesInherited,ck_oo_numberOfMethods,ck_oo_dit,ck_oo_fanIn,LDHH_noc,WCHU_dit,ck_oo_lcom,WCHU_numberOfAttributesInherited,ck_oo_rfc,LDHH_wmc,LDHH_numberOfAttributes,LDHH_numberOfLinesOfCode,WCHU_fanOut,WCHU_lcom,ck_oo_cbo,WCHU_rfc,ck_oo_numberOfAttributes,numberOfHighPriorityBugsFoundUntil:,ck_oo_numberOfPrivateAttributes,numberOfMajorBugsFoundUntil:,WCHU_numberOfPublicMethods,LDHH_dit,WCHU_cbo,CvsLinEntropy,WCHU_numberOfMethodsInherited,numberOfBugsFoundUntil:,LDHH_fanOut,LDHH_numberOfMethodsInherited,LDHH_rfc,ck_oo_numberOfMethodsInherited,ck_oo_numberOfPublicMethods,LDHH_cbo,WCHU_numberOfLinesOfCode,CvsExpEntropy,LDHH_numberOfMethods
EQ,RandomForestClassifier(random_state=0)0,8.881784197001253e-18,4.440892098500626e-18,8.881784197001253e-18,8.881784197001253e-18,8.881784197001253e-18,4.440892098500626e-18,1.3322676295501878e-17,1.3322676295501878e-17,4.440892098500626e-18,1.3322676295501878e-17,1.5782828282828732e-06,0.0,1.7763568394002505e-17,8.881784197001253e-18,4.440892098500626e-18,4.440892098500626e-18,1.7763568394002505e-17,1.3322676295501878e-17,0.0,4.440892098500626e-18,2.3674242424309713e-06,4.440892098500626e-18,2.6645352591003756e-17,2.6645352591003756e-17,8.881784197001253e-18,0.0,8.881784197001253e-18,8.881784197001253e-18,4.440892098500626e-18,1.3322676295501878e-17,0.0,1.7763568394002505e-17,8.881784197001253e-18,8.881784197001253e-18,3.1086244689504386e-17,8.881784197001253e-18,8.881784197001253e-18,4.440892098500626e-18,4.440892098500626e-18,1.3322676295501878e-17,4.440892098500626e-18,8.881784197001253e-18,4.440892098500626e-18,8.881784197001253e-17,0.0,4.440892098500626e-18,1.3322676295501878e-17,8.43769498715119e-17,0.0,1.3322676295501878e-17,8.881784197001253e-18,8.881784197001253e-18,4.440892098500626e-18,0.0,1.3322676295501878e-17,4.440892098500626e-18,1.3322676295501878e-17,1.7763568394002505e-17,8.881784197001253e-18,7.891414141614206e-07,8.881784197001253e-18
EQ,RandomForestClassifier(random_state=0)1,4.440892098500626e-18,4.440892098500626e-18,0.0,1.3322676295501878e-17,4.440892098500626e-18,1.3322676295501878e-17,8.881784197001253e-18,0.0,1.3322676295501878e-17,4.440892098500626e-18,4.440892098500626e-18,4.440892098500626e-18,0.0,1.3322676295501878e-17,8.881784197001253e-18,4.440892098500626e-18,8.881784197001253e-18,8.881784197001253e-18,1.7763568394002505e-17,1.7763568394002505e-17,8.881784197001253e-18,0.0,0.0,4.440892098500626e-18,4.440892098500626e-18,1.7763568394002505e-17,4.440892098500626e-18,4.440892098500626e-18,4.440892098500626e-18,4.440892098500626e-18,9.769962616701378e-17,6.661338147750939e-17,4.440892098500626e-18,8.881784197001253e-18,4.440892098500626e-18,4.440892098500626e-18,0.0,0.0,4.440892098500626e-18,0.0,0.0,0.0,9.18964076859652e-06,0.0,0.0,0.0,8.881784197001253e-18,4.440892098500626e-18,4.440892098500626e-18,4.440892098500626e-18,4.440892098500626e-18,0.0,0.0,8.881784197001253e-18,4.440892098500626e-18,4.440892098500626e-18,8.881784197001253e-18,0.0,1.7763568394002505e-17,1.3322676295501878e-17,8.881784197001253e-18
EQ,RandomForestClassifier(random_state=0)2,8.881784197001253e-18,4.440892098500626e-18,0.0,8.881784197001253e-18,1.7763568394002505e-17,8.881784197001253e-18,3.164181465811211e-06,1.7763568394002505e-17,0.0,8.881784197001253e-18,1.3322676295501878e-17,4.440892098500626e-18,1.7763568394002505e-17,0.0,8.881784197001253e-18,4.440892098500626e-18,4.440892098500626e-18,4.440892098500626e-18,0.0,8.881784197001253e-18,4.440892098500626e-18,0.0,4.440892098500626e-18,1.3322676295501878e-17,1.3322676295501878e-17,8.881784197001253e-18,0.0,8.881784197001253e-18,1.3322676295501878e-17,4.440892098500626e-18,4.440892098500626e-18,4.440892098500626e-18,4.440892098500626e-18,1.3322676295501878e-17,0.0,0.0,0.0,4.440892098500626e-18,1.3322676295501878e-17,1.3322676295501878e-17,4.440892098500626e-18,1.3322676295501878e-17,0.0,0.0,8.881784197001253e-18,4.440892098500626e-18,4.440892098500626e-18,4.440892098500626e-18,4.440892098500626e-18,1.3322676295501878e-17,4.440892098500626e-18,1.7763568394002505e-17,4.440892098500626e-18,8.881784197001253e-18,8.881784197001253e-18,5.53731756517184e-06,4.440892098500626e-18,4.440892098500626e-18,4.440892098500626e-18,1.3322676295501878e-17,4.440892098500626e-18
EQ,RandomForestClassifier(random_state=0)3,1.3322676295501878e-17,1.7763568394002505e-17,8.881784197001253e-18,1.7763568394002505e-17,4.440892098500626e-18,4.440892098500626e-18,8.881784197001253e-18,0.0,1.7763568394002505e-17,4.440892098500626e-18,1.3322676295501878e-17,1.3322676295501878e-17,0.0,1.7763568394002505e-17,4.440892098500626e-18,4.440892098500626e-18,8.881784197001253e-18,4.440892098500626e-18,8.881784197001253e-18,1.7763568394002505e-17,7.971938775686027e-07,0.0,4.440892098500626e-18,1.3322676295501878e-17,1.3322676295501878e-17,1.7763568394002505e-17,4.440892098500626e-18,8.881784197001253e-18,0.0,1.3322676295501878e-17,4.440892098500626e-18,8.881784197001253e-18,0.0,8.881784197001253e-18,0.0,4.440892098500626e-18,4.440892098500626e-18,4.440892098500626e-18,1.3322676295501878e-17,4.440892098500626e-18,4.440892098500626e-18,0.0,7.174744897961993e-06,0.0,1.3322676295501878e-17,0.0,8.881784197001253e-18,2.2204460492503132e-17,2.2204460492503132e-17,0.0,4.440892098500626e-18,8.881784197001253e-18,8.881784197001253e-18,8.881784197001253e-18,8.881784197001253e-18,8.881784197001253e-18,1.7763568394002505e-17,8.881784197001253e-18,8.881784197001253e-18,1.3322676295501878e-17,8.881784197001253e-18
EQ,RandomForestClassifier(random_state=0)4,4.440892098500626e-18,0.0,0.0,1.7763568394002505e-17,4.440892098500626e-18,4.440892098500626e-18,8.881784197001253e-18,1.3322676295501878e-17,4.440892098500626e-18,8.881784197001253e-18,4.440892098500626e-18,1.7763568394002505e-17,4.440892098500626e-18,0.0,0.0,4.440892098500626e-18,4.440892098500626e-18,0.0,0.0,0.0,8.881784197001253e-18,4.440892098500626e-18,0.0,1.3322676295501878e-17,4.440892098500626e-18,8.881784197001253e-18,8.881784197001253e-18,4.440892098500626e-18,8.881784197001253e-18,4.440892098500626e-18,0.0,0.0,8.881784197001253e-18,0.0,0.0,4.440892098500626e-18,8.881784197001253e-18,1.3322676295501878e-17,4.440892098500626e-18,1.7763568394002505e-17,8.881784197001253e-18,8.881784197001253e-18,2.6645352591003756e-17,8.881784197001253e-18,8.881784197001253e-18,4.440892098500626e-18,4.440892098500626e-18,0.0,4.440892098500626e-18,4.440892098500626e-18,4.440892098500626e-18,8.881784197001253e-18,4.440892098500626e-18,8.881784197001253e-18,0.0,4.440892098500626e-18,4.440892098500626e-18,4.440892098500626e-18,4.440892098500626e-18,0.0,4.440892098500626e-18
EQ,RandomForestClassifier(random_state=0)5,4.440892098500626e-18,8.881784197001253e-18,4.440892098500626e-18,0.0,0.0,1.3322676295501878e-17,1.3322676295501878e-17,0.0,4.440892098500626e-18,0.0,4.440892098500626e-18,4.440892098500626e-18,8.881784197001253e-18,8.881784197001253e-18,2.2204460492503132e-17,1.7763568394002505e-17,4.440892098500626e-18,0.0,0.0,8.881784197001253e-18,4.440892098500626e-18,8.881784197001253e-18,0.0,4.440892098500626e-18,4.440892098500626e-18,1.3322676295501878e-17,0.0,4.440892098500626e-18,1.3322676295501878e-17,4.440892098500626e-18,0.0,8.881784197001253e-18,8.881784197001253e-18,0.0,0.0,0.0,0.0,4.440892098500626e-18,4.440892098500626e-18,8.881784197001253e-18,4.440892098500626e-18,4.440892098500626e-18,8.881784197001253e-18,0.0,1.3322676295501878e-17,0.0,8.881784197001253e-18,8.881784197001253e-18,4.440892098500626e-18,4.440892098500626e-18,4.440892098500626e-18,4.440892098500626e-18,4.440892098500626e-18,8.881784197001253e-18,0.0,4.440892098500626e-18,4.440892098500626e-18,4.440892098500626e-18,1.3322676295501878e-17,4.440892098500626e-18,1.3322676295501878e-17
EQ,RandomForestClassifier(random_state=0)6,4.440892098500626e-18,4.440892098500626e-18,0.0,0.0,0.0,0.0,8.881784197001253e-18,8.881784197001253e-18,0.0,8.881784197001253e-18,8.881784197001253e-18,4.440892098500626e-18,4.440892098500626e-18,0.0,0.0,8.881784197001253e-18,0.0,8.881784197001253e-18,2.6645352591003756e-17,4.440892098500626e-18,0.0,0.0,8.881784197001253e-18,0.0,0.0,1.3322676295501878e-17,0.0,1.3322676295501878e-17,0.0,4.440892098500626e-18,0.0,0.0,4.440892098500626e-18,1.3322676295501878e-17,4.440892098500626e-18,1.3322676295501878e-17,4.440892098500626e-18,1.3322676295501878e-17,8.881784197001253e-18,0.0,0.0,8.881784197001253e-18,0.0,4.440892098500626e-18,1.3322676295501878e-17,0.0,4.440892098500626e-18,0.0,2.2204460492503132e-17,1.3322676295501878e-17,8.881784197001253e-18,4.440892098500626e-18,8.881784197001253e-18,0.0,0.0,8.881784197001253e-18,2.2204460492503132e-17,0.0,1.3322676295501878e-17,8.881784197001253e-18,0.0
EQ,RandomForestClassifier(random_state=0)7,8.881784197001253e-18,2.2204460492503132e-17,1.3322676295501878e-17,8.881784197001253e-18,0.0,8.881784197001253e-18,4.440892098500626e-18,4.440892098500626e-18,4.440892098500626e-18,1.7763568394002505e-17,1.3322676295501878e-17,4.440892098500626e-18,0.0,1.7763568394002505e-17,4.440892098500626e-18,8.881784197001253e-18,8.881784197001253e-18,1.3322676295501878e-17,1.3322676295501878e-17,4.440892098500626e-18,1.7763568394002505e-17,8.881784197001253e-18,4.440892098500626e-18,8.881784197001253e-18,1.3322676295501878e-17,1.3322676295501878e-17,0.0,1.3322676295501878e-17,8.881784197001253e-18,1.7763568394002505e-17,8.881784197001253e-18,8.881784197001253e-18,2.2204460492503132e-17,8.881784197001253e-18,1.1837121212137092e-05,8.881784197001253e-18,1.3322676295501878e-17,1.7763568394002505e-17,8.881784197001253e-18,8.881784197001253e-18,1.3322676295501878e-17,2.2204460492503132e-17,0.0,0.0,0.0,8.881784197001253e-18,1.3322676295501878e-17,4.440892098500626e-18,0.0,1.7763568394002505e-17,1.3322676295501878e-17,4.440892098500626e-18,1.3322676295501878e-17,8.881784197001253e-18,1.7763568394002505e-17,8.881784197001253e-18,4.440892098500626e-18,8.881784197001253e-18,0.0,8.881784197001253e-18,1.3322676295501878e-17
EQ,RandomForestClassifier(random_state=0)8,1.3322676295501878e-17,8.881784197001253e-18,0.0,8.881784197001253e-18,0.0,8.881784197001253e-18,8.881784197001253e-18,4.440892098500626e-18,0.0,8.881784197001253e-18,4.440892098500626e-18,0.0,4.440892098500626e-18,4.440892098500626e-18,0.0,4.440892098500626e-18,8.881784197001253e-18,8.881784197001253e-18,0.0,8.881784197001253e-18,1.7763568394002505e-17,4.440892098500626e-18,0.0,4.440892098500626e-18,8.881784197001253e-18,4.440892098500626e-18,0.0,1.3322676295501878e-17,0.0,0.0,0.0,8.881784197001253e-18,4.440892098500626e-18,4.440892098500626e-18,8.881784197001253e-18,4.440892098500626e-18,0.0,4.440892098500626e-18,4.440892098500626e-18,8.881784197001253e-18,4.440892098500626e-18,4.440892098500626e-18,2.337540906993674e-06,0.0,4.440892098500626e-18,0.0,8.881784197001253e-18,4.440892098500626e-18,0.0,1.3322676295501878e-17,1.3322676295501878e-17,4.440892098500626e-18,8.881784197001253e-18,4.440892098500626e-18,8.881784197001253e-18,1.3322676295501878e-17,1.3322676295501878e-17,8.881784197001253e-18,8.881784197001253e-18,1.7763568394002505e-17,4.440892098500626e-18
EQ,RandomForestClassifier(random_state=0)9,4.440892098500626e-18,4.440892098500626e-18,8.881784197001253e-18,8.881784197001253e-18,4.440892098500626e-18,0.0,1.3322676295501878e-17,8.881784197001253e-18,0.0,8.881784197001253e-18,1.5411288769051624e-06,4.440892098500626e-18,-8.881784197001253e-18,8.881784197001253e-18,4.440892098500626e-18,8.881784197001253e-18,0.0,4.440892098500626e-18,4.440892098500626e-18,8.881784197001253e-18,4.440892098500626e-18,8.881784197001253e-18,4.440892098500626e-18,4.440892098500626e-18,8.881784197001253e-18,0.0,8.881784197001253e-18,8.881784197001253e-18,1.3322676295501878e-17,4.440892098500626e-18,0.0,0.0,1.7763568394002505e-17,4.440892098500626e-18,1.5411288769051624e-06,8.881784197001253e-18,4.440892098500626e-18,8.881784197001253e-18,8.881784197001253e-18,0.0,4.440892098500626e-18,0.0,4.440892098500626e-18,0.0,8.881784197001253e-18,4.440892098500626e-18,4.440892098500626e-18,0.0,4.440892098500626e-18,4.440892098500626e-18,8.881784197001253e-18,0.0,8.881784197001253e-18,4.440892098500626e-18,1.3322676295501878e-17,1.5411288769096031e-06,0.0,1.3322676295501878e-17,1.3322676295501878e-17,4.440892098500626e-18,4.440892098500626e-18
