@relation ivy-1.1-weka.filters.unsupervised.attribute.MathExpression-Elog(A+1)

@attribute wmc numeric
@attribute dit numeric
@attribute noc numeric
@attribute cbo numeric
@attribute rfc numeric
@attribute lcom numeric
@attribute ca numeric
@attribute ce numeric
@attribute npm numeric
@attribute lcom3 numeric
@attribute loc numeric
@attribute dam numeric
@attribute moa numeric
@attribute mfa numeric
@attribute cam numeric
@attribute ic numeric
@attribute cbm numeric
@attribute amc numeric
@attribute max_cc numeric
@attribute avg_cc numeric
@attribute bug {N,Y}

@data
1.098612,0.693147,0,2.197225,1.098612,0.693147,2.079442,0.693147,1.098612,1.098612,1.098612,0,0,0,0.510826,0,0,0,0.693147,0.693147,N
3.178054,0.693147,0,2.079442,3.970292,5.147494,1.098612,1.791759,3.044522,0.608494,6.042633,0.693147,1.098612,0,0.223144,0,0,2.887953,1.609438,0.889865,Y
1.609438,0.693147,0,2.397895,1.609438,1.94591,2.302585,0.693147,1.609438,1.098612,1.609438,0,0,0,0.438255,0,0,0,0.693147,0.693147,Y
2.639057,1.609438,1.098612,2.890372,4.060443,3.135494,1.098612,2.772589,2.302585,0.223144,5.849325,0.693147,0.693147,0.615186,0.175891,1.386294,2.079442,3.278595,1.94591,0.961417,Y
3.663562,1.098612,0,3.637586,5.036953,6.345636,0.693147,3.637586,3.091042,0.639361,7.323831,0.628609,0.693147,0.268264,0.11541,0.693147,0.693147,3.68029,1.609438,0.916291,Y
2.772589,1.609438,0,2.197225,3.951244,3.871201,0.693147,2.197225,2.772589,0.579818,5.545177,0.693147,0,0.575364,0.312375,1.098612,1.609438,2.809403,0.693147,0.659228,Y
1.94591,0.693147,0,2.639057,1.94591,2.772589,2.484907,1.386294,1.94591,1.098612,1.94591,0,0,0,0.693147,0,0,0,0.693147,0.693147,Y
1.609438,0.693147,1.098612,1.609438,3.258097,1.94591,1.098612,1.098612,1.609438,1.098612,4.844187,0,0,0,0.485508,0.693147,0.693147,3.449988,2.197225,1.321756,N
2.197225,1.098612,0,2.079442,2.772589,0,1.609438,1.386294,2.197225,0.451985,4.430817,0,0.693147,0.262364,0.295464,0.693147,1.609438,2.315008,0.693147,0.628609,Y
0.693147,0.693147,0,1.609438,0.693147,0,1.609438,0.693147,0.693147,1.098612,0.693147,0,0,0,0.693147,0,0,0,0.693147,0.693147,N
1.098612,1.791759,0,1.386294,1.791759,0.693147,0,1.386294,1.098612,1.098612,2.564949,0,0,0.686955,0.693147,0.693147,0.693147,1.791759,0.693147,0.405465,N
2.995732,0.693147,0,1.94591,3.258097,4.912655,1.609438,1.098612,2.564949,0.664976,5.123964,0.446287,1.098612,0,0.228393,0,0,2.072841,1.609438,0.693147,N
1.791759,0.693147,0,1.386294,2.890372,0,0.693147,1.098612,1.609438,0.348307,4.317488,0.693147,0,0,0.405465,0,0,2.653242,1.609438,0.788457,Y
2.772589,1.609438,0,2.302585,3.806662,4.158883,0,2.302585,2.772589,0.606136,5.442418,0.693147,0,0.575364,0.312375,1.098612,1.609438,2.703596,0.693147,0.659228,Y
