@relation synapse-1.2-weka.filters.unsupervised.attribute.MathExpression-Elog(A+1)

@attribute wmc numeric
@attribute dit numeric
@attribute noc numeric
@attribute cbo numeric
@attribute rfc numeric
@attribute lcom numeric
@attribute ca numeric
@attribute ce numeric
@attribute npm numeric
@attribute lcom3 numeric
@attribute loc numeric
@attribute dam numeric
@attribute moa numeric
@attribute mfa numeric
@attribute cam numeric
@attribute ic numeric
@attribute cbm numeric
@attribute amc numeric
@attribute max_cc numeric
@attribute avg_cc numeric
@attribute bug {N,Y}

@data
2.772589,0.693147,0,2.944439,3.970292,3.637586,1.386294,2.772589,2.70805,0.559616,5.605802,0.693147,1.609438,0,0.227217,0,0,2.864104,2.639057,1.120602,Y
1.386294,1.386294,0,1.098612,2.197225,1.386294,0.693147,0.693147,1.386294,0.916291,4.110874,0,0,0.693147,0.441833,0,0,2.772589,0,0,N
2.772589,0.693147,2.944439,3.178054,3.526361,2.079442,2.944439,1.791759,1.791759,0.389464,5.438079,0.693147,0,0,0.322773,0,0,2.712485,1.609438,1.203963,Y
1.098612,1.386294,0,1.94591,1.791759,0.693147,1.098612,1.609438,1.098612,1.098612,2.70805,0,0,0.587787,0.405465,0,0,1.94591,0.693147,0.405465,N
1.098612,0.693147,0,2.484907,1.098612,0.693147,2.197225,1.386294,1.098612,1.098612,1.098612,0,0,0,0.606136,0,0,0,0.693147,0.693147,Y
1.609438,1.098612,0,2.197225,3.401197,1.609438,0,2.197225,1.386294,0.510826,4.955827,0.693147,0,0.470004,0.510826,0,0,3.555348,1.94591,1.011601,N
1.609438,1.098612,0,2.079442,2.995732,1.609438,0.693147,2.079442,0.693147,0.510826,4.369448,0.693147,0.693147,0.597837,0.367724,0.693147,0.693147,2.957511,1.791759,0.916291,Y
3.951244,0.693147,0,1.609438,4.276666,6.933423,0.693147,1.386294,3.871201,0.620576,6.177944,0.693147,0,0,0.21242,0,0,2.22727,1.386294,0.795568,N
2.70805,0.693147,0,2.70805,3.850148,0,1.791759,2.302585,2.302585,0.548566,6.300786,0.693147,0,0,0.251314,0,0,3.645077,2.197225,1.455284,N
1.609438,0.693147,0,1.609438,3.465736,0,1.609438,0,1.098612,0.405465,5.192957,0.693147,0,0,0.287682,0,0,3.778492,1.609438,1.098612,N
1.098612,1.098612,1.098612,2.833213,3.433987,0.693147,1.098612,2.70805,0.693147,1.098612,5.924256,0,0,0.619039,0.510826,0,0,5.228431,3.258097,2.60269,N
2.890372,0.693147,0,3.178054,4.356709,3.555348,1.609438,2.995732,2.772589,0.61422,6.51323,0.538997,1.94591,0,0.216874,0,0,3.65751,3.433987,1.484283,N
1.386294,1.098612,0,2.397895,3.258097,1.386294,0,2.397895,1.386294,1.098612,4.941642,0,0,0.559616,0.441833,0,0,3.835862,2.397895,1.540452,N
2.397895,0.693147,0,3.526361,2.397895,3.828641,3.433987,1.791759,2.397895,1.098612,2.397895,0,0,0,0.249461,0,0,0,0.693147,0.693147,N
3.044522,1.098612,0,3.465736,4.682131,4.65396,1.386294,3.401197,2.70805,0.627438,6.739337,0.606136,0.693147,0.340927,0.169743,0,0,3.7281,3.688879,1.504077,Y
2.772589,1.098612,0,2.564949,4.304065,4.219508,0,2.564949,2.484907,0.566396,6.413459,0.693147,0,0.245123,0.244346,1.098612,1.386294,3.69883,2.302585,1.223775,N
1.386294,1.098612,0,2.197225,3.218876,1.386294,0,2.197225,1.386294,1.098612,4.744932,0,0,0.559616,0.441833,0,0,3.637586,2.079442,1.299292,N
2.890372,1.098612,0,2.70805,4.077537,4.615121,1.098612,2.564949,2.484907,0.645138,6.098074,0.693147,1.098612,0.381368,0.262364,0,0,3.244429,2.564949,1.118023,Y
1.386294,1.098612,0,2.484907,3.258097,1.386294,0,2.484907,1.386294,1.098612,5.056246,0,0,0.559616,0.441833,0,0,3.951244,2.564949,1.67397,N
1.386294,1.386294,0,2.079442,2.772589,1.386294,0,2.079442,1.386294,1.098612,3.850148,0,0,0.575364,0.441833,0,0,2.730029,1.386294,0.847284,N
1.098612,1.386294,0,1.791759,3.433987,0.693147,1.386294,1.386294,0.693147,1.098612,5.214936,0,0,0.674455,0.510826,1.098612,1.791759,4.516339,2.302585,1.704748,Y
1.791759,1.386294,0,3.044522,3.951244,0,1.609438,2.833213,1.791759,0,5.768321,0.693147,0.693147,0.597837,0.510826,1.098612,1.386294,4.152613,3.178054,2.00148,Y
2.564949,0.693147,0,2.397895,2.564949,4.204693,2.079442,1.386294,2.564949,1.098612,2.564949,0,0,0,0.251314,0,0,0,0.693147,0.693147,N
2.397895,1.098612,2.079442,2.70805,3.583519,0,2.079442,2.079442,2.397895,0,5.17615,0.693147,0,0.464306,0.249461,0,0,2.862201,1.386294,0.916291,Y
2.197225,1.098612,0,3.091042,4.174387,0,0.693147,3.091042,1.609438,0.428995,6.347389,0.693147,0.693147,0.287682,0.339868,0.693147,1.098612,4.259153,1.609438,0.965081,N
1.386294,0.693147,0,1.609438,1.386294,1.386294,1.098612,1.098612,1.386294,1.098612,1.386294,0,0,0,0.510826,0,0,0,0.693147,0.693147,N
2.302585,0.693147,0,3.663562,4.634729,3.433987,0.693147,3.637586,1.386294,0.485508,6.431331,0.693147,0,0,0.179341,0,0,4.230881,1.94591,1.170064,Y
2.484907,1.386294,0,2.944439,4.276666,0.693147,1.386294,2.833213,2.302585,0.595692,6.297109,0.619039,0.693147,0.523248,0.264692,0.693147,1.386294,3.884371,2.833213,1.315684,Y
1.386294,0.693147,0,1.791759,2.197225,0.693147,0,1.791759,1.098612,0.405465,3.091042,0.693147,0,0,0.405465,0,0,1.89712,0.693147,0.287657,N
2.564949,0.693147,0,2.564949,3.637586,1.098612,1.791759,2.079442,2.197225,0.572519,5.768321,0.693147,0,0,0.230905,0,0,3.248435,2.079442,1.276284,Y
3.295837,0.693147,0,2.890372,3.465736,5.505332,2.639057,1.609438,3.218876,0.664405,5.267858,0.510826,0.693147,0,0.177549,0,0,1.9404,1.609438,0.852797,N
1.609438,0.693147,0,2.079442,2.833213,1.609438,0.693147,1.94591,1.098612,0.287682,4.343805,0.693147,0,0,0.287682,0,0,2.931194,1.791759,0.916291,Y
1.386294,1.386294,0,2.639057,3.367296,1.386294,0,2.639057,1.386294,1.098612,4.962845,0,0,0.575364,0.441833,0,0,3.857215,2.302585,1.466329,N
3.178054,0.693147,0,2.944439,4.26268,4.969813,1.098612,2.890372,3.135494,0.630627,6.287859,0,0,0,0.167054,0,0,3.133602,1.791759,1.168574,N
1.791759,0.693147,0,2.70805,4.219508,0,0.693147,2.639057,1.098612,0.223144,6.54535,0.693147,0,0,0.271934,0,0,4.933034,3.931826,2.433613,N
3.78419,0.693147,0,2.944439,3.806662,6.661855,2.944439,0,3.78419,0.66963,5.616771,0.693147,0,0,0.260573,0,0,1.772189,0.693147,0.681429,N
2.772589,0.693147,0,3.367296,4.442651,4.60517,0,3.367296,1.94591,0.305382,6.230481,0.693147,0,0,0.273294,0,0,3.518486,2.995732,1.280934,Y
1.94591,1.386294,0,4.276666,3.828641,2.639057,3.931826,3.091042,1.386294,0.641854,5.393628,0.693147,0,0.626456,0.312375,1.098612,1.791759,3.588138,2.197225,1.15269,Y
