@relation velocity-1.5-weka.filters.unsupervised.attribute.MathExpression-Elog(A+1)

@attribute wmc numeric
@attribute dit numeric
@attribute noc numeric
@attribute cbo numeric
@attribute rfc numeric
@attribute lcom numeric
@attribute ca numeric
@attribute ce numeric
@attribute npm numeric
@attribute lcom3 numeric
@attribute loc numeric
@attribute dam numeric
@attribute moa numeric
@attribute mfa numeric
@attribute cam numeric
@attribute ic numeric
@attribute cbm numeric
@attribute amc numeric
@attribute max_cc numeric
@attribute avg_cc numeric
@attribute bug {N,Y}

@data
1.94591,0.693147,0,1.098612,2.833213,1.386294,0,1.098612,1.791759,0.624154,4.51086,0.287682,0,0,0.382992,0,0,2.674149,1.098612,0.847284,Y
2.302585,0.693147,0.693147,2.079442,2.890372,3.555348,0.693147,1.94591,1.609438,0.523248,4.543295,0.693147,1.098612,0,0.301476,0,0,2.313635,0.693147,0.635995,Y
1.791759,1.098612,0,2.397895,2.564949,2.397895,1.609438,2.197225,1.791759,1.098612,4.143135,0,0,0.64355,0.336472,0.693147,1.098612,2.517696,0.693147,0.470004,N
2.079442,1.386294,0,2.484907,3.465736,2.302585,0,2.484907,1.791759,0.405465,5.655992,0.693147,0,0.451985,0.356675,0,0,3.699537,0.693147,0.619016,Y
2.079442,0.693147,0,2.197225,3.044522,2.484907,0,2.197225,1.94591,0.405465,4.521789,0.287682,0,0,0.405465,0,0,2.531427,1.098612,0.76216,Y
1.791759,1.098612,0,2.197225,2.564949,0,1.609438,1.94591,1.791759,0.223144,4.007333,0.693147,0,0.64355,0.360003,0,0,2.360854,0.693147,0.470004,Y
2.890372,0.693147,1.098612,3.295837,3.044522,4.574711,3.178054,1.609438,2.890372,0.643315,4.795791,0.693147,1.098612,0,0.211309,0,0,1.876317,1.386294,0.722123,Y
2.564949,1.386294,0,2.197225,3.433987,4.174387,0.693147,2.079442,2.484907,0.693147,4.543295,0.693147,0,0.652562,0.473785,0.693147,1.098612,2.025953,0.693147,0.459511,N
1.791759,0.693147,0,1.386294,2.995732,1.098612,0,1.386294,1.386294,0.510826,5.062595,0.693147,0.693147,0,0.287682,0,0,3.427515,1.386294,0.693147,Y
1.386294,1.098612,0,1.098612,1.94591,1.386294,0,1.098612,0.693147,1.098612,2.564949,0,0,0.538997,0.510826,0.693147,1.098612,1.386294,0.693147,0.510846,Y
1.94591,1.098612,0,2.197225,3.044522,2.772589,0,2.197225,1.791759,0.693147,4.488636,0,0,0.523248,0.348307,0.693147,0.693147,2.674149,1.098612,0.693147,N
0,0.693147,0,1.791759,0,0,1.791759,0,0,1.098612,3.988984,0,0,0,0,0,0,0,0,0,Y
1.386294,0.693147,0,0.693147,2.397895,0.693147,0.693147,0,1.098612,0.405465,4.442651,0,0,0,0.405465,0,0,3.320228,2.397895,1.466329,N
2.639057,0.693147,0,2.70805,3.951244,2.833213,0.693147,2.639057,1.94591,0.516366,6.423247,0.693147,1.386294,0,0.314249,0,0,3.841931,2.564949,1.405337,Y
