@relation xerces-1.2-weka.filters.unsupervised.attribute.MathExpression-Elog(A+1)

@attribute wmc numeric
@attribute dit numeric
@attribute noc numeric
@attribute cbo numeric
@attribute rfc numeric
@attribute lcom numeric
@attribute ca numeric
@attribute ce numeric
@attribute npm numeric
@attribute lcom3 numeric
@attribute loc numeric
@attribute dam numeric
@attribute moa numeric
@attribute mfa numeric
@attribute cam numeric
@attribute ic numeric
@attribute cbm numeric
@attribute amc numeric
@attribute max_cc numeric
@attribute avg_cc numeric
@attribute bug {N,Y}

@data
1.94591,1.386294,1.386294,0,2.397895,0,0,0,1.94591,0,4.007333,0.693147,0,0.615186,0.441833,0.693147,1.098612,2.178532,1.386294,0.693147,N
4.158883,1.098612,1.386294,3.332205,5.420535,6.677083,2.079442,3.044522,3.7612,0.62705,8.644883,0.640038,1.94591,0.518167,0.141564,1.098612,2.484907,4.496453,1.94591,0.992659,N
0.693147,1.791759,0,0.693147,1.098612,0,0.693147,0,0.693147,1.098612,1.94591,0,0,0.693147,0.693147,0,0,1.791759,0,0,Y
3.091042,1.609438,0,1.098612,3.258097,5.351858,0,1.098612,3.091042,1.098612,4.795791,0,0,0.601339,0.421214,0,0,1.742969,0.693147,0.669059,N
3.258097,1.386294,1.386294,2.639057,4.219508,3.555348,1.386294,2.484907,2.70805,0.494019,7.021976,0.606136,1.386294,0.521725,0.18648,1.098612,3.135494,3.796837,2.484907,1.187843,Y
1.386294,0.693147,0,3.295837,1.386294,1.386294,3.258097,0.693147,1.386294,0.916291,2.890372,0,0,0,0.510826,0,0,0,0.693147,0.693147,N
0.693147,0.693147,0,0,0.693147,0,0,0,0.693147,1.098612,0.693147,0,0,0,0.693147,0,0,0,0.693147,0.693147,Y
1.386294,1.609438,0,1.098612,2.70805,1.386294,0.693147,1.098612,1.386294,1.098612,4.110874,0,0,0.682676,0.510826,0,0,2.995732,1.386294,0.980842,N
2.079442,1.609438,0,1.386294,2.397895,3.091042,0,1.386294,2.079442,1.098612,3.688879,0,0,0.658462,0.451985,0.693147,1.94591,1.717652,0.693147,0.619016,N
2.564949,1.609438,0,1.386294,3.135494,4.204693,0,1.386294,2.564949,1.098612,4.584967,0,0,0.639344,0.275104,0.693147,0.693147,2.089804,1.386294,0.81093,N
2.890372,0.693147,0,2.197225,4.007333,4.905275,2.079442,1.386294,1.791759,0.661398,6.766192,0,0.693147,0,0.192684,0,0,3.929516,2.995732,1.741501,N
3.258097,1.098612,1.791759,2.70805,4.234107,3.555348,1.791759,2.484907,2.70805,0.494019,7.021976,0.606136,1.386294,0.504837,0.18648,0.693147,2.890372,3.796837,2.484907,1.187843,Y
2.197225,0.693147,0.693147,0,2.833213,2.70805,0,0,1.94591,0.579818,4.770685,0.693147,0,0,0.451985,0,0,2.647946,0.693147,0.559616,Y
2.944439,1.098612,0,1.94591,3.583519,0,1.94591,0.693147,0.693147,0.519194,7.663408,0.133531,0.693147,0.550647,0.308301,0.693147,2.079442,4.769271,2.890372,2.197225,N
1.098612,1.386294,0,2.484907,1.386294,0,2.484907,0,1.098612,0.693147,2.639057,0.405465,0,0.664976,0.559616,0,0,1.704748,0.693147,0.405465,N
2.397895,0.693147,0,3.135494,2.397895,3.828641,3.044522,1.098612,2.397895,0.747214,3.951244,0,0,0,0.262364,0,0,0,0.693147,0.693147,N
3.135494,0.693147,0.693147,2.302585,3.89182,3.73767,1.94591,1.386294,2.302585,0.611686,6.363028,0.619039,0.693147,0,0.204795,0,0,3.258097,2.079442,1.185615,Y
2.079442,1.609438,0,1.386294,2.397895,3.091042,0,1.386294,2.079442,1.098612,3.688879,0,0,0.658462,0.451985,0.693147,1.94591,1.717652,0.693147,0.619016,N
2.079442,0.693147,0,0.693147,2.302585,2.639057,0.693147,0,1.94591,0.733969,6.580639,0.693147,0,0,0.223144,0,0,4.616534,2.484907,1.51982,N
2.564949,0.693147,0,0,2.564949,4.204693,0,0,2.564949,1.098612,2.564949,0,0,0,0.494019,0,0,0,0.693147,0.693147,N
1.609438,1.386294,0,1.94591,2.302585,0,0.693147,1.791759,0,0.322773,6.369901,0.693147,0,0.655876,0.340927,0.693147,1.386294,4.969813,0.693147,0.559616,N
2.944439,0.693147,0,1.94591,2.944439,5.036953,1.609438,1.098612,2.944439,1.098612,2.944439,0,0,0,0.336472,0,0,0,0.693147,0.693147,N
3.583519,1.609438,0,1.386294,3.78419,6.390241,0,1.386294,3.583519,1.098612,5.303305,0,0,0.550647,0.268936,0,0,1.742969,0.693147,0.678744,N
2.70805,0.693147,0,1.098612,2.70805,4.521789,0.693147,0.693147,2.70805,1.098612,2.70805,0,0,0,0.405465,0,0,0,0.693147,0.693147,N
2.302585,0.693147,0,2.484907,3.295837,2.833213,0.693147,2.397895,2.302585,0.628609,5.257495,0.693147,0,0,0.287682,0,0,3.028522,1.098612,0.693147,N
2.197225,0.693147,0,0,2.197225,3.367296,0,0,2.197225,1.098612,2.197225,0,0,0,0.384412,0,0,0,0.693147,0.693147,Y
1.94591,0.693147,0,2.197225,2.564949,1.386294,1.94591,1.098612,1.94591,0.567378,4.51086,0,1.098612,0,0.405465,0.693147,0.693147,2.577688,0.693147,0.510846,N
