ck_oo_numberOfPrivateMethods,LDHH_lcom,LDHH_fanIn,numberOfNonTrivialBugsFoundUntil:,WCHU_numberOfPublicAttributes,WCHU_numberOfAttributes,CvsWEntropy,LDHH_numberOfPublicMethods,WCHU_fanIn,LDHH_numberOfPrivateAttributes,CvsEntropy,LDHH_numberOfPublicAttributes,WCHU_numberOfPrivateMethods,WCHU_numberOfMethods,ck_oo_numberOfPublicAttributes,ck_oo_noc,numberOfCriticalBugsFoundUntil:,ck_oo_wmc,LDHH_numberOfPrivateMethods,WCHU_numberOfPrivateAttributes,CvsLogEntropy,WCHU_noc,LDHH_numberOfAttributesInherited,WCHU_wmc,ck_oo_fanOut,ck_oo_numberOfLinesOfCode,ck_oo_numberOfAttributesInherited,ck_oo_numberOfMethods,ck_oo_dit,ck_oo_fanIn,LDHH_noc,WCHU_dit,ck_oo_lcom,WCHU_numberOfAttributesInherited,ck_oo_rfc,LDHH_wmc,LDHH_numberOfAttributes,LDHH_numberOfLinesOfCode,WCHU_fanOut,WCHU_lcom,ck_oo_cbo,WCHU_rfc,ck_oo_numberOfAttributes,numberOfHighPriorityBugsFoundUntil:,ck_oo_numberOfPrivateAttributes,numberOfMajorBugsFoundUntil:,WCHU_numberOfPublicMethods,LDHH_dit,WCHU_cbo,CvsLinEntropy,WCHU_numberOfMethodsInherited,numberOfBugsFoundUntil:,LDHH_fanOut,LDHH_numberOfMethodsInherited,LDHH_rfc,ck_oo_numberOfMethodsInherited,ck_oo_numberOfPublicMethods,LDHH_cbo,WCHU_numberOfLinesOfCode,CvsExpEntropy,LDHH_numberOfMethods,bug
0.0,0.005452,0.001558,2.833213,0.0,0.0,0.023597,0.006648,1.105257,0.0,2.918079,0.0,0.0,1.803359,0.0,0.693147,0.693147,4.060443,0.0,0.0,2.236824,0.0,0.004516,1.976855,2.944439,5.407172,4.248495,3.367296,1.94591,1.609438,0.0,0.0,5.937536,0.71295,4.844187,0.008238,0.0,0.009966,1.619388,2.043814,3.044522,2.234306,0.693147,1.098612,0.0,1.098612,1.619388,0.0,1.80171,0.154429,2.665143,2.890372,0.01655,0.031823,0.010839,5.429346,3.135494,0.019658,2.173615,0.231478,0.006704,0
3.663562,0.036386,0.031649,4.844187,2.579459,3.239854,0.494351,0.029579,2.959587,0.028336,3.858344,0.019267,2.587012,3.160823,3.465736,0.0,2.197225,6.194405,0.016614,2.576422,2.327918,0.0,0.0,3.629925,4.127134,7.8144,0.0,4.812184,0.693147,4.26268,0.0,0.0,8.9068,0.0,6.934397,0.102843,0.057482,0.090986,2.792391,4.364372,4.70953,3.83103,4.584967,2.197225,3.583519,3.258097,2.907447,0.0,3.238678,0.258715,0.698135,4.955827,0.025442,0.001486,0.087927,2.197225,4.317488,0.042627,4.082778,0.457536,0.048857,1
0.693147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.098612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.94591,0.0,1.098612,0.693147,0.0,0.0,0.0,0.693147,0.0,1.098612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.098612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.693147,0.0,0.0,0.0,2.197225,0.693147,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,2.197225,0.0,0.0,0.007367,0.0,0.0,0.0,2.031456,0.0,0.0,0.0,1.791759,1.098612,0.0,2.079442,0.0,0.0,0.147118,0.0,0.0,0.0,1.791759,4.65396,0.0,2.079442,0.693147,1.386294,0.0,0.0,3.091042,0.0,3.258097,0.0,0.0,0.002566,0.0,0.0,2.079442,0.698135,1.791759,0.0,0.0,0.0,0.0,0.0,0.0,0.010175,0.698135,2.302585,0.0,0.001486,0.001034,2.197225,0.0,0.0,1.393766,0.001657,0.0,0
0.0,0.0,0.0,0.693147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.098612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.079442,4.007333,1.098612,1.791759,1.386294,0.0,0.0,0.693147,0.0,1.386294,0.0,0.0,0.0,0.0,0.0,1.386294,0.0,0.693147,0.693147,0.693147,0.0,0.0,0.0,0.0,0.0,0.0,0.693147,0.0,0.0,0.0,4.934474,1.098612,0.0,0.0,0.0,0.0,0
0.0,0.000741,0.0,0.693147,0.0,0.698135,0.024197,0.00091,0.0,0.000572,2.31981,0.0,0.708036,0.71784,0.0,0.0,0.0,3.044522,0.000827,0.698135,0.197363,0.0,0.0,0.828552,0.693147,4.369448,0.0,2.833213,0.693147,0.693147,0.0,0.0,4.795791,0.0,3.688879,0.00089,0.000598,0.000769,0.698135,1.064711,1.098612,0.883768,1.791759,0.0,1.098612,0.0,0.703098,0.0,0.698135,0.013687,0.698135,1.098612,0.000889,0.001486,0.000778,2.197225,2.833213,0.000967,1.202972,0.001754,0.000923,0
0.693147,0.002444,0.0,1.791759,0.0,0.0,0.008156,0.002054,0.0,0.001281,1.487596,0.0,0.0,1.105257,0.0,0.693147,0.0,4.043051,0.0,0.703098,0.090492,0.698135,0.0,1.415853,2.484907,5.030438,1.94591,2.995732,1.098612,1.609438,0.0,0.0,5.147494,0.0,4.343805,0.004978,0.0,0.005079,0.708036,1.20896,2.772589,1.435085,1.94591,0.0,1.386294,0.0,0.698135,0.0,0.71295,0.009307,0.698135,1.94591,0.001176,0.00147,0.004539,3.218876,2.70805,0.001181,1.48614,0.011565,0.003533,0
0.693147,0.000753,0.0,1.098612,0.0,0.0,0.006535,0.0,0.0,0.0,2.231242,0.0,0.698135,0.698135,0.0,0.0,0.0,3.988984,0.00081,0.0,2.210581,0.0,0.0,0.756122,2.639057,5.446737,3.135494,2.079442,1.386294,0.693147,0.0,0.0,3.091042,0.0,4.317488,0.000892,0.0,0.000917,1.108563,0.722706,2.70805,0.788457,0.0,0.693147,0.0,0.693147,0.0,0.0,1.108563,0.130873,1.617406,1.386294,0.010083,0.013656,0.000986,4.234107,0.693147,0.011215,0.887891,0.19163,0.000936,0
0.0,0.0,0.0,0.0,0.0,0.0,0.00137,0.0,0.0,0.0,1.626344,0.0,0.0,0.0,0.0,0.0,0.0,1.098612,0.0,0.0,0.092186,0.0,0.042721,0.0,0.0,2.079442,5.963579,1.098612,2.079442,0.0,0.0,0.703098,0.693147,3.205182,1.098612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.098612,0.0,0.0,0.0,0.0,0.001408,0.0,0.00598,1.80171,0.0,0.0,0.013975,0.0,4.477337,1.098612,0.0,0.0,0.000752,0.0,0
0.0,0.0,0.00432,2.079442,0.0,0.0,0.003696,0.0,0.698135,0.0,2.307633,0.0,0.0,0.0,1.791759,0.693147,0.0,1.791759,0.0,0.0,0.204556,0.0,0.0,0.0,1.609438,2.70805,0.0,1.098612,0.693147,2.302585,0.0,0.0,0.693147,0.0,2.484907,0.0,0.0,0.00203,0.698135,0.0,2.639057,0.698135,1.94591,0.693147,0.693147,0.0,0.0,0.0,1.105257,0.017235,1.108563,2.197225,0.000865,0.002219,0.000743,3.178054,1.098612,0.007667,0.698135,0.01206,0.0,0
