ck_oo_numberOfPrivateMethods,LDHH_lcom,LDHH_fanIn,numberOfNonTrivialBugsFoundUntil:,WCHU_numberOfPublicAttributes,WCHU_numberOfAttributes,CvsWEntropy,LDHH_numberOfPublicMethods,WCHU_fanIn,LDHH_numberOfPrivateAttributes,CvsEntropy,LDHH_numberOfPublicAttributes,WCHU_numberOfPrivateMethods,WCHU_numberOfMethods,ck_oo_numberOfPublicAttributes,ck_oo_noc,numberOfCriticalBugsFoundUntil:,ck_oo_wmc,LDHH_numberOfPrivateMethods,WCHU_numberOfPrivateAttributes,CvsLogEntropy,WCHU_noc,LDHH_numberOfAttributesInherited,WCHU_wmc,ck_oo_fanOut,ck_oo_numberOfLinesOfCode,ck_oo_numberOfAttributesInherited,ck_oo_numberOfMethods,ck_oo_dit,ck_oo_fanIn,LDHH_noc,WCHU_dit,ck_oo_lcom,WCHU_numberOfAttributesInherited,ck_oo_rfc,LDHH_wmc,LDHH_numberOfAttributes,LDHH_numberOfLinesOfCode,WCHU_fanOut,WCHU_lcom,ck_oo_cbo,WCHU_rfc,ck_oo_numberOfAttributes,numberOfHighPriorityBugsFoundUntil:,ck_oo_numberOfPrivateAttributes,numberOfMajorBugsFoundUntil:,WCHU_numberOfPublicMethods,LDHH_dit,WCHU_cbo,CvsLinEntropy,WCHU_numberOfMethodsInherited,numberOfBugsFoundUntil:,LDHH_fanOut,LDHH_numberOfMethodsInherited,LDHH_rfc,ck_oo_numberOfMethodsInherited,ck_oo_numberOfPublicMethods,LDHH_cbo,WCHU_numberOfLinesOfCode,CvsExpEntropy,LDHH_numberOfMethods,bug
0.0,0.0,0.0,1.098612,0.0,0.698135,0.0,0.012451,0.0,0.012444,0.0,0.0,0.0,0.0,0.0,1.098612,0.0,2.197225,0.0,0.698135,0.0,0.703098,0.0,0.71784,1.609438,4.219508,0.0,1.609438,0.693147,0.0,0.012921,0.0,1.94591,0.0,2.890372,0.01295,0.014551,0.012469,0.0,0.0,1.609438,0.0,1.098612,1.386294,1.098612,0.0,0.698135,0.0,0.0,0.0,0.0,1.609438,0.0,0.0,0.0,0.0,1.609438,0.0,0.802002,0.0,0.0,0
1.386294,0.008096,0.002702,2.397895,0.0,1.403643,0.137752,0.005877,0.698135,0.008587,2.366957,0.0,0.698135,1.398717,0.0,0.0,0.0,3.218876,0.003175,1.403643,2.343248,0.0,0.0,1.627278,2.639057,5.308268,0.693147,1.94591,1.098612,0.0,0.0,0.0,2.772589,0.0,3.988984,0.012255,0.008819,0.012169,1.398717,1.451614,2.639057,1.642873,2.197225,2.70805,2.197225,0.693147,1.111858,0.0,1.398717,0.187626,1.406097,3.091042,0.010445,0.007741,0.01184,2.995732,1.098612,0.010828,1.701105,0.367123,0.009212,1
0.693147,0.0,0.0,0.0,0.0,0.0,0.000949,0.0,0.0,0.0,1.046276,0.0,0.0,0.0,0.0,0.0,0.0,2.197225,0.0,0.0,2.311871,0.0,0.0,0.0,0.0,3.367296,0.0,1.609438,0.693147,0.693147,0.0,0.0,1.94591,0.0,2.484907,0.0,0.0,0.0,0.0,0.0,0.693147,0.0,1.386294,1.098612,1.098612,0.0,0.0,0.0,0.0,0.128324,0.0,1.098612,0.0,0.0,0.0,0.0,0.693147,0.0,0.0,0.161786,0.0,0
2.484907,0.061911,0.036856,2.197225,0.0,1.396245,0.068785,0.017382,1.105257,0.014212,1.467197,0.0,0.698135,1.964311,0.0,1.098612,0.0,5.170484,0.003062,1.396245,2.323826,1.105257,0.0,1.99061,3.258097,6.416732,1.609438,4.110874,1.386294,2.302585,0.02953,0.0,7.4793,0.0,5.913503,0.068015,0.014112,0.077243,1.621366,2.631169,3.555348,2.259678,2.833213,0.0,2.833213,0.693147,1.401183,0.0,1.957274,0.165886,0.0,2.484907,0.043365,0.0,0.077995,3.610918,3.7612,0.082638,2.309561,0.256077,0.063614,1
0.693147,0.0,0.005203,1.386294,0.0,0.698135,0.015904,0.0,1.621366,0.001054,1.613101,0.0,0.0,0.0,0.0,0.0,0.0,2.639057,0.0,0.698135,0.107064,0.0,0.0,0.0,1.386294,4.477337,2.197225,2.302585,1.098612,1.098612,0.0,0.0,3.610918,0.0,3.688879,0.0,0.001023,0.000864,0.0,0.0,1.791759,0.0,1.098612,0.0,1.098612,0.0,0.0,0.0,1.621366,0.011491,1.105257,1.609438,0.0,0.009743,0.0,4.158883,1.098612,0.00535,0.698135,0.014693,0.0,0
0.0,0.000734,0.0,1.609438,0.0,0.698135,0.009965,0.00117,0.0,0.001504,1.938042,0.0,0.0,0.703098,0.0,0.0,0.693147,2.772589,0.0,0.698135,2.324466,0.0,0.0,0.71295,1.098612,3.850148,0.0,2.197225,1.609438,0.0,0.0,0.0,3.367296,0.0,2.772589,0.00103,0.001465,0.010771,1.108563,0.756122,1.098612,0.71784,1.609438,1.791759,1.609438,0.693147,0.703098,0.0,1.108563,0.143219,1.131402,2.079442,0.003748,0.009743,0.0009,4.276666,2.197225,0.004173,1.646734,0.197674,0.001252,0
0.693147,0.0,0.0,1.386294,0.0,0.0,0.001873,0.0,0.0,0.0,0.912295,0.0,0.0,0.0,0.0,0.0,0.0,1.791759,0.0,0.0,0.114565,0.0,0.0,0.0,1.098612,2.833213,0.0,1.386294,0.693147,0.693147,0.0,0.0,1.386294,0.0,2.397895,0.0,0.0,0.0,1.105257,0.0,1.386294,0.0,1.386294,0.0,0.693147,0.0,0.0,0.0,1.105257,0.042598,0.0,1.386294,0.013677,0.0,0.0,0.0,1.098612,0.01437,0.0,0.109969,0.0,0
1.098612,0.0,0.0,1.386294,0.0,0.0,0.051634,0.0,0.0,0.0,1.831884,0.0,0.0,0.0,0.0,0.0,0.0,2.197225,0.0,0.0,0.124428,0.0,0.0,0.0,1.609438,4.812184,0.0,1.609438,0.693147,0.0,0.0,0.0,1.94591,0.0,3.465736,0.0,0.0,0.0,1.403643,0.0,1.609438,1.181727,1.098612,2.079442,1.098612,0.0,0.0,0.0,1.403643,0.009967,1.105257,2.564949,0.00759,0.009743,0.005825,2.302585,1.098612,0.00703,0.0,0.003131,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.013229,0.0,0.0,0.0,1.806073,0.0,0.0,0.0,0.0,0.0,0.0,2.564949,0.0,0.0,0.153841,0.0,0.0,0.0,0.0,3.78419,0.0,2.079442,0.693147,0.0,0.0,0.0,3.091042,0.0,2.397895,0.0,0.0,0.003038,0.708036,0.0,0.0,0.0,1.386294,1.098612,1.386294,0.0,0.0,0.0,0.708036,0.024015,1.456287,1.386294,0.00262,0.011746,0.0,2.302585,2.079442,0.002688,0.703098,0.068202,0.0,0
0.0,0.0,0.052546,1.609438,0.0,0.0,0.006746,0.0,2.089392,0.0,2.141863,0.0,0.0,0.0,0.0,0.0,0.0,1.94591,0.0,0.0,2.32944,0.0,0.0,0.698135,0.0,2.890372,0.0,1.94591,0.693147,2.564949,0.0,0.0,2.772589,0.0,1.94591,0.00283,0.0,0.002547,0.0,0.0,2.564949,0.0,1.386294,1.791759,1.386294,0.0,0.0,0.0,2.089392,0.150117,1.111858,1.94591,0.0,0.009743,0.0,2.944439,1.94591,0.05118,0.703098,0.216978,0.0,0
