ck_oo_numberOfPrivateMethods,LDHH_lcom,LDHH_fanIn,numberOfNonTrivialBugsFoundUntil:,WCHU_numberOfPublicAttributes,WCHU_numberOfAttributes,CvsWEntropy,LDHH_numberOfPublicMethods,WCHU_fanIn,LDHH_numberOfPrivateAttributes,CvsEntropy,LDHH_numberOfPublicAttributes,WCHU_numberOfPrivateMethods,WCHU_numberOfMethods,ck_oo_numberOfPublicAttributes,ck_oo_noc,numberOfCriticalBugsFoundUntil:,ck_oo_wmc,LDHH_numberOfPrivateMethods,WCHU_numberOfPrivateAttributes,CvsLogEntropy,WCHU_noc,LDHH_numberOfAttributesInherited,WCHU_wmc,ck_oo_fanOut,ck_oo_numberOfLinesOfCode,ck_oo_numberOfAttributesInherited,ck_oo_numberOfMethods,ck_oo_dit,ck_oo_fanIn,LDHH_noc,WCHU_dit,ck_oo_lcom,WCHU_numberOfAttributesInherited,ck_oo_rfc,LDHH_wmc,LDHH_numberOfAttributes,LDHH_numberOfLinesOfCode,WCHU_fanOut,WCHU_lcom,ck_oo_cbo,WCHU_rfc,ck_oo_numberOfAttributes,numberOfHighPriorityBugsFoundUntil:,ck_oo_numberOfPrivateAttributes,numberOfMajorBugsFoundUntil:,WCHU_numberOfPublicMethods,LDHH_dit,WCHU_cbo,CvsLinEntropy,WCHU_numberOfMethodsInherited,numberOfBugsFoundUntil:,LDHH_fanOut,LDHH_numberOfMethodsInherited,LDHH_rfc,ck_oo_numberOfMethodsInherited,ck_oo_numberOfPublicMethods,LDHH_cbo,WCHU_numberOfLinesOfCode,CvsExpEntropy,LDHH_numberOfMethods,bug
0.693147,0.003094,0.0,1.386294,0.0,0.698135,0.009167,0.0,0.0,0.001489,2.565849,0.0,0.0,1.105257,0.0,0.0,0.0,1.791759,0.0,0.698135,0.282284,0.0,0.0,1.105257,2.079442,3.367296,0.0,1.791759,1.098612,0.693147,0.0,1.105257,2.397895,0.0,2.944439,0.003593,0.001491,0.006537,1.108563,1.121678,2.197225,1.623341,1.098612,0.0,0.693147,0.0,0.0,0.003277,1.108563,0.031474,2.215937,1.791759,0.002991,0.013887,0.005888,3.367296,0.693147,0.002638,1.819699,0.050283,0.003405,0
0.0,0.0,0.001349,1.386294,0.0,0.698135,0.006091,0.0,0.698135,0.003308,1.572921,0.0,0.0,0.0,0.0,0.0,0.0,2.995732,0.0,0.698135,0.106298,0.0,0.0,1.396245,1.386294,4.007333,0.693147,2.079442,1.098612,1.386294,0.0,0.0,3.091042,0.0,3.091042,0.005639,0.003303,0.006568,0.698135,0.0,1.94591,1.111858,2.302585,0.0,2.302585,0.0,0.0,0.0,1.105257,0.013316,0.0,1.609438,0.00094,0.0,0.00205,3.610918,1.791759,0.002562,1.406097,0.031476,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.003627,0.0,0.0,0.0,2.003598,0.0,0.0,0.0,0.0,0.0,0.0,2.079442,0.0,0.0,0.156434,0.0,0.0,0.0,0.693147,3.178054,0.0,1.609438,0.693147,0.693147,0.0,0.0,1.94591,0.0,2.484907,0.0,0.0,0.004985,0.0,0.0,1.098612,0.0,1.791759,0.0,1.098612,0.0,0.0,0.0,0.0,0.016192,0.698135,0.0,0.0,0.001645,0.0,1.94591,1.609438,0.0,0.698135,0.03378,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.000665,0.0,0.0,0.0,0.940179,0.0,0.0,0.0,0.0,0.0,0.0,1.098612,0.0,0.0,0.05125,0.0,0.0,0.0,1.098612,2.079442,0.0,1.098612,1.94591,0.0,0.0,0.0,0.693147,0.0,1.791759,0.0,0.0,0.0,0.0,0.0,1.098612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007999,0.0,1.098612,0.0,0.0,0.0,3.044522,1.098612,0.0,0.0,0.024408,0.0,0
1.386294,0.000459,0.000638,1.94591,0.0,0.703098,0.055606,0.0,0.703098,0.000528,2.955056,0.0,0.71784,0.71784,0.0,0.0,0.0,2.890372,0.000399,0.703098,0.384776,0.0,0.0,0.765468,1.386294,4.394449,0.0,2.302585,0.693147,0.0,0.0,0.0,3.610918,0.0,3.295837,0.000718,0.000361,0.007136,1.623341,0.936093,1.386294,1.467874,2.079442,0.0,2.079442,0.0,0.0,0.0,1.627278,0.040689,0.0,2.079442,0.005355,0.0,0.003088,0.0,1.94591,0.004548,1.638997,0.066264,0.000458,0
0.0,0.0,0.0,0.693147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.386294,0.0,0.0,0.0,0.0,0.0,0.0,0.693147,2.397895,4.532599,1.386294,1.791759,0.693147,0.0,0.0,1.386294,0.0,1.609438,0.0,0.0,0.0,0.0,0.0,1.098612,0.0,0.693147,0.0,0.693147,0.0,0.0,0.0,0.0,0.0,0.708036,0.693147,0.0,0.000935,0.0,4.488636,1.386294,0.0,0.0,0.0,0.0,0
1.609438,0.004167,0.000935,1.94591,0.0,0.0,0.035467,0.003942,0.698135,0.0,2.891754,0.0,0.703098,1.621366,0.0,0.693147,0.0,4.564348,0.001807,0.0,0.380197,0.698135,0.0,2.231089,2.890372,5.560682,2.302585,3.258097,1.609438,2.197225,0.000945,0.0,5.70711,0.0,4.828314,0.015266,0.0,0.020008,1.961502,1.838961,3.258097,1.860975,2.302585,0.0,1.94591,0.0,1.617406,0.0,2.09433,0.04702,1.105257,2.484907,0.007206,0.003823,0.005883,3.912023,3.091042,0.008872,2.387845,0.09702,0.004599,0
0.693147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.791759,0.0,0.0,0.0,0.0,0.0,0.0,1.386294,3.332205,0.0,1.791759,0.693147,0.0,0.0,0.0,2.397895,0.0,2.772589,0.0,0.0,0.0,0.0,0.0,1.386294,0.0,0.693147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.693147,0.0,0.0,0.0,0.0,1.386294,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.693147,0.0,0.0,0.000349,0.0,0.0,0.0,1.017699,0.0,0.0,0.0,0.0,0.0,0.0,2.302585,0.0,0.0,0.059886,0.0,0.0,0.0,1.609438,3.465736,1.098612,1.098612,1.098612,0.0,0.0,0.0,0.693147,0.0,2.890372,0.0,0.0,0.0,0.0,0.0,1.609438,0.0,0.693147,0.0,0.0,0.0,0.0,0.0,0.0,0.010046,0.0,0.693147,0.0,0.0,0.0,2.70805,0.693147,0.0,0.0,0.033365,0.0,0
1.386294,0.0,0.0,1.098612,0.0,0.698135,0.018583,0.0,0.0,0.002593,1.41016,0.0,0.0,0.0,0.0,0.0,0.0,2.995732,0.0,0.698135,0.111108,0.0,0.0,0.708036,1.791759,4.634729,0.0,2.079442,0.693147,0.693147,0.0,0.0,3.091042,0.0,3.688879,0.004678,0.003059,0.00844,0.698135,0.0,1.791759,0.698135,1.791759,0.0,1.791759,0.0,0.0,0.0,0.698135,0.022064,0.0,1.94591,0.003987,0.0,0.00412,0.0,1.609438,0.004569,1.128171,0.080863,0.0,0
