AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,bug
1.098612,1.098612,1.098612,0.693147,2.564949,0.693147,2.397895,0.693147,5.129899,3.258097,4.912655,3.610918,4.317488,2.484907,4.330733,4.70048,3.583519,4.317488,1.386294,1.386294,1.386294,0.076961,2.639057,2.639057,2.639057,1.94591,1
1.386294,1.386294,1.386294,0.693147,2.944439,0.693147,2.833213,0.0,5.840642,3.78419,5.560682,4.276666,4.976734,3.78419,4.919981,5.273,4.060443,4.927254,2.564949,2.564949,2.564949,0.157004,3.89182,3.871201,3.988984,2.833213,1
1.098612,1.098612,1.098612,0.693147,2.833213,1.386294,2.639057,0.0,3.7612,2.397895,3.496508,2.833213,2.564949,0.0,3.091042,3.258097,2.639057,2.564949,1.386294,1.386294,1.386294,0.0,1.609438,1.609438,1.609438,1.098612,0
2.079442,2.079442,2.484907,0.693147,3.091042,1.386294,2.890372,0.0,5.198497,3.465736,4.867534,3.555348,4.454347,3.044522,4.248495,4.770685,3.332205,4.51086,2.995732,2.995732,3.465736,0.14842,3.871201,3.871201,4.276666,1.94591,0
1.386294,1.098612,1.386294,0.693147,2.833213,0.693147,2.70805,0.0,5.926926,3.988984,5.645447,4.369448,5.075174,3.73767,5.043425,5.356586,4.127134,5.01728,2.079442,2.079442,2.197225,0.139762,3.951244,3.89182,4.043051,2.995732,1
0.693147,0.693147,0.693147,0.693147,2.484907,0.693147,2.302585,0.0,3.367296,1.94591,3.091042,1.94591,2.484907,0.693147,2.302585,2.564949,1.791759,2.079442,1.098612,1.098612,1.098612,0.04879,1.386294,1.386294,1.386294,1.098612,0
0.693147,0.693147,0.693147,0.693147,2.70805,0.693147,2.639057,0.0,4.812184,2.564949,4.304065,2.890372,3.332205,3.663562,3.218876,3.583519,2.639057,3.135494,1.098612,1.098612,1.098612,0.41871,1.791759,1.791759,1.791759,1.386294,0
1.098612,1.098612,1.098612,0.693147,2.484907,0.693147,2.197225,0.0,4.356709,2.772589,4.094345,3.295837,3.178054,1.386294,3.496508,3.828641,3.091042,3.218876,1.609438,1.609438,1.609438,0.04879,2.302585,2.302585,2.302585,1.609438,1
1.791759,1.791759,1.94591,0.693147,3.295837,1.098612,3.091042,1.386294,6.317165,4.406719,5.998937,4.521789,5.493061,4.394449,5.4161,5.771441,4.442651,5.46806,2.70805,2.70805,2.890372,0.182322,4.418841,4.406719,4.51086,3.367296,1
1.098612,1.098612,1.386294,0.693147,2.484907,0.0,2.302585,0.693147,5.375278,3.367296,4.59512,3.332205,3.951244,4.574711,3.931826,4.219508,3.258097,3.7612,2.397895,2.397895,2.833213,0.683097,3.178054,3.178054,3.401197,2.639057,0
