wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max_cc,avg_cc,bug
2.197225,1.098612,0.0,1.386294,2.639057,3.367296,1.098612,1.098612,2.197225,0.76214,4.043051,0.0,0.0,0.430783,0.340927,0.693147,1.098612,1.909543,0.693147,0.559616,1
2.944439,0.693147,0.0,3.258097,2.995732,4.682131,3.258097,0.0,2.944439,0.323787,5.141664,0.693147,0.0,0.0,0.360003,0.0,0.0,2.233592,1.098612,0.798498,0
2.302585,0.693147,0.0,4.543295,4.820282,3.496508,0.0,4.543295,1.791759,0.559616,6.984716,0.405465,0.0,0.0,0.226313,0.0,0.0,4.78471,4.49981,2.494122,1
0.0,0.693147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.098612,1.609438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.693147,0.693147,0.0,2.639057,0.693147,0.0,2.639057,0.0,0.693147,1.098612,0.693147,0.0,0.0,0.0,0.693147,0.0,0.0,0.0,0.693147,0.693147,0
2.944439,0.693147,0.0,3.258097,2.995732,4.682131,3.258097,0.0,2.944439,0.323787,5.141664,0.693147,0.0,0.0,0.360003,0.0,0.0,2.233592,1.098612,0.798498,0
3.295837,0.693147,0.0,2.833213,4.369448,4.189655,1.609438,2.564949,2.995732,0.559616,6.892642,0.470004,1.609438,0.0,0.137959,0.0,0.0,3.612995,3.044522,1.35702,1
2.639057,1.098612,0.0,1.94591,3.258097,4.204693,1.098612,1.609438,2.484907,0.575364,5.164786,0.510826,0.0,0.421214,0.287682,0.693147,1.94591,2.576714,1.386294,0.767234,1
1.94591,1.386294,0.0,0.693147,2.772589,2.772589,0.693147,0.0,1.94591,0.778013,5.620401,0.05557,1.098612,0.64985,0.262364,0.693147,1.098612,3.688879,1.098612,0.773205,1
1.386294,0.693147,0.0,1.098612,3.091042,1.386294,0.0,1.098612,1.098612,1.098612,4.727388,0.0,0.0,0.0,0.287682,0.0,0.0,3.619887,1.609438,1.203963,0
3.091042,1.098612,0.0,2.079442,3.555348,5.164786,1.609438,1.386294,2.995732,0.673845,5.655992,0.302281,0.0,0.321583,0.373204,0.693147,1.94591,2.546465,1.098612,0.644377,1
2.70805,1.098612,0.0,1.609438,3.526361,3.583519,0.693147,1.386294,2.564949,0.514664,5.214936,0.0,0.0,0.377294,0.260531,0.693147,1.791759,2.548328,1.791759,0.94445,1
