e_changed_log_length,e_changed_loc_,e_loc_,e_chang_count_,e_bug_count_,m_MaxCyclomatic,m_SumEssential,m_SumCyclomatic,m_CountLineBlank,m_AvgCyclomatic,m_AvgCyclomaticStrict,m_AvgCyclomaticModified,m_SumCyclomaticStrict,m_CountStmtDecl,m_CountLineCodeExe,m_CountLineComment,m_MaxCyclomaticStrict,m_CountLineCode,m_CountStmtExe,m_MaxCyclomaticModified,m_CountLineCodeDecl,m_CountDeclFunction,m_CountLine,m_CountDeclClass,m_CountStmt,m_SumCyclomaticModified,md_MaxCyclomatic,md_SumEssential,md_SumCyclomatic,md_CountLineBlank,md_AvgCyclomatic,md_AvgCyclomaticStrict,md_AvgCyclomaticModified,md_SumCyclomaticStrict,md_CountStmtDecl,md_CountLineCodeExe,md_CountLineComment,md_MaxCyclomaticStrict,md_CountLineCode,md_CountStmtExe,md_MaxCyclomaticModified,md_CountLineCodeDecl,md_CountDeclFunction,md_CountLine,md_CountStmt,md_SumCyclomaticModified,bug
4.941642,3.828641,4.174387,0.693147,0.693147,0.0,0.0,0.0,1.386294,0.0,0.0,0.0,0.0,0.693147,0.0,4.007333,0.0,2.079442,0.0,0.0,1.791759,0.0,4.174387,0.693147,0.693147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.828641,0.0,0.0,0.0,0.0,0.0,0.0,3.828641,0.0,0.0,1
4.553877,1.609438,6.505784,3.526361,3.091042,1.94591,3.637586,4.158883,4.343805,1.098612,1.098612,1.098612,4.343805,4.762174,4.787492,5.111988,2.564949,6.061457,4.672829,1.94591,5.181784,3.433987,6.505784,1.098612,5.407172,4.158883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.098612,0.0,0.0,1.098612,0.0,1.098612,0.0,0.0,1
4.219508,2.302585,5.866468,1.098612,1.098612,2.564949,2.70805,3.688879,3.637586,1.386294,1.609438,1.386294,3.871201,4.060443,4.454347,4.143135,2.890372,5.537334,4.276666,2.564949,4.369448,2.484907,5.866468,0.693147,4.859812,3.688879,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,,0.0,0.0,1
4.955827,1.098612,5.627621,2.70805,2.302585,2.397895,2.197225,3.044522,3.367296,1.098612,1.098612,1.098612,3.135494,3.610918,3.713572,4.564348,2.564949,5.043425,3.610918,2.397895,4.26268,2.197225,5.627621,0.693147,4.290459,3.044522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
6.142037,2.564949,5.043425,1.791759,1.791759,1.098612,2.197225,2.302585,3.091042,0.693147,0.693147,0.693147,2.302585,2.639057,2.079442,4.430817,1.098612,3.931826,2.079442,1.098612,3.178054,2.197225,5.043425,0.693147,3.044522,2.302585,0.0,0.0,0.0,0.693147,0.0,0.0,0.0,0.0,,0.0,1.609438,0.0,,0.0,0.0,,0.0,1.098612,,0.0,1
4.736198,0.693147,3.401197,0.693147,0.693147,0.0,0.0,0.0,1.791759,0.0,0.0,0.0,0.0,0.693147,0.0,2.639057,0.0,2.484907,0.0,0.0,2.302585,0.0,3.401197,0.693147,0.693147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,,0.0,0.0,0
5.117994,1.791759,5.451038,3.135494,2.772589,1.94591,2.397895,2.944439,3.295837,0.693147,0.693147,0.693147,2.995732,3.465736,3.526361,4.330733,2.079442,4.882802,3.496508,1.94591,4.077537,2.397895,5.451038,0.693147,4.158883,2.944439,0.0,0.693147,0.693147,0.693147,0.0,,0.0,0.693147,0.693147,0.0,0.0,0.0,1.609438,0.0,0.0,1.098612,0.693147,1.791759,0.693147,0.693147,1
5.288267,1.386294,4.143135,1.609438,1.098612,0.0,0.0,0.0,1.386294,0.0,0.0,0.0,0.0,0.693147,0.0,4.007333,0.0,1.791759,0.0,0.0,1.386294,0.0,4.143135,0.693147,0.693147,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,,0.0,0.0,0
5.267858,1.098612,4.644391,1.791759,1.098612,1.098612,1.098612,1.386294,2.079442,0.693147,1.098612,0.693147,1.609438,1.94591,2.302585,4.143135,1.386294,3.555348,1.791759,1.098612,2.890372,1.098612,4.644391,0.693147,2.484907,1.386294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
5.043425,2.302585,6.645091,2.302585,2.197225,2.484907,3.78419,4.356709,4.304065,1.098612,1.386294,1.098612,4.584967,4.553877,5.231109,5.257495,2.70805,6.224558,4.94876,2.484907,4.905275,3.496508,6.645091,0.693147,5.459586,4.356709,0.0,0.0,0.0,,0.0,0.0,0.0,0.693147,0.0,0.0,1.098612,0.0,0.0,0.0,0.0,0.0,0.0,0.693147,0.0,0.0,1
6.142037,4.204693,6.50279,3.496508,3.044522,1.94591,3.637586,4.158883,4.343805,1.098612,1.098612,1.098612,4.343805,4.762174,4.787492,5.111988,2.564949,6.056784,4.672829,1.94591,5.170484,3.433987,6.50279,1.098612,5.407172,4.158883,0.0,0.0,0.0,0.693147,0.0,0.0,0.0,0.0,0.0,0.0,3.828641,0.0,0.0,0.0,0.0,0.0,0.0,3.850148,0.0,0.0,1
6.142037,3.258097,4.418841,2.302585,0.0,0.693147,0.693147,0.693147,1.791759,0.693147,0.693147,0.693147,0.693147,1.098612,0.0,4.204693,0.693147,2.484907,0.0,0.693147,2.079442,0.693147,4.418841,0.693147,1.098612,0.693147,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,,0.0,0.0,1
5.288267,1.098612,4.787492,2.197225,2.079442,1.386294,1.791759,1.791759,2.302585,0.693147,0.693147,0.693147,1.791759,2.079442,2.639057,4.248495,1.386294,3.73767,2.484907,1.386294,2.833213,1.386294,4.787492,0.693147,2.944439,1.791759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
6.142037,3.135494,5.247024,2.397895,2.079442,1.791759,2.079442,2.302585,2.944439,1.098612,1.098612,1.098612,2.397895,2.70805,3.465736,4.356709,1.791759,4.564348,3.332205,1.791759,3.637586,1.609438,5.252273,0.693147,3.73767,2.302585,0.0,0.0,0.0,1.098612,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,1
