wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max_cc,avg_cc,bug
2.197225,1.098612,0.0,1.609438,2.70805,0.0,0.693147,1.386294,2.197225,0.487703,5.361292,0.693147,0.693147,0.462623,0.348307,0.693147,1.791759,3.253277,2.564949,1.216395,0
2.302585,1.791759,0.0,2.70805,3.78419,0.0,1.098612,2.564949,2.197225,0.459532,6.056784,0.693147,0.693147,0.666274,0.245123,1.386294,2.484907,3.850148,2.70805,1.329142,1
1.94591,1.098612,0.0,1.609438,3.258097,2.639057,1.098612,1.098612,1.791759,0.641854,4.65396,0.693147,0.693147,0.626898,0.266629,0.693147,0.693147,2.833213,1.098612,0.693147,0
1.386294,1.386294,0.0,0.693147,1.609438,1.386294,0.0,0.693147,1.386294,1.098612,2.397895,0.0,0.0,0.688084,0.693147,1.098612,1.609438,1.203973,0.693147,0.510846,0
2.197225,1.098612,0.0,1.609438,2.890372,0.0,1.098612,1.098612,2.197225,0.0,3.871201,0.0,0.693147,0.554311,0.348307,0.693147,0.693147,1.7492,0.693147,0.628609,0
1.098612,1.386294,0.0,1.791759,1.609438,0.693147,0.693147,1.609438,1.098612,1.098612,2.302585,0.0,0.0,0.680877,0.559616,0.693147,0.693147,1.504077,0.693147,0.405465,0
2.639057,0.693147,0.0,2.484907,3.73767,3.663562,2.197225,1.609438,2.564949,0.664976,5.583496,0.693147,1.098612,0.0,0.238411,0.0,0.0,2.991879,2.302585,0.990396,0
2.397895,0.693147,0.0,0.693147,2.70805,0.0,0.0,0.693147,2.397895,0.386773,5.198497,0.693147,0.693147,0.0,0.336472,0.0,0.0,2.867899,1.386294,0.955511,0
3.135494,1.098612,0.0,3.78419,4.077537,5.308268,2.302585,3.610918,3.091042,0.421214,6.57368,0.693147,0.0,0.484056,0.181739,1.098612,1.609438,3.47984,2.079442,0.934327,1
3.433987,0.693147,0.693147,2.079442,3.526361,0.0,2.079442,0.0,3.433987,0.352355,6.839476,0.693147,0.0,0.0,0.336472,0.0,0.0,3.432911,1.791759,1.15269,0
2.484907,0.693147,0.0,0.693147,2.772589,0.0,0.693147,0.0,2.484907,0.371564,5.659482,0.693147,0.0,0.0,0.473785,0.0,0.0,3.244012,1.609438,1.157447,0
2.302585,0.693147,0.0,0.693147,2.772589,3.610918,0.0,0.693147,2.302585,1.098612,4.248495,0.0,0.0,0.0,0.10536,0.0,0.0,2.036882,1.098612,0.693147,0
3.091042,0.693147,0.693147,2.564949,3.401197,4.343805,2.484907,0.693147,3.044522,0.61968,6.016157,0.154151,0.0,0.0,0.339868,0.0,0.0,2.954414,2.197225,0.980842,1
1.94591,1.098612,0.0,1.386294,3.295837,1.386294,0.693147,1.098612,1.94591,0.550046,6.137727,0.0,0.0,0.572519,0.377294,0.693147,0.693147,4.330733,1.098612,0.693147,0
1.609438,2.197225,0.0,2.397895,2.772589,1.098612,1.098612,2.197225,1.386294,0.287682,4.584967,0.693147,0.693147,0.682375,0.362905,1.098612,1.098612,3.167583,1.609438,0.916291,0
1.386294,1.386294,1.386294,3.713572,3.465736,1.386294,3.433987,3.526361,1.386294,1.098612,5.493061,0.0,0.0,0.682452,0.421214,0.0,0.0,4.390325,1.098612,0.847284,0
2.079442,0.693147,0.0,3.401197,2.890372,0.0,3.295837,1.386294,2.079442,0.0,5.049856,0.693147,0.0,0.0,0.381368,0.0,0.0,3.091042,1.609438,1.049807,0
1.386294,1.609438,0.0,0.693147,1.609438,0.693147,0.0,0.693147,1.098612,0.405465,6.390241,0.0,0.0,0.681171,0.693147,0.0,0.0,5.288267,0.693147,0.287657,0
3.091042,0.693147,0.0,1.609438,3.73767,0.0,1.386294,1.098612,3.091042,0.463734,5.880533,0.693147,0.0,0.0,0.232622,0.0,0.0,2.819109,1.609438,0.962793,0
1.791759,1.609438,0.0,2.397895,2.772589,2.397895,1.386294,2.079442,1.791759,1.098612,4.143135,0.0,0.0,0.684056,0.470004,1.386294,2.079442,2.517696,1.386294,0.788457,1
1.098612,0.693147,0.0,0.693147,1.609438,0.693147,0.693147,0.0,1.098612,1.098612,2.302585,0.0,0.0,0.0,0.559616,0.0,0.0,1.504077,0.693147,0.405465,0
3.7612,0.693147,0.0,2.397895,4.454347,0.0,1.609438,1.94591,3.7612,0.578842,6.082219,0.693147,1.098612,0.0,0.211435,0.0,0.0,2.326116,1.94591,0.78413,0
3.044522,1.098612,0.0,3.73767,3.806662,5.252273,2.944439,3.433987,2.995732,1.098612,5.869297,0.0,0.0,0.491407,0.207639,1.098612,1.609438,2.870736,2.197225,0.896088,1
2.197225,1.386294,0.0,2.484907,3.091042,2.197225,1.386294,2.197225,2.079442,0.538997,4.927254,0.0,0.0,0.612178,0.251314,1.098612,2.197225,2.810908,1.386294,0.753772,1
2.397895,1.098612,0.0,1.386294,3.135494,0.0,0.0,1.386294,2.397895,0.510826,4.804021,0.693147,0.693147,0.422857,0.300105,0.693147,1.791759,2.459589,1.609438,0.832909,0
