@relation data/M_multi_metrics_JDT.csv-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.MathExpression-E(A-MIN)/(MAX-MIN)

@attribute ck_oo_numberOfPrivateMethods numeric
@attribute LDHH_lcom numeric
@attribute LDHH_fanIn numeric
@attribute numberOfNonTrivialBugsFoundUntil: numeric
@attribute WCHU_numberOfPublicAttributes numeric
@attribute WCHU_numberOfAttributes numeric
@attribute CvsWEntropy numeric
@attribute LDHH_numberOfPublicMethods numeric
@attribute WCHU_fanIn numeric
@attribute LDHH_numberOfPrivateAttributes numeric
@attribute CvsEntropy numeric
@attribute LDHH_numberOfPublicAttributes numeric
@attribute WCHU_numberOfPrivateMethods numeric
@attribute WCHU_numberOfMethods numeric
@attribute ck_oo_numberOfPublicAttributes numeric
@attribute ck_oo_noc numeric
@attribute numberOfCriticalBugsFoundUntil: numeric
@attribute ck_oo_wmc numeric
@attribute LDHH_numberOfPrivateMethods numeric
@attribute WCHU_numberOfPrivateAttributes numeric
@attribute CvsLogEntropy numeric
@attribute WCHU_noc numeric
@attribute LDHH_numberOfAttributesInherited numeric
@attribute WCHU_wmc numeric
@attribute ck_oo_fanOut numeric
@attribute ck_oo_numberOfLinesOfCode numeric
@attribute ck_oo_numberOfAttributesInherited numeric
@attribute ck_oo_numberOfMethods numeric
@attribute ck_oo_dit numeric
@attribute ck_oo_fanIn numeric
@attribute LDHH_noc numeric
@attribute WCHU_dit numeric
@attribute ck_oo_lcom numeric
@attribute WCHU_numberOfAttributesInherited numeric
@attribute ck_oo_rfc numeric
@attribute LDHH_wmc numeric
@attribute LDHH_numberOfAttributes numeric
@attribute LDHH_numberOfLinesOfCode numeric
@attribute WCHU_fanOut numeric
@attribute WCHU_lcom numeric
@attribute ck_oo_cbo numeric
@attribute WCHU_rfc numeric
@attribute ck_oo_numberOfAttributes numeric
@attribute numberOfHighPriorityBugsFoundUntil: numeric
@attribute ck_oo_numberOfPrivateAttributes numeric
@attribute numberOfMajorBugsFoundUntil: numeric
@attribute WCHU_numberOfPublicMethods numeric
@attribute LDHH_dit numeric
@attribute WCHU_cbo numeric
@attribute CvsLinEntropy numeric
@attribute WCHU_numberOfMethodsInherited numeric
@attribute numberOfBugsFoundUntil: numeric
@attribute LDHH_fanOut numeric
@attribute LDHH_numberOfMethodsInherited numeric
@attribute LDHH_rfc numeric
@attribute ck_oo_numberOfMethodsInherited numeric
@attribute ck_oo_numberOfPublicMethods numeric
@attribute LDHH_cbo numeric
@attribute WCHU_numberOfLinesOfCode numeric
@attribute CvsExpEntropy numeric
@attribute LDHH_numberOfMethods numeric
@attribute bug {Y,N}

@data
0,0.020376,0,0.02,0,0,0.001977,0,0,0,0.175019,0,0,0.030033,0.003205,0.038462,0,0.006548,0,0,0.871483,0.199211,0.072491,0.017335,0.032258,0.004087,0.092362,0.01737,0.428571,0.014599,1,0,0.000259,0.034645,0.005763,0.007352,0,0.007346,0.06658,0.002977,0.025641,0.018437,0.003195,0.1,0,0,0,0,0.02866,0.451722,0.36,0.018692,0.020189,0.415791,0.007623,0.398119,0.010336,0.011135,0.011264,0.341619,0.017319,N
0,0.016166,0,0.015,0,0,0.006484,0.020904,0,0,0.160107,0,0,0.03033,0,0,0.066667,0.008333,0,0,0.875637,0,0,0.03467,0.053763,0.005994,0,0.022333,0,0.007299,0,0,0.000444,0,0.009988,0.013988,0,0.016865,0.067885,0.003199,0.032051,0.037401,0.00639,0,0.05,0.026316,0.03341,0,0.029222,0.529352,0.039608,0.018692,0.018075,0.024722,0.019848,0.025078,0.023256,0.010693,0.022528,0.41252,0.01543,N
0,0,0,0.02,0,0.031106,0.010754,0,0,0,0.178273,0,0,0,0,0.076923,0,0.007143,0,0,0.872446,0,0.234003,0.03535,0.010753,0.004632,0.108348,0.004963,0.428571,0.007299,0,0,0.000012,0.216616,0.001153,0.03646,0.05909,0.029002,0.065927,0,0.012821,0.035645,0.019169,0,0,0,0,0,0.028379,0.448851,0.398039,0.018692,0.057478,0.359945,0.028761,0.141066,0.002584,0.032256,0.013123,0.323109,0,N
0,0.033357,0.198335,0.175,0,0,0.152059,0.037903,0.057071,0,0.618755,0,0,0.060065,0.009615,0.192308,0.333333,0.150595,0,0,0.942698,0,0.699079,0.28467,0.236559,0.107206,0.735346,0.052109,0.714286,0.072993,0,0.502463,0.002592,0.795829,0.106416,0.471925,0,0.520901,0.263708,0.006648,0.205128,0.32748,0.015974,0,0,0.157895,0.066164,0.145693,0.170554,0.744387,0.158824,0.186916,0.215558,0.213872,0.479684,0.294671,0.054264,0.309039,0.263998,0.676328,0.027902,Y
0,0,0,0.01,0.066447,0.031106,0.005304,0,0,0,0.056188,0,0,0,0.003205,0,0,0.005952,0,0,0.00979,0,0.737439,0.03586,0,0.003814,0.719361,0.012407,0.285714,0.007299,0,0.502463,0.000123,0.442314,0.004994,0.047897,0.041659,0.048594,0.131854,0,0.00641,0.036523,0.003195,0,0,0,0,0.145693,0.056758,0.047033,0.370196,0.009346,0.106193,0.394444,0.04883,0.22884,0,0.080558,0.023513,0.082261,0,N
0.045045,0.065426,0.032854,0.205,0.066447,0.031106,0.064578,0.040338,0.085465,0,0.489331,0.04604,0.109624,0.120428,0.025641,0.115385,0.133333,0.160119,0.045357,0,0.912946,0.597633,0.699079,0.222468,0.182796,0.096445,0.674956,0.027295,0.142857,0.058394,0.541554,0.502463,0.000679,0.795493,0.066078,0.10508,0.022769,0.122957,0.131854,0.012323,0.153846,0.190342,0.025559,0.1,0,0.078947,0.033082,0.145693,0.142175,0.531512,0.079216,0.224299,0.036333,0.044806,0.084569,0.084639,0.01292,0.050093,0.186899,0.311237,0.068776,Y
0.009009,0.218181,0,0.09,0.203289,0.064059,0.025057,0.280093,0,0,0.40856,0.102954,0,0.180196,0.038462,0.076923,0,0.035119,0,0,0.908933,0,0,0.160095,0.107527,0.031331,0,0.022333,0,0.014599,0,0,0.000444,0,0.017288,0.187665,0.019628,0.150004,0.199086,0.018109,0.076923,0.16453,0.041534,0.1,0,0.026316,0.132329,0,0.085698,0.612779,0.039608,0.093458,0.265615,0.024722,0.127884,0.028213,0.015504,0.163814,0.160652,0.509301,0.227761,Y
0.036036,0,0,0.01,0,0.031106,0.003294,0,0,0.28483,0.029484,0,0,0,0.003205,0.076923,0,0.032738,0,0.083128,0.850679,0,0,0,0.129032,0.03351,0,0.019851,0,0.014599,0,0,0.000346,0,0.020361,0,0.207825,0.129033,0,0,0.089744,0,0.01278,0,0.025,0,0,0,0,0.377801,0,0.009346,0,0,0,0.025078,0,0,0.011155,0.242282,0,N
0,0.035102,0.088019,0.04,0.066447,0.031106,0.020264,0.0504,0.056789,0.012438,0.250069,0.033739,0,0.060363,0.00641,0.038462,0.066667,0.030952,0,0.083951,0.884898,0,0,0.104521,0.064516,0.027108,0.005329,0.029777,0.142857,0.145985,0,0,0.000815,0,0.017288,0.065599,0.011856,0.063465,0,0.006426,0.160256,0.072344,0.019169,0,0.05,0.026316,0.066492,0,0.056758,0.504331,0,0.042056,0,0,0.045376,0.031348,0.023256,0.075305,0.070429,0.387346,0.035324,Y
0,0,0.040495,0.03,0,0,0.008427,0,0.028395,0,0.150697,0,0,0,0.009615,0,0.066667,0.008929,0,0,0.019433,0,0.057932,0.018695,0.075269,0.007901,0.005329,0.012407,0.142857,0.029197,0,0,0.000123,0.103599,0.010757,0.007884,0,0.013407,0.068538,0,0.064103,0.021071,0.009585,0,0,0.026316,0,0,0.057881,0.039762,0.082353,0.028037,0.017018,0.036926,0.008347,0.031348,0.01292,0.047428,0.025591,0.003263,0,Y
