@relation eclipse-weka.filters.unsupervised.attribute.MathExpression-E(A-MIN)/(MAX-MIN)

@attribute e_changed_log_length numeric
@attribute e_changed_loc_ numeric
@attribute e_loc_ numeric
@attribute e_chang_count_ numeric
@attribute e_bug_count_ numeric
@attribute m_MaxCyclomatic numeric
@attribute m_SumEssential numeric
@attribute m_SumCyclomatic numeric
@attribute m_CountLineBlank numeric
@attribute m_AvgCyclomatic numeric
@attribute m_AvgCyclomaticStrict numeric
@attribute m_AvgCyclomaticModified numeric
@attribute m_SumCyclomaticStrict numeric
@attribute m_CountStmtDecl numeric
@attribute m_CountLineCodeExe numeric
@attribute m_CountLineComment numeric
@attribute m_MaxCyclomaticStrict numeric
@attribute m_CountLineCode numeric
@attribute m_CountStmtExe numeric
@attribute m_MaxCyclomaticModified numeric
@attribute m_CountLineCodeDecl numeric
@attribute m_CountDeclFunction numeric
@attribute m_CountLine numeric
@attribute m_CountDeclClass numeric
@attribute m_CountStmt numeric
@attribute m_SumCyclomaticModified numeric
@attribute md_MaxCyclomatic numeric
@attribute md_SumEssential numeric
@attribute md_SumCyclomatic numeric
@attribute md_CountLineBlank numeric
@attribute md_AvgCyclomatic numeric
@attribute md_AvgCyclomaticStrict numeric
@attribute md_AvgCyclomaticModified numeric
@attribute md_SumCyclomaticStrict numeric
@attribute md_CountStmtDecl numeric
@attribute md_CountLineCodeExe numeric
@attribute md_CountLineComment numeric
@attribute md_MaxCyclomaticStrict numeric
@attribute md_CountLineCode numeric
@attribute md_CountStmtExe numeric
@attribute md_MaxCyclomaticModified numeric
@attribute md_CountLineCodeDecl numeric
@attribute md_CountDeclFunction numeric
@attribute md_CountLine numeric
@attribute md_CountDeclClass numeric
@attribute md_CountStmt numeric
@attribute md_SumCyclomaticModified numeric
@attribute bug {N,Y}

@data
0.619048,0.340565,0.134561,0.254902,0.5,0.327273,0.339572,0.157852,0.027735,0.375,0.4,0.333333,0.193204,0.228616,0.106405,0.091051,0.590909,0.137678,0.115373,0.791209,0.150776,0.106667,0.134316,0,0.140236,0.174257,0.632353,0.491228,0.477876,0.236364,0.5,0.428571,0.4,0.660377,0.386792,0.490637,0.223404,0.756098,0.581019,0.518692,0.733333,0.497207,0.325,0.55794,0.333333,0.475,0.580645,N
0.619048,0.003287,0.038245,0.196078,0.333333,0.068182,0.05615,0.03987,0.004622,0.1875,0.133333,0.133333,0.03301,0.090202,0.031767,0.029183,0.032468,0.041651,0.026721,0.076923,0.063193,0.046667,0.038175,0,0.03862,0.036634,0.632353,0.491228,0.477876,0.236364,0.5,0.428571,0.4,0.660377,0.386792,0.490637,0.223404,0.756098,0.581019,0.518692,0.733333,0.497207,0.325,0.55794,0.333333,0.475,0.580645,Y
0.619048,0.001972,0.029668,0.215686,0.25,0.027273,0.037433,0.025224,0.003082,0.125,0.133333,0.133333,0.032039,0.080871,0.019112,0.027626,0.038961,0.029888,0.01729,0.065934,0.056541,0.046667,0.029614,0,0.028759,0.030693,0.632353,0.491228,0.477876,0.236364,0.5,0.428571,0.4,0.660377,0.386792,0.490637,0.223404,0.756098,0.581019,0.518692,0.733333,0.497207,0.325,0.55794,0.333333,0.475,0.580645,Y
0.690476,0.000657,0.002672,0,0,0.013636,0.010695,0.004882,0.009245,0.0625,0.066667,0.066667,0.005825,0.004666,0.002841,0,0.019481,0.004242,0.004087,0.032967,0.008869,0.013333,0.002667,0,0.003835,0.005941,0.632353,0.491228,0.477876,0.236364,0.5,0.428571,0.4,0.660377,0.386792,0.490637,0.228723,0.756098,0.581019,0.518692,0.733333,0.497207,0.325,0.55794,0.333333,0.475,0.580645,N
0.690476,0.000657,0.001547,0,0,0.013636,0.008021,0.004068,0.006163,0.0625,0.066667,0.066667,0.004854,0.00311,0.002324,0,0.019481,0.003085,0.003458,0.032967,0.005543,0.01,0.001544,0,0.003013,0.00495,0.632353,0.491228,0.477876,0.236364,0.5,0.428571,0.4,0.660377,0.386792,0.490637,0.228723,0.756098,0.581019,0.518692,0.733333,0.497207,0.325,0.55794,0.333333,0.475,0.580645,N
0.690476,0.000657,0.001547,0,0,0.013636,0.008021,0.004068,0.006163,0.0625,0.066667,0.066667,0.004854,0.00311,0.002324,0,0.019481,0.003085,0.003458,0.032967,0.005543,0.01,0.001544,0,0.003013,0.00495,0.632353,0.491228,0.477876,0.236364,0.5,0.428571,0.4,0.660377,0.386792,0.490637,0.228723,0.756098,0.581019,0.518692,0.733333,0.497207,0.325,0.55794,0.333333,0.475,0.580645,N
0.261905,0.080868,0.028965,0.117647,0,0.040909,0.058824,0.030919,0.030817,0.125,0.2,0.133333,0.037864,0.054432,0.022986,0.01284,0.071429,0.030659,0.020119,0.098901,0.043237,0.043333,0.029053,0,0.026568,0.035644,0.632353,0.45614,0.442478,0.090909,0.5,0.571429,0.4,0.650943,0.349057,0.449438,0.12766,0.780488,0.539352,0.46729,0.733333,0.47486,0.275,0.463519,0.333333,0.428125,0.537634,N
0.261905,0.000657,0.12036,0.470588,0.583333,0.413636,0.294118,0.142392,0.060092,0.4375,0.533333,0.466667,0.182524,0.189736,0.126808,0.06965,0.623377,0.145199,0.142722,1,0.145233,0.076667,0.120281,0.333333,0.157217,0.173267,0.632353,0.491228,0.477876,0.236364,0.5,0.428571,0.4,0.660377,0.386792,0.490637,0.223404,0.756098,0.581019,0.518692,0.733333,0.497207,0.325,0.55794,0.333333,0.475,0.580645,N
0.261905,0.004602,0.132874,0.215686,0.416667,0.081818,0.235294,0.183889,0.069337,0.4375,0.466667,0.466667,0.228155,0.247278,0.118027,0.080545,0.12987,0.145006,0.130776,0.197802,0.13969,0.106667,0.133474,0,0.156943,0.221782,0.632353,0.508772,0.504425,0.218182,0.666667,0.428571,0.6,0.688679,0.396226,0.513109,0.223404,0.756098,0.597222,0.560748,0.733333,0.502793,0.325,0.570815,0.333333,0.50625,0.612903,N
0.261905,0,0.796682,0.333333,0.25,0.186364,1,1,0.087827,0.25,0.2,0.2,1,0.734059,1,0.193385,0.175325,1,1,0.252747,0.506652,1,0.795228,0,1,1,0.632353,0.491228,0.477876,0.236364,0.5,0.428571,0.4,0.660377,0.386792,0.494382,0.223404,0.756098,0.583333,0.523364,0.733333,0.497207,0.325,0.560086,0.333333,0.478125,0.580645,N
