@relation ant-1.3-weka.filters.unsupervised.attribute.MathExpression-E(A-MIN)/(MAX-MIN)

@attribute wmc numeric
@attribute dit numeric
@attribute noc numeric
@attribute cbo numeric
@attribute rfc numeric
@attribute lcom numeric
@attribute ca numeric
@attribute ce numeric
@attribute npm numeric
@attribute lcom3 numeric
@attribute loc numeric
@attribute dam numeric
@attribute moa numeric
@attribute mfa numeric
@attribute cam numeric
@attribute ic numeric
@attribute cbm numeric
@attribute amc numeric
@attribute max_cc numeric
@attribute avg_cc numeric
@attribute bug {N,Y}

@data
0.15493,0.6,0.058824,0.135922,0.225806,0.012906,0.020202,0.571429,0.084746,0.3625,0.180119,1,0.142857,0.885057,0.232323,0.75,0.571429,0.342034,0.085714,0.216829,N
0.197183,0,0.029412,0.07767,0.172043,0.021807,0.040404,0.190476,0.20339,0.417583,0.117191,1,0,0,0.307692,0,0,0.166902,0.171429,0.2799,Y
0.042254,0.2,0,0.009709,0.048387,0,0,0.047619,0.016949,0,0.026448,1,0.142857,0.714286,0.666667,0.25,0.142857,0.171617,0.028571,0.113585,N
0.169014,0.4,0,0.116505,0.198925,0.014241,0,0.571429,0.20339,0.429293,0.141359,1,0.142857,0.770833,0.458333,0,0,0.238449,0.085714,0.241362,N
0.084507,0.4,0,0.038835,0.112903,0.000445,0,0.190476,0.101695,0.35,0.062016,1,0,0.880952,0.416667,0.5,0.285714,0.207921,0.028571,0.141969,N
0.070423,0,0,0.029126,0.080645,0,0.020202,0.047619,0.067797,0.25,0.062472,1,0,0,0.9,0,0,0.249505,0.114286,0.306665,N
0.056338,0.6,0,0.058252,0.172043,0.00267,0,0.285714,0.016949,1,0.148199,0,0,0.963855,0.75,0.75,0.714286,0.794554,0.314286,0.894439,N
0.225352,0.4,0,0.029126,0.215054,0.037383,0.010101,0.095238,0.271186,0.329166,0.275422,1,0.285714,0.580645,0.291667,0.5,1,0.358911,0.028571,0.138425,N
0.056338,0.8,0,0.048544,0.112903,0,0,0.238095,0.067797,0.166666,0.039672,1,0,0.980892,1,0.25,0.142857,0.20297,0.085714,0.212962,N
0.239437,0.4,0,0.097087,0.295699,0.033823,0.050505,0.285714,0.186441,0.296875,0.210214,1,0,0.652174,0.285714,0.25,0.142857,0.256261,0.171429,0.450985,Y
0.126761,0.4,0,0.087379,0.155914,0,0,0.428571,0.152542,0.291666,0.076607,1,0.142857,0.822222,0.444444,0,0,0.171617,0.057143,0.246082,N
0.042254,0.4,0,0.029126,0.075269,0.000445,0,0.142857,0.050847,0.25,0.038304,1,0,0.948718,0.666667,0.25,0.142857,0.264026,0.028571,0.113585,Y
0.140845,0.4,0,0.048544,0.22043,0.009346,0.010101,0.238095,0.118644,0.396825,0.164159,1,0,0.804348,0.45,0,0,0.339604,0.057143,0.187406,N
0.239437,0.2,0,0.087379,0.344086,0.033823,0.070707,0.095238,0.152542,0.439584,0.325125,0.6,0.285714,0.708333,0.339286,0.25,0.428571,0.396622,0.257143,0.240527,Y
0.070423,0,0.147059,0.116505,0.05914,0.00356,0.111111,0.047619,0.084746,0.375,0.026904,1,0,0,0.7,0,0,0.10495,0.142857,0.272591,N
