@relation poi-2.5-weka.filters.unsupervised.attribute.MathExpression-E(A-MIN)/(MAX-MIN)

@attribute wmc numeric
@attribute dit numeric
@attribute noc numeric
@attribute cbo numeric
@attribute rfc numeric
@attribute lcom numeric
@attribute ca numeric
@attribute ce numeric
@attribute npm numeric
@attribute lcom3 numeric
@attribute loc numeric
@attribute dam numeric
@attribute moa numeric
@attribute mfa numeric
@attribute cam numeric
@attribute ic numeric
@attribute cbm numeric
@attribute amc numeric
@attribute max_cc numeric
@attribute avg_cc numeric
@attribute bug {N,Y}

@data
0.310078,0.25,0,0.032258,0.159574,0.013562,0.005435,0.03876,0.4,0.419071,0.07974,0.9375,0.264706,0.229167,0.275,0.333333,0.3,0.029696,0.01626,0.083211,Y
0.155039,0,0.106061,0.172043,0.095745,0.024714,0.168478,0.031008,0.189474,0.421052,0.014305,1,0,0,0.2375,0,0,0.009682,0.01626,0.091971,N
0.186047,0,0,0.048387,0.138298,0.01296,0.021739,0.03876,0.168421,0.336956,0.045754,0.833333,0.088235,0,0.183333,0,0,0.028543,0.04065,0.149632,Y
0.124031,0.25,0,0.026882,0.074468,0.01085,0.005435,0.031008,0.147368,0.466666,0.025768,0.333333,0,0.458333,0.46875,0.333333,0.3,0.023289,0.01626,0.076642,Y
0.062016,0.25,0,0.026882,0.053191,0.000603,0.01087,0.031008,0.073684,0.4,0.015015,0.6,0,0.583333,0.375,0.333333,0.1,0.027459,0.00813,0.054744,Y
0.085271,0.25,0,0.026882,0.055851,0.007384,0.01087,0.023256,0.094737,0.425,0.010754,0.5,0,0.578947,0.522727,0.333333,0.3,0.013757,0.01626,0.071667,Y
0.023256,0.5,0,0.032258,0.010638,0.000151,0.027174,0.007752,0.031579,1,0.002435,0,0,0.875,0.555556,0,0,0.01139,0.01626,0.116785,N
0.062016,0.25,0,0.107527,0.156915,0.003014,0.01087,0.147287,0.042105,0.410714,0.027087,1,0.117647,0.416667,0.666667,0.333333,0.05,0.051866,0.00813,0.076642,N
0.093023,0,0,0.053763,0.06383,0.000904,0.01087,0.069767,0.115789,0.393939,0.015826,0,0.029412,0,0.375,0,0,0.018712,0.01626,0.087591,Y
0.062016,0.25,0.007576,0.05914,0.098404,0,0.038043,0.03876,0.063158,0.178571,0.028203,1,0,0.823529,0.375,0.333333,0.05,0.05451,0.04878,0.142335,Y
0.124031,0,0,0.010753,0.079787,0.013261,0.005435,0.007752,0.147368,0.341666,0.025363,0,0.029412,0,0.21875,0,0,0.023391,0.03252,0.09854,Y
0.170543,0.25,0,0.048387,0.135638,0.013412,0.016304,0.054264,0.231579,0.360544,0.042305,0.857143,0.058824,0.269231,0.233766,0.333333,0.1,0.028697,0.04065,0.091576,Y
0.193798,0.25,0,0.043011,0.106383,0.038879,0.021739,0.031008,0.242105,0.379167,0.039566,0.8,0,0.333333,0.3,0.333333,0.3,0.023431,0.056911,0.15416,Y
0.48062,0.25,0,0.032258,0.226064,0.092074,0.005435,0.03876,0.631579,0.476986,0.141017,0.5,0.411765,0.157143,0.266129,0.333333,0.3,0.033488,0.01626,0.084762,Y
0.116279,0.25,0,0.037634,0.085106,0.011905,0.021739,0.023256,0.136842,0.392857,0.025464,0.666667,0,0.478261,0.483333,0.333333,0.3,0.025275,0.02439,0.105109,Y
0.155039,0.25,0,0.032258,0.098404,0,0.005435,0.03876,0.189474,0.342106,0.032566,0.833333,0.117647,0.392857,0.36,0.333333,0.3,0.024001,0.01626,0.078832,Y
0,0,0,0,0,0,0,0,0,1,0.000406,0,0,0,0,0,0,0,0,0,N
0.077519,0.25,0.015152,0.026882,0.053191,0,0.01087,0.023256,0.105263,0,0.005377,1,0.029412,0.64,0.55,0.333333,0.1,0.006834,0.00813,0.078832,Y
0.093023,0.25,0,0.026882,0.058511,0.008137,0.01087,0.023256,0.105263,0.409091,0.01187,0.5,0,0.55,0.5,0.333333,0.3,0.013967,0.01626,0.07299,Y
0.72093,0,0,0.177419,0.648936,0,0.032609,0.217054,0.831579,0.462975,0.146191,0.4375,0.088235,0,0.144928,0,0,0.023305,0.146341,0.145042,Y
0.007752,0,0,0.037634,0.00266,0,0.032609,0.007752,0.010526,1,0.000101,0,0,0,1,0,0,0,0.00813,0.087591,N
0.155039,0.5,0,0.182796,0.335106,0.01959,0.016304,0.248062,0.105263,0.523559,0.118697,0.019048,0.058824,0.55814,0.161538,0.666667,0.35,0.076477,0.089431,0.210218,Y
