@relation synapse-1.0-weka.filters.unsupervised.attribute.MathExpression-E(A-MIN)/(MAX-MIN)

@attribute wmc numeric
@attribute dit numeric
@attribute noc numeric
@attribute cbo numeric
@attribute rfc numeric
@attribute lcom numeric
@attribute ca numeric
@attribute ce numeric
@attribute npm numeric
@attribute lcom3 numeric
@attribute loc numeric
@attribute dam numeric
@attribute moa numeric
@attribute mfa numeric
@attribute cam numeric
@attribute ic numeric
@attribute cbm numeric
@attribute amc numeric
@attribute max_cc numeric
@attribute avg_cc numeric
@attribute bug {N,Y}

@data
0.084746,0,0,0.136364,0.438356,0.002364,0.011364,0.297297,0.035714,0.35,0.674365,0.5,0,0,0.3,0,0,0.939128,1,1,N
0.050847,0.5,0,0.056818,0.054795,0.003152,0,0.135135,0.053571,0.333334,0.033487,1,0,0.6,0.666667,0,0,0.061035,0.025641,0.071429,N
0.067797,0.25,0,0.125,0.273973,0.004728,0,0.297297,0.053571,0.423077,0.487298,0.923077,0,0.25,0.416667,0,0,0.791016,0.435897,0.542857,N
0.084746,0,0,0.068182,0.143836,0,0.045455,0.081081,0.089286,0,0.176674,1,0,0,0.5,0,0,0.239258,0.179487,0.428571,N
0,0,0,0.102273,0,0,0.090909,0.027027,0.017857,1,0,0,0,0,1,0,0,0,0.025641,0.142857,N
0.050847,0.25,0,0.045455,0.143836,0.001576,0.011364,0.081081,0.035714,0.277778,0.159353,1,0,0.5,0.625,0,0,0.322266,0.102564,0.25,Y
0.288136,0.25,0,0.147727,0.40411,0.051221,0.034091,0.27027,0.160714,0.451871,0.523095,0.454545,0,0.272727,0.252101,0,0,0.230577,0.179487,0.269843,N
0.016949,0.5,0,0.079545,0.020548,0.000788,0.056818,0.054054,0.035714,1,0.009238,0,0,0.933333,0.75,0,0,0.03418,0.025641,0.071429,N
0.118644,0,0.090909,0.113636,0.273973,0.01576,0.011364,0.243243,0.089286,0.428571,0.252887,0.666667,0,0,0.357143,0,0,0.255127,0.358974,0.339286,N
0.101695,0,0,0.011364,0.047945,0,0.011364,0,0.125,0.361111,0.118938,1,0,0,0.428571,0,0,0.126953,0.128205,0.204086,N
0,0,0,0.136364,0,0,0.113636,0.054054,0.017857,1,0,0,0,0,1,0,0,0,0.025641,0.142857,N
0.067797,0.5,0,0.079545,0.109589,0.006304,0.022727,0.135135,0.053571,0.416666,0.101617,0.666667,0,0.823529,0.5,0.666667,0.5,0.158203,0.153846,0.228571,N
0.050847,0.25,0,0.045455,0.047945,0.003152,0,0.108108,0.053571,0.333334,0.030023,1,0,0.333333,0.666667,0,0,0.053711,0.025641,0.071429,N
0.118644,0,1,0.284091,0.232877,0.01576,0.125,0.378378,0.071429,0.342857,0.210162,0.8,0,0,0.333333,0,0,0.20752,0.128205,0.25,N
0.084746,0,0,0.170455,0.212329,0.007092,0.011364,0.378378,0.035714,0.5,0.264434,0.777778,0.25,0,0.32,0,0,0.349935,0.358974,0.404757,N
0,0,0,0,0.006849,0,0,0,0.017857,1,0.003464,0,0,0,1,0,0,0.029297,0,0,N
0.135593,0.25,0,0.068182,0.061644,0.017336,0.034091,0.081081,0.160714,0.395834,0.053118,0.666667,0.25,0.333333,0.277778,0,0,0.037977,0.025641,0.126986,N
0.372881,0.25,0,0.170455,0.39726,0.159968,0.034091,0.324324,0.375,0.462121,0.403002,0.916667,0.5,0.16,0.210227,0.333333,0.25,0.133747,0.333333,0.242243,N
0.084746,0.25,0,0.125,0.171233,0.010244,0,0.297297,0.053571,0.433333,0.120092,0.333333,0,0.6,0.4,0.333333,0.5,0.15625,0.102564,0.190471,N
0.135593,0,0,0.113636,0.219178,0.022065,0.011364,0.27027,0.053571,0.416666,0.165127,0.666667,0.25,0,0.232143,0,0,0.143229,0.076923,0.1746,N
0.237288,0.25,0,0.193182,0.458904,0.033885,0.022727,0.405405,0.160714,0.412699,0.545035,0.777778,0,0.315789,0.223214,0,0,0.292318,0.25641,0.257143,Y
0.305085,0,0,0.181818,0.335616,0.082742,0.045455,0.324324,0.267857,0.435185,0.321016,0.888889,0.75,0,0.222222,0,0,0.129009,0.179487,0.210529,N
0.118644,0,0,0.102273,0.136986,0.01576,0.011364,0.216216,0.053571,0.404762,0.100462,0.666667,0.25,0,0.238095,0,0,0.093994,0.051282,0.125,N
0.20339,0,0,0.284091,0.534247,0.052009,0.011364,0.648649,0.071429,0.333334,0.504619,0.5,0,0,0.25,0,0,0.317758,0.487179,0.3956,N
0.067797,0.25,0,0.113636,0.116438,0.006304,0,0.27027,0.053571,0.458334,0.092379,0.666667,0,0.25,0.416667,0,0,0.142578,0.076923,0.142857,N
0.050847,0.5,0,0.056818,0.054795,0.003152,0,0.135135,0.053571,0.333334,0.033487,1,0,0.6,0.666667,0,0,0.061035,0.025641,0.071429,N
0.067797,0,0,0.079545,0.089041,0,0.022727,0.135135,0.089286,0.125,0.146651,0,0,0,0.6,0,0,0.238281,0.128205,0.428571,N
0,0,0,0.125,0.013699,0,0.090909,0.081081,0,1,0.078522,0,0,0,0,0,0,0.058594,0,0,N
