@relation velocity-1.6-weka.filters.unsupervised.attribute.MathExpression-E(A-MIN)/(MAX-MIN)

@attribute wmc numeric
@attribute dit numeric
@attribute noc numeric
@attribute cbo numeric
@attribute rfc numeric
@attribute lcom numeric
@attribute ca numeric
@attribute ce numeric
@attribute npm numeric
@attribute lcom3 numeric
@attribute loc numeric
@attribute dam numeric
@attribute moa numeric
@attribute mfa numeric
@attribute cam numeric
@attribute ic numeric
@attribute cbm numeric
@attribute amc numeric
@attribute max_cc numeric
@attribute avg_cc numeric
@attribute bug {N,Y}

@data
0.091503,0.25,0,0.1375,0.208,0.005314,0,0.180328,0.24,0.477564,0.035446,0.166667,0.1,0.5,0.276923,1,0.333333,0.11413,0.057416,0.096274,Y
0.019608,0.5,0,0.0875,0.024,0.000371,0.052632,0.065574,0.06,1,0.001214,0,0,0.972222,0.533333,0.5,0.111111,0.0157,0.004785,0.014491,N
0.163399,0,0,0.0875,0.312,0.023974,0.026316,0.081967,0.34,0.439394,0.040228,0.727273,0.3,0,0.261905,0,0,0.071594,0.014354,0.045217,N
0.117647,0.5,0,0.125,0.248,0.018413,0,0.163934,0.12,0.509804,0.031651,0.444444,0.1,0.6,0.338235,0.5,0.222222,0.078502,0.023923,0.048309,N
0.104575,0.25,0,0.0375,0.096,0.013099,0.013158,0.032787,0.22,0.166666,0.011461,1,0.1,0.605263,0.5,0.5,0.666667,0.029891,0.009569,0.046196,N
0.071895,0.25,0,0.0875,0.156,0.000865,0.013158,0.098361,0.18,0.333334,0.018596,0,0.1,0.72973,0.333333,0,0,0.076087,0.023923,0.083004,Y
0.052288,0.25,0,0.175,0.172,0.000989,0.052632,0.196721,0.16,0.314285,0.028539,1,0.1,0.833333,0.265625,0.5,0.222222,0.164402,0.023923,0.081522,N
0.019608,0.25,0,0.0625,0.024,0.000371,0.052632,0.04918,0.06,1,0.00129,0,0,0.967742,0.533333,0,0,0.016908,0.004785,0.014491,N
0.026144,0,0,0.05,0.068,0,0.013158,0.04918,0.08,0.166666,0.009108,0.75,0.1,0,0.583333,0,0,0.101449,0.019139,0.065217,N
0.019608,0.25,0,0.025,0.024,0.000371,0,0.032787,0.02,1,0.000911,0,0,0.714286,0.666667,0.5,0.222222,0.01087,0.004785,0.028987,N
0.052288,0.25,0,0.225,0.164,0,0.065789,0.245902,0.16,0.321429,0.016546,1,0.1,0.833333,0.28125,0.5,0.111111,0.093297,0.004785,0.032609,Y
0.078431,0,0,0.2625,0.14,0.008156,0.078947,0.245902,0.18,1,0.025579,0,0,0,0.295455,0,0,0.098128,0.033493,0.086957,N
