ck_oo_numberOfPrivateMethods,LDHH_lcom,LDHH_fanIn,numberOfNonTrivialBugsFoundUntil:,WCHU_numberOfPublicAttributes,WCHU_numberOfAttributes,CvsWEntropy,LDHH_numberOfPublicMethods,WCHU_fanIn,LDHH_numberOfPrivateAttributes,CvsEntropy,LDHH_numberOfPublicAttributes,WCHU_numberOfPrivateMethods,WCHU_numberOfMethods,ck_oo_numberOfPublicAttributes,ck_oo_noc,numberOfCriticalBugsFoundUntil:,ck_oo_wmc,LDHH_numberOfPrivateMethods,WCHU_numberOfPrivateAttributes,CvsLogEntropy,WCHU_noc,LDHH_numberOfAttributesInherited,WCHU_wmc,ck_oo_fanOut,ck_oo_numberOfLinesOfCode,ck_oo_numberOfAttributesInherited,ck_oo_numberOfMethods,ck_oo_dit,ck_oo_fanIn,LDHH_noc,WCHU_dit,ck_oo_lcom,WCHU_numberOfAttributesInherited,ck_oo_rfc,LDHH_wmc,LDHH_numberOfAttributes,LDHH_numberOfLinesOfCode,WCHU_fanOut,WCHU_lcom,ck_oo_cbo,WCHU_rfc,ck_oo_numberOfAttributes,numberOfHighPriorityBugsFoundUntil:,ck_oo_numberOfPrivateAttributes,numberOfMajorBugsFoundUntil:,WCHU_numberOfPublicMethods,LDHH_dit,WCHU_cbo,CvsLinEntropy,WCHU_numberOfMethodsInherited,numberOfBugsFoundUntil:,LDHH_fanOut,LDHH_numberOfMethodsInherited,LDHH_rfc,ck_oo_numberOfMethodsInherited,ck_oo_numberOfPublicMethods,LDHH_cbo,WCHU_numberOfLinesOfCode,CvsExpEntropy,LDHH_numberOfMethods,bug
0.0,0.0,0.0,0.014085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013333,0.0,0.03125,0.0,0.0,0.0,0.0,0.000991,0.0,0.0,0.0,0.0,0.0,0.012987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012821,0.0,0.0,0.0,0.063063,0.018519,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.028169,0.0,0.0,0.00909,0.0,0.0,0.0,0.127818,0.0,0.0,0.0,0.0,0.0,0.0,0.041199,0.0,0.0,0.101531,0.0,0.0,0.0,0.104478,0.054294,0.0,0.053333,0.0,0.0625,0.0,0.0,0.002162,0.0,0.035679,0.0,0.0,0.0,0.045029,0.0,0.116883,0.0,0.014493,0.0,0.02439,0.090909,0.0,0.0,0.045069,0.046374,0.075373,0.025641,0.054647,0.07552,0.0,0.063063,0.055556,0.04463,0.0,0.002595,0.0,0
0.0,0.0,0.052355,0.028169,0.0,0.0,0.012509,0.0,0.090664,0.0,0.105607,0.0,0.0,0.0,0.0,0.0,0.0,0.013109,0.0,0.0,0.087705,0.0,0.0,0.0,0.014925,0.013296,0.0,0.066667,0.0,0.1875,0.0,0.0,0.003604,0.0,0.007929,0.0,0.0,0.0,0.0,0.0,0.090909,0.0,0.021739,0.0,0.036585,0.0,0.0,0.0,0.045069,0.045663,0.0,0.025641,0.0,0.0,0.0,0.063063,0.092593,0.032949,0.0,0.003748,0.0,0
0.020408,0.068071,0.509886,0.098592,0.131783,0.062154,0.376025,0.0,0.455117,0.075238,0.312326,0.024328,0.123926,0.185662,0.014599,0.0,0.0,0.125468,0.068527,0.179646,0.26321,0.490291,0.0,0.136986,0.149254,0.157895,0.0,0.213333,0.0,0.4375,0.0,0.0,0.043243,0.0,0.06442,0.068197,0.045094,0.053233,0.135533,0.106802,0.298701,0.09424,0.086957,0.0,0.085366,0.0,0.0,0.0,0.271754,0.147102,0.075373,0.102564,0.058587,0.07552,0.056732,0.09009,0.259259,0.288544,0.120378,0.03402,0.079443,1
0.0,0.0,0.0,0.014085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003745,0.0,0.0,0.0,0.0,0.0,0.0,0.029851,0.003324,0.0,0.026667,0.0,0.0,0.0,0.0,0.00036,0.0,0.007929,0.0,0.0,0.0,0.0,0.0,0.025974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012821,0.0,0.0,0.0,0.081081,0.037037,0.0,0.0,0.0,0.0,0
0.040816,0.017535,0.0,0.112676,0.135659,0.0,0.030257,0.0,0.0,0.044012,0.237739,0.061207,0.061963,0.061887,0.0,0.0,0.0,0.078652,0.015836,0.09292,0.184387,0.0,0.0,0.109858,0.104478,0.081994,0.0,0.12,0.0,0.0625,0.0,0.0,0.012973,0.0,0.059465,0.058542,0.0,0.044984,0.0,0.033241,0.116883,0.071659,0.043478,0.0,0.073171,0.0,0.0,0.0,0.0,0.077034,0.226866,0.102564,0.0,0.168674,0.035522,0.171171,0.074074,0.0,0.085867,0.001263,0.017982,0
0.285714,0.048709,0.0,0.112676,0.0,0.188308,0.203363,0.118173,0.0,0.786358,0.271812,0.0,0.063804,0.125613,0.0,0.0,0.0,0.219101,0.0,0.270796,0.289858,0.0,0.0,0.111738,0.283582,0.217729,0.0,0.426667,0.0,0.21875,0.0,0.0,0.178739,0.0,0.194252,0.124884,0.757436,0.179041,0.180562,0.106187,0.337662,0.146544,0.07971,0.0,0.134146,0.181818,0.109902,0.0,0.180723,0.331573,0.0,0.115385,0.107928,0.0,0.192285,0.063063,0.333333,0.101269,0.096138,0.309235,0.043696,1
0.0,0.0,0.0,0.014085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012821,0.0,0.0,0.0,0.063063,0.0,0.0,0.0,0.0,0.0,0
0.0,0.199911,0.249178,0.070423,0.0,0.124308,0.127405,0.281499,0.554758,0.03143,0.397741,0.0,0.0,0.4375,0.0,0.0,0.0,0.052434,0.0,0.089381,0.34987,0.0,0.0,0.221595,0.208955,0.110803,0.0,0.253333,0.0,0.4375,0.0,0.0,0.061622,0.0,0.103072,0.141327,0.099714,0.111793,0.407044,0.265005,0.363636,0.204147,0.014493,0.0,0.012195,0.181818,0.775843,0.0,0.460062,0.245273,0.075373,0.076923,0.354685,0.07552,0.113232,0.063063,0.333333,0.364811,0.199877,0.192207,0.175682,1
0.0,0.028738,0.0,0.014085,0.0,0.0,0.003606,0.0,0.0,0.0,0.131506,0.0,0.0,0.0625,0.0,0.0,0.0,0.022472,0.0,0.0,0.125919,0.0,0.0,0.029009,0.074627,0.01385,0.0,0.093333,1.0,0.125,0.0,0.0,0.007568,0.0,0.015857,0.016738,0.0,0.139725,0.046812,0.034164,0.116883,0.025576,0.014493,0.0,0.02439,0.0,0.0,0.0,0.046854,0.121422,0.15597,0.012821,0.024791,0.118819,0.013797,0.405405,0.092593,0.023513,0.044166,0.167071,0.030929,1
