ck_oo_numberOfPrivateMethods,LDHH_lcom,LDHH_fanIn,numberOfNonTrivialBugsFoundUntil:,WCHU_numberOfPublicAttributes,WCHU_numberOfAttributes,CvsWEntropy,LDHH_numberOfPublicMethods,WCHU_fanIn,LDHH_numberOfPrivateAttributes,CvsEntropy,LDHH_numberOfPublicAttributes,WCHU_numberOfPrivateMethods,WCHU_numberOfMethods,ck_oo_numberOfPublicAttributes,ck_oo_noc,numberOfCriticalBugsFoundUntil:,ck_oo_wmc,LDHH_numberOfPrivateMethods,WCHU_numberOfPrivateAttributes,CvsLogEntropy,WCHU_noc,LDHH_numberOfAttributesInherited,WCHU_wmc,ck_oo_fanOut,ck_oo_numberOfLinesOfCode,ck_oo_numberOfAttributesInherited,ck_oo_numberOfMethods,ck_oo_dit,ck_oo_fanIn,LDHH_noc,WCHU_dit,ck_oo_lcom,WCHU_numberOfAttributesInherited,ck_oo_rfc,LDHH_wmc,LDHH_numberOfAttributes,LDHH_numberOfLinesOfCode,WCHU_fanOut,WCHU_lcom,ck_oo_cbo,WCHU_rfc,ck_oo_numberOfAttributes,numberOfHighPriorityBugsFoundUntil:,ck_oo_numberOfPrivateAttributes,numberOfMajorBugsFoundUntil:,WCHU_numberOfPublicMethods,LDHH_dit,WCHU_cbo,CvsLinEntropy,WCHU_numberOfMethodsInherited,numberOfBugsFoundUntil:,LDHH_fanOut,LDHH_numberOfMethodsInherited,LDHH_rfc,ck_oo_numberOfMethodsInherited,ck_oo_numberOfPublicMethods,LDHH_cbo,WCHU_numberOfLinesOfCode,CvsExpEntropy,LDHH_numberOfMethods,bug
0.0,0.0,0.0,0.005,0.0,0.0,0.000966,0.0,0.0,0.0,0.08164,0.0,0.0,0.0,0.0,0.0,0.0,0.005952,0.0,0.0,0.010438,0.0,0.0,0.0,0.043011,0.005721,0.0,0.014888,0.142857,0.029197,0.0,0.0,0.000185,0.0,0.005378,0.0,0.0,0.0,0.0,0.0,0.051282,0.0,0.019169,0.0,0.15,0.0,0.0,0.0,0.0,0.020887,0.039608,0.004673,0.0,0.024722,0.0,0.0721,0.01292,0.0,0.0,0.001777,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.000599,0.04468,0.0,0.0,0.05922,0.0,0.0,0.0,0.003205,0.038462,0.0,0.008929,0.0,0.0,0.00879,0.0,0.0,0.0,0.021505,0.004359,0.0,0.014888,0.0,0.014599,0.0,0.0,0.000185,0.0,0.003842,0.0,0.0,0.0,0.0,0.0,0.025641,0.0,0.003195,0.0,0.0,0.0,0.033082,0.0,0.0,0.027322,0.0,0.0,0.0,0.0,0.0,0.025078,0.002584,0.0,0.0,0.018512,0.0,0
0.0,0.156791,0.048957,0.025,0.0,0.062519,0.021078,0.142723,0.056789,0.147593,0.173527,0.0,0.0,0.060957,0.0,0.0,0.0,0.003571,0.0,0.167078,0.873251,0.0,0.108577,0.03484,0.021505,0.00218,0.005329,0.009926,0.428571,0.014599,0.0,0.502463,7.4e-05,0.033972,0.002689,0.052752,0.068365,0.00599,0.065927,0.005953,0.025641,0.035996,0.003195,0.1,0.025,0.0,0.067147,0.854307,0.085136,0.476744,0.161961,0.028037,0.128517,0.161884,0.058073,0.119122,0.010336,0.135671,0.012248,0.365894,0.128208,1
0.0,0.0,0.007254,0.02,0.0,0.0,0.001741,0.0,0.028395,0.0,0.159369,0.0,0.0,0.0,0.0,0.0,0.0,0.004762,0.0,0.0,0.874492,0.0,0.02276,0.0,0.021505,0.00395,0.168739,0.019851,0.285714,0.021898,0.0,0.0,0.000346,0.033972,0.006915,0.0,0.0,0.0,0.0,0.0,0.032051,0.0,0.003195,0.0,0.025,0.0,0.0,0.0,0.028379,0.519038,0.079216,0.023364,0.0,0.065322,0.0,0.22884,0.002584,0.008349,0.0,0.400129,0.0,0
0.0,0.0,0.0,0.005,0.0,0.0,0.00167,0.0,0.0,0.0,0.134291,0.0,0.0,0.0,0.003205,0.0,0.0,0.003571,0.0,0.0,0.871271,0.0,0.0,0.0,0.021505,0.002452,0.0,0.009926,0.142857,0.029197,0.0,0.0,7.4e-05,0.0,0.002305,0.0,0.0,0.0,0.0,0.0,0.038462,0.0,0.009585,0.0,0.05,0.0,0.0,0.0,0.0,0.512576,0.039608,0.004673,0.0,0.024722,0.0,0.047022,0.007752,0.0,0.0,0.399772,0.0,0
0.009009,0.053384,0.0,0.025,0.0,0.0,0.003583,0.04723,0.0,0.033782,0.068646,0.0,0.0,0.060065,0.0,0.038462,0.0,0.033333,0.0,0.083951,0.010176,0.199211,0.0,0.053025,0.11828,0.020706,0.010657,0.047146,0.142857,0.029197,0.0,0.0,0.002111,0.0,0.029197,0.038456,0.0,0.039667,0.067232,0.006537,0.096154,0.05619,0.019169,0.0,0.075,0.0,0.033082,0.0,0.029222,0.031402,0.039608,0.028037,0.023931,0.024456,0.035786,0.075235,0.036176,0.013071,0.037402,0.020049,0.059164,0
0.0,0.0,0.0,0.01,0.0,0.0,0.001217,0.0,0.0,0.0,0.138777,0.0,0.0,0.0,0.0,0.0,0.0,0.005357,0.0,0.0,0.017405,0.0,0.283591,0.0,0.043011,0.003814,0.065719,0.009926,0.571429,0.014599,0.0,0.0,7.4e-05,0.071645,0.00461,0.0,0.0,0.0,0.0,0.0,0.038462,0.017735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.032669,0.158431,0.009346,0.0,0.228603,0.006648,0.275862,0.002584,0.0,0.0,0.001939,0.0,0
0.018018,0.065295,0.0,0.02,0.0,0.0,0.011906,0.0,0.0,0.0,0.171742,0.0,0.073082,0.060065,0.012821,0.0,0.0,0.021429,0.054503,0.0,0.870516,0.0,0.0,0.052855,0.021505,0.016074,0.0,0.027295,0.0,0.014599,0.0,0.0,0.000679,0.0,0.012678,0.04281,0.0,0.043141,0.065927,0.006176,0.025641,0.035996,0.01278,0.0,0.0,0.0,0.0,0.0,0.028379,0.435548,0.039608,0.018692,0.068722,0.024722,0.033513,0.025078,0.023256,0.045824,0.036527,0.302053,0.064279,0
0.0,0.0,0.0,0.045,0.0,0.0,0.001741,0.0,0.0,0.0,0.159369,0.0,0.0,0.0,0.0,0.0,0.0,0.019048,0.0,0.0,0.874492,0.0,0.02276,0.0,0.053763,0.017436,0.168739,0.039702,0.285714,0.007299,0.0,0.0,0.001481,0.033972,0.024587,0.0,0.0,0.0,0.0,0.0,0.038462,0.0,0.022364,0.0,0.1,0.0,0.0,0.0,0.0,0.519038,0.079216,0.046729,0.0,0.065322,0.0,0.22884,0.018088,0.0,0.0,0.400129,0.0,0
0.117117,0.451023,0.0,0.11,0.2,0.1583,0.103824,0.041831,0.0,0.498933,0.522003,0.235444,0.146889,0.151056,0.00641,0.0,0.066667,0.044643,0.372456,0.422222,0.931317,0.0,0.274189,0.152107,0.107527,0.050402,0.015986,0.044665,0.142857,0.014599,0.0,0.0,0.001889,0.068618,0.042259,0.209151,0.351368,0.332025,0.399478,0.017331,0.076923,0.210184,0.031949,0.1,0.2,0.052632,0.066164,0.0,0.171958,0.746322,0.079216,0.14486,0.120263,0.036926,0.23017,0.031348,0.01292,0.076787,0.200241,0.696022,0.455991,0
