ck_oo_numberOfPrivateMethods,LDHH_lcom,LDHH_fanIn,numberOfNonTrivialBugsFoundUntil:,WCHU_numberOfPublicAttributes,WCHU_numberOfAttributes,CvsWEntropy,LDHH_numberOfPublicMethods,WCHU_fanIn,LDHH_numberOfPrivateAttributes,CvsEntropy,LDHH_numberOfPublicAttributes,WCHU_numberOfPrivateMethods,WCHU_numberOfMethods,ck_oo_numberOfPublicAttributes,ck_oo_noc,numberOfCriticalBugsFoundUntil:,ck_oo_wmc,LDHH_numberOfPrivateMethods,WCHU_numberOfPrivateAttributes,CvsLogEntropy,WCHU_noc,LDHH_numberOfAttributesInherited,WCHU_wmc,ck_oo_fanOut,ck_oo_numberOfLinesOfCode,ck_oo_numberOfAttributesInherited,ck_oo_numberOfMethods,ck_oo_dit,ck_oo_fanIn,LDHH_noc,WCHU_dit,ck_oo_lcom,WCHU_numberOfAttributesInherited,ck_oo_rfc,LDHH_wmc,LDHH_numberOfAttributes,LDHH_numberOfLinesOfCode,WCHU_fanOut,WCHU_lcom,ck_oo_cbo,WCHU_rfc,ck_oo_numberOfAttributes,numberOfHighPriorityBugsFoundUntil:,ck_oo_numberOfPrivateAttributes,numberOfMajorBugsFoundUntil:,WCHU_numberOfPublicMethods,LDHH_dit,WCHU_cbo,CvsLinEntropy,WCHU_numberOfMethodsInherited,numberOfBugsFoundUntil:,LDHH_fanOut,LDHH_numberOfMethodsInherited,LDHH_rfc,ck_oo_numberOfMethodsInherited,ck_oo_numberOfPublicMethods,LDHH_cbo,WCHU_numberOfLinesOfCode,CvsExpEntropy,LDHH_numberOfMethods,bug
0.0,0.0,0.076761,0.0,0.0,0.0,0.003372,0.0,0.134127,0.0,0.108851,0.0,0.0,0.0,0.0,0.285714,,0.0,0.0,0.0,0.025538,0.581015,0.0,0.0,0.0,0.0,0.0,0.015873,0.0,0.103448,0.926143,0.0,0.000127,0.0,0.002203,0.0,0.0,0.0,0.0,0.0,0.100559,0.0,0.0,,0.0,,0.0,0.0,0.133879,0.042979,0.205982,0.0,0.0,0.173072,0.0,0.084906,0.036364,0.079072,0.0,0.028934,0.0,0
0.0,0.012765,0.108028,0.074074,0.0,0.0,0.040044,0.019728,0.053439,0.0,0.233607,0.0,0.0,0.045743,0.0,0.0,,0.053719,0.0,0.0,0.092229,0.0,0.0,0.029833,0.142857,0.028282,0.0,0.079365,0.25,0.011494,0.0,0.0,0.005714,0.0,0.05837,0.009689,0.0,0.009553,0.0,0.010632,0.03352,0.025267,0.03125,,0.044444,,0.075712,0.0,0.05334,0.400503,0.210061,0.074074,0.0,0.173072,0.009981,0.367925,0.163636,0.132074,0.017338,0.451435,0.011846,0
0.0,0.191114,0.0,0.024691,0.0,0.0,0.001484,0.330932,0.0,0.0,0.073032,0.0,0.0,0.046196,0.0,0.0,,0.033058,0.0,0.0,0.030142,0.0,0.0,0.029833,0.107143,0.022346,0.0,0.079365,0.25,0.011494,0.0,0.5,0.005714,0.0,0.02533,0.144462,0.0,0.16005,0.0,0.011412,0.027933,0.025753,0.09375,,0.0,,0.076462,0.610833,0.0,0.14524,0.206662,0.024691,0.0,0.330981,0.185405,0.150943,0.181818,0.0,0.017834,0.190904,0.178798,0
0.0,0.0,0.0,0.0,0.0,0.0,0.006442,0.0,0.0,0.0,0.0659,0.0,0.0,0.0,0.037037,0.0,,0.002066,0.0,0.0,0.01576,0.0,0.0,0.0,0.142857,0.003142,0.0,0.007937,0.0,0.005747,0.0,0.0,0.0,0.0,0.01652,0.0,0.0,0.0,0.0,0.0,0.027933,0.0,0.015625,,0.0,,0.0,0.0,0.0,0.026479,0.205982,0.0,0.0,0.173072,0.0,0.084906,0.018182,0.0,0.0,0.011567,0.0,0
0.0,0.0,0.0,0.012346,0.0,0.0,0.001099,0.0,0.0,0.0,0.065607,0.0,0.0,0.0,0.111111,0.0,,0.163223,0.0,0.0,0.039554,0.0,0.0,0.0,0.035714,0.078561,0.0,0.007937,0.0,0.005747,0.0,0.0,0.0,0.0,0.002203,0.0,0.0,0.0,0.0,0.0,0.011173,0.0,0.046875,,0.0,,0.0,0.0,0.0,0.220488,0.205982,0.012346,0.0,0.173072,0.0,0.084906,0.018182,0.0,0.0,0.199816,0.0,0
0.021277,0.0,0.0,0.024691,0.0,0.0,0.001234,0.0,0.0,0.0,0.029787,0.0,0.0,0.0,0.148148,0.0,,0.02686,0.0,0.0,0.00768,0.0,0.0,0.0,0.392857,0.023045,0.035714,0.039683,0.25,0.0,0.0,0.0,0.00127,0.0,0.040749,0.0,0.0,0.0,0.0,0.0,0.061453,0.0,0.109375,,0.044444,,0.0,0.0,0.0,0.015452,0.0,0.024691,0.0,0.0,0.0,0.367925,0.072727,0.0,0.0,0.010436,0.0,0
0.0,0.11459,0.316506,0.074074,0.0,0.131904,0.068566,0.072021,0.107672,0.13834,0.278755,0.0,0.103061,0.18433,0.0,0.0,,0.020661,0.065818,0.151493,0.083524,0.0,0.0,0.121381,0.071429,0.01257,0.017857,0.055556,0.5,0.109195,0.0,0.0,0.002667,0.0,0.018722,0.083636,0.09086,0.269478,0.152402,0.04165,0.117318,0.126336,0.046875,,0.066667,,0.153673,0.0,0.107737,0.261895,0.343304,0.074074,0.117464,0.405716,0.271448,0.150943,0.127273,0.294531,0.105845,0.318348,0.106273,0
0.0,0.0,0.0,0.037037,0.0,0.0,0.001253,0.0,0.0,0.0,0.0994,0.0,0.0,0.0,0.0,0.0,,0.012397,0.0,0.0,0.050998,0.0,0.0,0.0,0.107143,0.01257,0.0,0.039683,0.25,0.005747,0.0,0.0,0.00127,0.0,0.011013,0.0,0.0,0.0,0.075826,0.0,0.022346,0.0,0.03125,,0.022222,,0.0,0.0,0.02667,0.254731,0.138681,0.037037,0.030988,0.138318,0.0,0.216981,0.090909,0.01638,0.0,0.237206,0.0,0
0.0,0.0,0.254916,0.037037,0.0,0.0,0.031764,0.0,0.026984,0.0,0.066364,0.0,0.0,0.0,0.0,0.0,,0.132231,0.0,0.0,0.046287,0.0,0.63278,0.035683,0.5,0.060754,0.035714,0.190476,0.25,0.028736,0.0,0.0,0.035048,0.142454,0.135463,0.044402,0.0,0.058593,0.075826,0.0,0.089385,0.025753,0.0625,,0.088889,,0.0,0.0,0.053604,0.271705,0.138001,0.037037,0.109776,0.570083,0.065425,0.54717,0.345455,0.289779,0.01965,0.299837,0.0,1
0.0,0.0,0.0,0.024691,0.0,0.0,0.007488,0.0,0.0,0.0,0.069255,0.0,0.0,0.0,0.259259,0.0,,0.008264,0.0,0.0,0.015709,0.0,0.0,0.0,0.178571,0.011173,0.0,0.02381,0.0,0.011494,0.0,0.0,0.000381,0.0,0.013216,0.0,0.0,0.0,0.0,0.0,0.039106,0.0,0.109375,,0.0,,0.0,0.0,0.0,0.023211,0.205982,0.024691,0.0,0.173072,0.0,0.084906,0.054545,0.0,0.0,0.00816,0.0,0
