ck_oo_numberOfPrivateMethods,LDHH_lcom,LDHH_fanIn,numberOfNonTrivialBugsFoundUntil:,WCHU_numberOfPublicAttributes,WCHU_numberOfAttributes,CvsWEntropy,LDHH_numberOfPublicMethods,WCHU_fanIn,LDHH_numberOfPrivateAttributes,CvsEntropy,LDHH_numberOfPublicAttributes,WCHU_numberOfPrivateMethods,WCHU_numberOfMethods,ck_oo_numberOfPublicAttributes,ck_oo_noc,numberOfCriticalBugsFoundUntil:,ck_oo_wmc,LDHH_numberOfPrivateMethods,WCHU_numberOfPrivateAttributes,CvsLogEntropy,WCHU_noc,LDHH_numberOfAttributesInherited,WCHU_wmc,ck_oo_fanOut,ck_oo_numberOfLinesOfCode,ck_oo_numberOfAttributesInherited,ck_oo_numberOfMethods,ck_oo_dit,ck_oo_fanIn,LDHH_noc,WCHU_dit,ck_oo_lcom,WCHU_numberOfAttributesInherited,ck_oo_rfc,LDHH_wmc,LDHH_numberOfAttributes,LDHH_numberOfLinesOfCode,WCHU_fanOut,WCHU_lcom,ck_oo_cbo,WCHU_rfc,ck_oo_numberOfAttributes,numberOfHighPriorityBugsFoundUntil:,ck_oo_numberOfPrivateAttributes,numberOfMajorBugsFoundUntil:,WCHU_numberOfPublicMethods,LDHH_dit,WCHU_cbo,CvsLinEntropy,WCHU_numberOfMethodsInherited,numberOfBugsFoundUntil:,LDHH_fanOut,LDHH_numberOfMethodsInherited,LDHH_rfc,ck_oo_numberOfMethodsInherited,ck_oo_numberOfPublicMethods,LDHH_cbo,WCHU_numberOfLinesOfCode,CvsExpEntropy,LDHH_numberOfMethods,bug
0.0,0.0,0.0,0.006993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003497,0.0,0.0,0.0,0.0,0.0,0.0,0.020833,0.002262,0.0,0.012195,0.0,0.0,0.0,0.0,0.0,0.0,0.003339,0.0,0.0,0.0,0.0,0.0,0.002762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00431,0.0,0.0,0.0,0.009967,0.018868,0.0,0.0,0.0,0.0,0
0.269231,1.0,0.010903,0.132867,0.0,0.053833,0.718665,0.723632,0.016139,0.155955,0.49274,0.0,0.496579,0.643058,0.0,0.0,0.166667,0.688811,0.280099,0.500988,0.156692,0.0,0.029024,0.542497,0.875,0.604072,0.004854,0.414634,0.25,0.011268,0.0,0.336634,0.168925,0.032835,0.699499,0.527587,0.021067,0.624809,0.754613,0.43038,0.118785,0.635017,0.006455,0.166667,0.358974,0.125,0.08883,0.0,0.215654,0.424296,0.290367,0.103448,0.633028,0.338045,0.549643,0.039867,0.150943,0.237768,0.681622,0.350249,0.691727,1
0.0,0.0,0.0,0.006993,0.0,0.0,0.003189,0.0,0.0,0.0,0.102882,0.0,0.0,0.0,0.0,0.0,0.0,0.01049,0.0,0.0,0.028301,0.0,0.0,0.0,0.020833,0.007541,0.0,0.012195,0.0,0.008451,0.0,0.0,0.0,0.0,0.011686,0.0,0.0,0.0,0.062116,0.0,0.01105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016401,0.055215,0.069993,0.00431,0.040424,0.078869,0.0,0.009967,0.018868,0.014495,0.0,0.057821,0.0,0
0.0,0.098283,0.0,0.027972,0.0,0.032279,0.081562,0.102078,0.0,0.245243,0.288091,0.0,0.0,0.141655,0.0,0.0,0.0,0.034965,0.0,0.300395,0.08354,0.0,0.05488,0.141658,0.125,0.069382,0.009709,0.060976,0.375,0.002817,0.0,0.0,0.003011,0.032835,0.051753,0.062313,0.039349,0.166064,0.124231,0.067511,0.019337,0.238721,0.003227,0.0,0.179487,0.0,0.177661,0.0,0.032803,0.18218,0.28413,0.034483,0.045223,0.293723,0.196803,0.078073,0.09434,0.020316,0.187806,0.186331,0.068676,0
0.019231,0.035117,0.0,0.034965,0.0,0.010724,0.014637,0.04129,0.0,0.03412,0.054714,0.0,0.098729,0.071529,0.0,0.0,0.0,0.027972,0.059703,0.099802,0.017287,0.0,0.0,0.036376,0.041667,0.028658,0.0,0.060976,0.0,0.002817,0.0,0.0,0.003011,0.0,0.018364,0.015217,0.006009,0.014548,0.062116,0.034729,0.008287,0.035354,0.000922,0.0,0.051282,0.0,0.08883,0.0,0.016401,0.044656,0.0,0.025862,0.026896,0.0,0.015378,0.0,0.075472,0.011452,0.0348,0.058502,0.025363,0
0.384615,0.357236,0.0,0.167832,0.0,0.021448,0.450193,0.0,0.0,0.092129,0.317526,0.0,0.297165,0.142356,0.0,0.0,0.0,0.5,0.868499,0.199605,0.784882,0.0,0.198334,0.464848,0.791667,0.462293,0.033981,0.329268,0.125,0.002817,0.0,0.0,0.105691,0.06567,0.604341,0.542927,0.014522,0.502403,0.496925,0.089257,0.107735,0.56633,0.001383,0.166667,0.076923,0.375,0.0,0.0,0.131211,0.394733,0.281358,0.107759,0.795272,0.583805,0.604388,0.053156,0.037736,0.284719,0.445211,0.405839,0.261354,1
0.019231,0.0,0.0,0.006993,0.0,0.0,0.000766,0.0,0.0,0.0,0.030383,0.0,0.0,0.0,0.000461,0.0,0.0,0.034965,0.0,0.0,0.01093,0.0,0.0,0.0,0.041667,0.036953,0.0,0.04878,0.0,0.002817,0.0,0.0,0.001807,0.0,0.03172,0.0,0.0,0.0,0.0,0.0,0.008287,0.0,0.000461,0.0,0.0,0.0,0.0,0.0,0.0,0.035105,0.0,0.00431,0.0,0.0,0.0,0.0,0.056604,0.0,0.0,0.056975,0.0,0
0.134615,0.0,0.0,0.0,0.0,0.011149,0.006631,0.0,0.0,0.028576,0.081754,0.0,0.0,0.0,0.0,0.0,0.0,0.157343,0.0,0.103755,0.022631,0.0,0.046598,0.0,0.25,0.13273,0.0,0.219512,0.25,0.002817,0.0,0.0,0.04607,0.032835,0.140234,0.0,0.005213,0.073863,0.0,0.0,0.035912,0.035017,0.001383,0.0,0.076923,0.0,0.0,0.0,0.0,0.046401,0.210672,0.0,0.0,0.245855,0.011869,0.034884,0.207547,0.0,0.059822,0.057032,0.0,0
0.0,0.531128,0.183395,0.013986,0.0,0.010724,0.188716,0.543286,0.016139,0.802498,0.044282,0.0,0.0,0.070827,0.0,0.0,0.166667,0.08042,0.0,0.099802,0.027411,0.0,0.0,0.037775,0.145833,0.057315,0.0,0.04878,0.0,0.008451,0.0,0.0,0.001807,0.0,0.06177,0.245869,0.134437,0.185074,0.062731,0.033755,0.027624,0.037374,0.001383,0.0,0.076923,0.25,0.08883,0.0,0.016726,0.164758,0.0,0.012931,0.72953,0.0,0.2422,0.009967,0.056604,0.238412,0.035088,0.243528,0.367264,0
0.057692,0.0,0.0,0.0,0.0,0.0,0.017605,0.0,0.0,0.0,0.072625,0.0,0.0,0.0,0.0,0.0,0.0,0.118881,0.0,0.0,0.020506,0.0,0.0,0.0,0.125,0.079186,0.0,0.085366,0.125,0.002817,0.0,0.0,0.006323,0.0,0.068447,0.0,0.0,0.076055,0.0,0.0,0.019337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.044197,0.069993,0.0,0.0,0.078869,0.0,0.048173,0.037736,0.0,0.062123,0.057014,0.0,0
