AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,bug
0.090909,0.142857,0.074074,0.142857,0.089109,0.0,0.094118,0.0,0.176106,0.297297,0.186335,0.059613,0.206186,0.090323,0.293515,0.338798,0.308943,0.356557,0.153846,0.275862,0.148148,0.052941,0.382353,0.46988,0.353448,0.267442,1
0.045455,0.071429,0.037037,0.142857,0.039604,0.0,0.047059,0.0,0.038053,0.175676,0.037267,0.014903,0.033505,0.0,0.047782,0.057377,0.073171,0.053279,0.057692,0.103448,0.092593,0.0,0.088235,0.108434,0.103448,0.104651,0
0.045455,0.071429,0.037037,0.142857,0.049505,0.0,0.047059,0.0,0.049558,0.189189,0.049689,0.032787,0.033505,0.012903,0.09215,0.090164,0.170732,0.053279,0.038462,0.068966,0.037037,0.026471,0.078431,0.096386,0.068966,0.081395,0
0.045455,0.071429,0.037037,0.142857,0.108911,0.0,0.117647,0.0625,0.034513,0.054054,0.038509,0.011923,0.046392,0.016129,0.051195,0.054645,0.073171,0.04918,0.057692,0.103448,0.055556,0.041176,0.04902,0.060241,0.043103,0.034884,0
0.045455,0.071429,0.037037,0.142857,0.079208,0.0,0.094118,0.0,0.069027,0.121622,0.070807,0.017884,0.095361,0.045161,0.136519,0.131148,0.097561,0.151639,0.057692,0.103448,0.074074,0.067647,0.107843,0.13253,0.103448,0.081395,1
0.045455,0.071429,0.037037,0.142857,0.029703,0.0,0.035294,0.0,0.011504,0.040541,0.012422,0.007452,0.010309,0.0,0.020478,0.019126,0.03252,0.016393,0.019231,0.034483,0.018519,0.0,0.029412,0.036145,0.025862,0.034884,0
0.090909,0.142857,0.074074,0.285714,0.435644,0.0,0.517647,0.0,0.121239,0.067568,0.163975,0.014903,0.301546,0.0,0.416382,0.346995,0.089431,0.479508,0.076923,0.137931,0.074074,0.0,0.068627,0.084337,0.060345,0.069767,0
0.045455,0.071429,0.037037,0.142857,0.069307,0.0,0.058824,0.0,0.118584,0.324324,0.103106,0.04769,0.092784,0.087097,0.122867,0.139344,0.186992,0.118852,0.019231,0.034483,0.018519,0.091176,0.127451,0.156627,0.112069,0.151163,0
0.045455,0.071429,0.037037,0.142857,0.049505,0.0,0.058824,0.0,0.004425,0.027027,0.003727,0.00149,0.007732,0.0,0.010239,0.005464,0.0,0.012295,0.019231,0.034483,0.018519,0.0,0.009804,0.012048,0.008621,0.011628,0
0.045455,0.071429,0.037037,0.142857,0.029703,0.0,0.035294,0.0,0.015929,0.0,0.02236,0.011923,0.018041,0.0,0.03413,0.035519,0.056911,0.028689,0.019231,0.034483,0.018519,0.0,0.04902,0.060241,0.043103,0.05814,0
