wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max_cc,avg_cc,bug
0.021277,1.0,0.0,0.018382,0.053763,0.0,0.003704,0.075472,0.011628,0.0,0.039773,1.0,0.0,0.954545,0.6,0.333333,0.071429,0.140625,0.103448,0.230769,0
0.031915,0.833333,0.037037,0.014706,0.032258,0.000688,0.011111,0.018868,0.034884,0.75,0.016098,1.0,0.0,1.0,0.777778,0.0,0.0,0.03125,0.0,0.0,0
0.0,0.166667,0.0,0.003676,0.0,0.0,0.003704,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.031915,0.166667,0.0,0.136029,0.016129,0.000688,0.133333,0.037736,0.034884,1.0,0.002841,0.0,0.0,0.0,0.555556,0.0,0.0,0.0,0.034483,0.153846,0
0.191489,0.333333,0.0,0.033088,0.107527,0.033708,0.014815,0.132075,0.162791,0.352941,0.094697,1.0,0.111111,0.692308,0.259259,0.333333,0.214286,0.032452,0.034483,0.136754,0
0.010638,0.166667,0.0,0.080882,0.005376,0.0,0.07037,0.056604,0.011628,1.0,0.000947,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.034483,0.153846,1
0.06383,0.333333,0.0,0.040441,0.123656,0.000229,0.007407,0.207547,0.034884,0.375,0.083333,1.0,0.333333,0.764706,0.466667,0.333333,0.142857,0.09375,0.068966,0.1282,1
0.074468,0.5,0.0,0.044118,0.150538,0.0,0.003704,0.226415,0.023256,0.316667,0.214962,0.8,0.222222,0.791667,0.333333,0.0,0.0,0.221497,0.103448,0.153846,0
0.170213,0.166667,0.0,0.058824,0.22043,0.0133,0.011111,0.283019,0.162791,0.444445,0.124053,1.0,0.111111,0.0,0.21875,0.0,0.0,0.049129,0.068966,0.153846,0
0.117021,0.166667,0.0,0.058824,0.27957,0.00986,0.003704,0.283019,0.011628,0.25,0.234848,1.0,0.0,0.470588,0.4,0.333333,0.285714,0.15472,0.344828,0.293708,0
0.244681,0.166667,0.0,0.007353,0.225806,0.054345,0.0,0.037736,0.255814,0.037879,0.217803,1.0,0.0,0.0,0.381818,0.0,0.0,0.063963,0.068966,0.220738,0
0.021277,0.166667,0.0,0.022059,0.043011,0.000229,0.0,0.113208,0.023256,1.0,0.02178,0.0,0.0,0.0,0.75,0.0,0.0,0.075721,0.034483,0.076923,0
0.085106,0.166667,0.037037,0.047794,0.344086,0.002752,0.007407,0.207547,0.023256,0.392857,0.367424,0.75,0.222222,0.0,0.321429,0.0,0.0,0.338942,0.37931,0.326923,1
0.021277,0.166667,0.0,0.014706,0.064516,0.000229,0.003704,0.056604,0.023256,1.0,0.049242,0.0,0.0,0.0,0.666667,0.0,0.0,0.180288,0.103448,0.230769,1
0.010638,0.333333,0.0,0.003676,0.010753,0.0,0.0,0.018868,0.011628,1.0,0.005682,1.0,0.0,1.0,1.0,0.0,0.0,0.021635,0.0,0.0,0
0.287234,0.166667,0.0,0.022059,0.145161,0.080486,0.003704,0.09434,0.313953,1.0,0.025568,0.0,0.0,0.0,0.412037,0.0,0.0,0.0,0.034483,0.153846,1
0.042553,0.333333,0.0,0.011029,0.037634,0.000917,0.007407,0.018868,0.023256,0.481482,0.105114,0.111111,1.0,0.857143,0.444444,0.333333,0.071429,0.176683,0.034483,0.076923,0
0.106383,0.333333,0.0,0.040441,0.129032,0.000229,0.003704,0.188679,0.069767,0.319445,0.119318,1.0,0.444444,0.619048,0.277778,0.333333,0.071429,0.080769,0.068966,0.138462,0
0.074468,0.333333,0.0,0.040441,0.05914,0.00344,0.014815,0.188679,0.069767,0.25,0.041667,1.0,0.0,0.772727,0.265306,0.0,0.0,0.037088,0.034483,0.109892,1
0.031915,0.166667,0.0,0.011029,0.026882,0.000229,0.003704,0.037736,0.011628,0.25,0.013258,1.0,0.0,0.8,1.0,0.0,0.0,0.024038,0.034483,0.051277,0
0.042553,0.166667,0.0,0.014706,0.053763,0.0,0.003704,0.056604,0.046512,0.0,0.033144,1.0,0.0,0.0,0.583333,0.0,0.0,0.054087,0.034483,0.115385,1
0.159574,0.333333,0.0,0.073529,0.327957,0.009402,0.003704,0.358491,0.093023,0.398809,0.453598,0.833333,0.0,0.35,0.246032,0.333333,0.142857,0.220192,0.275862,0.358969,0
0.148936,0.166667,0.0,0.040441,0.209677,0.007108,0.018519,0.113208,0.151163,0.173077,0.308712,1.0,0.222222,0.0,0.321429,0.0,0.0,0.159684,0.275862,0.329677,1
0.031915,0.166667,0.0,0.022059,0.043011,0.000688,0.007407,0.075472,0.023256,1.0,0.02178,0.0,0.0,0.0,0.5,0.0,0.0,0.048077,0.034483,0.102569,0
0.297872,0.166667,0.0,0.128676,0.306452,0.086677,0.051852,0.509434,0.313953,1.0,0.173295,0.0,0.0,0.0,0.142857,0.0,0.0,0.039921,0.034483,0.148354,1
0.319149,0.166667,0.0,0.268382,0.494624,0.098372,0.255556,0.075472,0.325581,0.448276,0.65625,1.0,0.111111,0.0,0.103448,0.333333,0.071429,0.159135,0.275862,0.420508,1
0.053191,0.166667,0.0,0.0,0.037634,0.0,0.0,0.0,0.05814,0.25,0.030303,1.0,0.0,0.0,0.466667,0.0,0.0,0.036058,0.034483,0.123077,1
0.053191,0.166667,0.0,0.014706,0.032258,0.000459,0.011111,0.018868,0.05814,0.375,0.034091,1.0,0.111111,0.0,0.36,0.0,0.0,0.038942,0.034483,0.123077,1
0.0,0.166667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.042553,0.333333,0.0,0.011029,0.05914,0.0,0.003704,0.037736,0.034884,0.166666,0.042614,1.0,0.0,0.857143,0.625,0.333333,0.071429,0.072115,0.034483,0.115385,0
0.053191,0.5,0.0,0.047794,0.107527,0.001834,0.003704,0.226415,0.023256,0.25,0.0625,1.0,0.111111,0.9375,0.472222,0.0,0.0,0.086538,0.034483,0.061538,0
0.265957,0.166667,0.0,0.044118,0.344086,0.05274,0.0,0.226415,0.255814,0.325,0.301136,1.0,0.222222,0.0,0.13,0.0,0.0,0.083077,0.103448,0.16,1
0.010638,0.166667,0.0,0.0,0.005376,0.0,0.0,0.0,0.011628,1.0,0.000947,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.034483,0.153846,0
0.095745,0.166667,0.074074,0.040441,0.172043,0.006879,0.007407,0.169811,0.046512,0.28125,0.184659,0.5,0.0,0.0,0.265625,0.0,0.0,0.147436,0.344828,0.307692,0
0.021277,0.833333,0.0,0.007353,0.026882,0.000229,0.0,0.037736,0.011628,1.0,0.014205,0.0,0.0,0.965517,0.625,0.333333,0.071429,0.046875,0.034483,0.076923,0
0.265957,0.166667,0.0,0.044118,0.344086,0.05274,0.0,0.226415,0.255814,0.325,0.301136,1.0,0.222222,0.0,0.13,0.0,0.0,0.083077,0.103448,0.16,1
0.042553,0.5,0.0,0.022059,0.075269,0.0,0.014815,0.037736,0.046512,0.0,0.049242,1.0,0.0,0.875,0.4375,0.0,0.0,0.084736,0.068966,0.153846,1
0.021277,0.5,0.0,0.022059,0.037634,0.0,0.003704,0.113208,0.023256,0.0,0.022727,0.0,0.111111,0.956522,0.6,0.0,0.0,0.075721,0.034483,0.076923,1
0.021277,0.166667,0.0,0.011029,0.010753,0.000229,0.007407,0.018868,0.023256,1.0,0.001894,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.034483,0.153846,0
0.43617,0.166667,0.0,0.022059,0.290323,0.118321,0.018519,0.018868,0.476744,0.4375,0.480114,0.0,0.0,0.0,0.297561,0.0,0.0,0.078975,0.034483,0.142585,0
0.074468,0.333333,0.0,0.040441,0.112903,0.003898,0.022222,0.09434,0.069767,0.333334,0.085227,1.0,0.111111,0.375,0.375,0.0,0.0,0.083448,0.068966,0.153846,0
0.031915,0.166667,0.0,0.011029,0.048387,0.0,0.003704,0.037736,0.034884,0.0,0.029356,1.0,0.0,0.0,0.5,0.0,0.0,0.064904,0.034483,0.102569,0
0.042553,0.5,0.0,0.011029,0.026882,0.000917,0.003704,0.056604,0.046512,0.333334,0.020833,1.0,0.111111,0.5,0.5,0.0,0.0,0.030649,0.034483,0.115385,0
0.138298,0.333333,0.0,0.058824,0.145161,0.008255,0.033333,0.207547,0.116279,0.440476,0.112689,1.0,0.444444,0.541667,0.185185,0.333333,0.071429,0.054919,0.068966,0.142015,0
0.138298,0.5,0.0,0.033088,0.322581,0.008714,0.003704,0.169811,0.093023,0.305555,0.246212,1.0,0.222222,0.71875,0.305556,0.666667,0.214286,0.135355,0.103448,0.130185,0
0.095745,0.166667,0.0,0.466912,0.048387,0.008255,0.451852,0.132075,0.104651,1.0,0.008523,0.0,0.0,0.0,0.333333,0.0,0.0,0.0,0.034483,0.153846,1
