wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max_cc,avg_cc,bug
0.005698,0.142857,0.0,0.03876,0.022989,2.4e-05,0.004484,0.113924,0.004673,0.5,0.00541,0.0,0.0,0.947368,0.625,0.2,0.047619,0.057407,0.005988,0.017442,0
0.065527,0.0,0.0,0.077519,0.178161,0.002517,0.040359,0.21519,0.046729,0.428788,0.0573,0.8,0.176471,0.0,0.217391,0.0,0.0,0.053301,0.047904,0.072802,1
0.034188,0.0,0.0,0.027132,0.05364,0.000384,0.026906,0.025316,0.046729,0.272728,0.021067,1.0,0.058824,0.0,0.270833,0.0,0.0,0.037346,0.02994,0.063952,0
0.014245,0.142857,0.0,0.042636,0.019157,4.8e-05,0.022422,0.075949,0.014019,0.3125,0.010411,0.25,0.0,0.818182,0.44,0.2,0.047619,0.044074,0.017964,0.055814,0
0.065527,0.0,0.0,0.023256,0.109195,0.000983,0.008969,0.063291,0.03271,0.467996,0.103205,0.306122,0.588235,0.0,0.222727,0.0,0.0,0.095652,0.071856,0.106168,0
0.011396,0.714286,0.0,0.007752,0.04023,0.0,0.0,0.025316,0.009346,0.277778,0.019756,1.0,0.0,0.997019,1.0,0.4,0.190476,0.107407,0.035928,0.069767,0
0.002849,0.0,0.0,0.046512,0.003831,0.0,0.044843,0.025316,0.004673,1.0,0.00123,0.0,0.058824,0.0,1.0,0.0,0.0,0.022222,0.0,0.0,0
0.022792,0.714286,0.0,0.01938,0.059387,0.000479,0.013453,0.050633,0.004673,0.380953,0.009837,0.666667,0.058824,0.991111,0.5,0.8,0.571429,0.025463,0.005988,0.026163,0
0.031339,0.142857,0.0,0.01938,0.05364,0.000743,0.004484,0.063291,0.03271,0.405556,0.019592,1.0,0.058824,0.565217,0.333333,0.2,0.142857,0.037037,0.05988,0.085622,0
0.017094,0.0,0.0,0.054264,0.01341,0.000168,0.06278,0.0,0.028037,0.4,0.003033,1.0,0.0,0.0,0.375,0.0,0.0,0.008642,0.005988,0.029069,0
0.045584,0.285714,0.0,0.03876,0.10728,0.001199,0.013453,0.101266,0.060748,0.38,0.042872,0.6,0.0,0.729167,0.18,0.6,0.333333,0.058218,0.08982,0.124273,0
0.005698,0.142857,0.0,0.027132,0.009579,2.4e-05,0.008969,0.063291,0.009346,0.5,0.001721,0.0,0.0,0.947368,0.625,0.2,0.047619,0.017593,0.005988,0.017442,0
0.034188,0.142857,0.0,0.015504,0.055556,0.000959,0.004484,0.050633,0.037383,0.419192,0.017624,1.0,0.117647,0.541667,0.319444,0.2,0.095238,0.030093,0.02994,0.066862,0
0.022792,0.142857,0.0,0.031008,0.036398,0.00024,0.008969,0.075949,0.018692,0.383117,0.030986,0.909091,0.117647,0.533333,0.295455,0.2,0.142857,0.083333,0.065868,0.130814,0
0.002849,0.142857,0.0,0.011628,0.003831,0.0,0.004484,0.025316,0.004673,1.0,0.000328,0.0,0.0,1.0,1.0,0.0,0.0,0.007407,0.0,0.0,0
0.034188,0.857143,0.0,0.089147,0.185824,0.000767,0.035874,0.265823,0.023364,0.402597,0.046561,1.0,0.176471,0.983508,0.263889,0.2,0.047619,0.084877,0.065868,0.087209,1
0.011396,0.142857,0.0,0.027132,0.038314,0.0,0.004484,0.075949,0.014019,0.0,0.006394,1.0,0.0,0.7,0.5,0.2,0.047619,0.034259,0.017964,0.043605,1
0.008547,0.0,0.0,0.031008,0.042146,7.2e-05,0.004484,0.101266,0.014019,1.0,0.008197,0.0,0.0,0.0,0.666667,0.0,0.0,0.060494,0.02994,0.069767,0
0.005698,0.142857,0.0,0.03876,0.019157,2.4e-05,0.004484,0.113924,0.009346,1.0,0.003279,0.0,0.0,0.947368,0.625,0.2,0.047619,0.036111,0.005988,0.017442,0
0.037037,0.142857,0.0,0.034884,0.076628,0.000671,0.008969,0.088608,0.046729,0.333334,0.034183,0.333333,0.058824,0.571429,0.333333,0.2,0.047619,0.057265,0.02994,0.077819,1
0.037037,0.0,0.0,0.050388,0.024904,0.00187,0.058296,0.0,0.060748,1.0,0.000984,0.0,0.0,0.0,0.430769,0.0,0.0,0.0,0.005988,0.034884,0
0.017094,0.142857,0.0,0.015504,0.042146,7.2e-05,0.004484,0.037975,0.0,0.53125,0.023117,0.0,0.0,0.636364,0.285714,0.2,0.095238,0.080556,0.143713,0.174418,0
0.008547,0.0,0.0,0.015504,0.007663,7.2e-05,0.017937,0.0,0.014019,0.71875,0.001803,0.0,0.117647,0.0,0.5,0.0,0.0,0.007407,0.011976,0.034884,0
0.008547,0.0,0.0,0.031008,0.042146,7.2e-05,0.004484,0.101266,0.014019,1.0,0.008197,0.0,0.0,0.0,0.666667,0.0,0.0,0.060494,0.02994,0.069767,0
0.02849,0.0,0.0,0.031008,0.088123,0.000791,0.013453,0.063291,0.037383,0.325397,0.046561,0.142857,0.0,0.0,0.166667,0.0,0.0,0.102222,0.149701,0.237209,0
0.008547,0.0,0.0,0.011628,0.015326,0.0,0.013453,0.0,0.014019,0.0,0.001885,0.0,0.0,0.0,0.666667,0.0,0.0,0.012346,0.005988,0.023257,0
0.034188,0.142857,0.0,0.027132,0.068966,0.000863,0.004484,0.088608,0.037383,0.432806,0.041233,1.0,0.235294,0.541667,0.319444,0.2,0.142857,0.072377,0.083832,0.127908,0
0.011396,0.571429,0.0,0.027132,0.032567,0.0,0.022422,0.063291,0.009346,0.25,0.004918,1.0,0.058824,0.995856,0.416667,0.0,0.0,0.025463,0.011976,0.034884,0
0.037037,0.142857,0.0,0.034884,0.076628,0.000671,0.008969,0.088608,0.046729,0.333334,0.034183,0.333333,0.058824,0.571429,0.333333,0.2,0.047619,0.057265,0.02994,0.077819,1
0.071225,0.571429,0.0,0.112403,0.166667,0.004603,0.067265,0.278481,0.046729,0.423611,0.040659,0.888889,0.176471,0.964549,0.146667,0.6,0.571429,0.034296,0.035928,0.055814,1
0.065527,0.0,0.0,0.077519,0.178161,0.002517,0.040359,0.21519,0.046729,0.428788,0.0573,0.8,0.176471,0.0,0.217391,0.0,0.0,0.053301,0.047904,0.072802,1
0.039886,0.857143,0.0,0.027132,0.105364,0.001606,0.013453,0.088608,0.018692,0.444445,0.029183,0.888889,0.058824,0.980568,0.285714,0.0,0.0,0.04418,0.017964,0.037374,0
0.051282,0.0,0.0,0.124031,0.097701,0.001798,0.139013,0.012658,0.074766,0.477941,0.040167,0.916667,0.0,0.0,0.058824,0.0,0.0,0.047428,0.047904,0.08527,1
0.008547,0.142857,0.0,0.015504,0.017241,2.4e-05,0.004484,0.037975,0.0,0.25,0.005738,1.0,0.0,0.777778,0.444444,0.2,0.095238,0.041358,0.035928,0.081394,0
0.039886,0.714286,0.0,0.03876,0.10728,0.000839,0.008969,0.126582,0.004673,0.269231,0.057956,1.0,0.176471,0.980938,0.5,0.2,0.142857,0.089286,0.017964,0.047341,0
