wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max_cc,avg_cc,bug
0.111111,0.25,0.0,0.032051,0.064516,0.012652,0.012987,0.024793,0.107527,0.490909,0.012184,0.2,0.0,0.55,0.5,0.5,0.857143,0.013978,0.017094,0.058591,0
0.037037,0.75,0.0,0.025641,0.02346,0.001406,0.019481,0.008264,0.043011,1.0,0.002031,0.0,0.0,1.0,0.666667,0.0,0.0,0.006514,0.0,0.0,0
0.111111,0.25,0.0,0.025641,0.070381,0.010778,0.0,0.033058,0.107527,0.409091,0.014316,0.5,0.0,0.55,0.5,0.5,0.857143,0.017235,0.017094,0.058591,0
0.092593,0.25,0.0,0.032051,0.055718,0.001172,0.012987,0.024793,0.086022,0.37037,0.022642,1.0,0.0,0.3,0.228571,0.5,0.285714,0.034198,0.025641,0.084375,0
0.185185,0.25,0.0,0.038462,0.093842,0.02671,0.012987,0.033058,0.193548,0.447369,0.036653,0.5,0.0,0.392857,0.45,0.5,0.857143,0.026952,0.017094,0.063281,0
0.148148,0.0,0.0,0.012821,0.087977,0.020619,0.006494,0.008264,0.150538,0.341666,0.025383,0.0,0.029412,0.0,0.21875,0.0,0.0,0.02341,0.034188,0.079102,0
0.009259,0.0,0.0,0.044872,0.002933,0.0,0.038961,0.008264,0.010753,1.0,0.000102,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.008547,0.070313,0
0.046296,0.75,0.016,0.032051,0.020528,0.000937,0.032468,0.0,0.053763,0.25,0.002944,1.0,0.0,0.944444,0.6,0.0,0.0,0.007491,0.008547,0.014063,0
0.092593,0.0,0.016,0.038462,0.041056,0.004452,0.019481,0.033058,0.064516,0.305555,0.007209,1.0,0.058824,0.0,0.325,0.0,0.0,0.009608,0.025641,0.091406,0
0.222222,0.25,0.0,0.032051,0.120235,0.0,0.0,0.041322,0.236559,0.358696,0.04173,0.875,0.176471,0.34375,0.35,0.5,0.857143,0.025717,0.017094,0.064456,0
0.0,0.0,0.0,0.025641,0.0,0.0,0.025974,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.037037,1.0,0.0,0.00641,0.02346,0.001406,0.0,0.008264,0.043011,1.0,0.002031,0.0,0.0,1.0,0.666667,0.0,0.0,0.006514,0.0,0.0,0
0.231481,0.25,0.0,0.083333,0.217009,0.022024,0.019481,0.082645,0.215054,0.448718,0.049751,0.384615,0.058824,0.333333,0.262857,1.0,1.0,0.029443,0.051282,0.106875,0
0.092593,0.25,0.0,0.025641,0.041056,0.010544,0.012987,0.016529,0.107527,0.555555,0.006397,0.333333,0.0,0.272727,0.32,0.0,0.0,0.008142,0.008547,0.05625,0
0.101852,0.25,0.0,0.032051,0.061584,0.010075,0.012987,0.024793,0.096774,0.425,0.011879,0.0,0.0,0.578947,0.418182,0.5,0.857143,0.015397,0.017094,0.070313,0
0.111111,0.0,0.128,0.294872,0.164223,0.014058,0.162338,0.289256,0.129032,0.5,0.042136,0.25,0.0,0.0,0.283333,0.0,0.0,0.054148,0.034188,0.082034,1
0.111111,0.25,0.0,0.038462,0.064516,0.010778,0.019481,0.024793,0.107527,0.409091,0.012996,0.5,0.0,0.55,0.4,0.5,0.857143,0.015471,0.017094,0.070313,0
0.101852,0.25,0.0,0.038462,0.067449,0.005858,0.019481,0.024793,0.096774,0.4,0.018581,0.5,0.0,0.55,0.431818,0.5,0.857143,0.024872,0.025641,0.083095,0
0.101852,0.25,0.0,0.038462,0.067449,0.005858,0.019481,0.024793,0.096774,0.4,0.018581,0.5,0.0,0.55,0.431818,0.5,0.857143,0.024872,0.025641,0.083095,0
0.101852,0.25,0.0,0.032051,0.061584,0.011481,0.012987,0.024793,0.096774,0.5,0.011067,0.2,0.0,0.578947,0.522727,0.5,0.857143,0.013768,0.017094,0.05753,0
0.166667,0.25,0.0,0.038462,0.117302,0.024133,0.012987,0.033058,0.172043,0.42437,0.033201,0.0,0.029412,0.423077,0.472222,0.5,0.857143,0.027323,0.017094,0.082034,0
0.12963,0.25,0.0,0.038462,0.096774,0.01523,0.012987,0.033058,0.129032,0.371795,0.023251,0.666667,0.0,0.5,0.4,0.5,0.857143,0.02466,0.017094,0.075333,0
0.046296,0.0,0.0,0.051282,0.070381,0.000469,0.0,0.066116,0.043011,0.333334,0.011879,0.0,0.029412,0.0,0.36,0.0,0.0,0.035501,0.059829,0.154688,0
0.111111,0.0,0.0,0.044872,0.102639,0.003749,0.012987,0.049587,0.086022,0.363636,0.03645,0.555556,0.058824,0.0,0.319444,0.0,0.0,0.045869,0.076923,0.140625,0
0.111111,0.25,0.0,0.032051,0.064516,0.010778,0.012987,0.024793,0.107527,0.409091,0.012996,0.0,0.0,0.55,0.4,0.5,0.857143,0.015471,0.017094,0.070313,0
0.055556,0.5,0.0,0.00641,0.043988,0.003515,0.006494,0.0,0.064516,0.589189,0.02914,0.054054,0.058824,0.915254,0.3,0.5,0.285714,0.066226,0.017094,0.082034,0
0.037037,0.0,0.0,0.038462,0.01173,0.001406,0.038961,0.0,0.043011,1.0,0.000406,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.008547,0.070313,0
0.111111,0.25,0.0,0.038462,0.067449,0.010778,0.012987,0.033058,0.107527,0.409091,0.012387,0.5,0.0,0.55,0.4,0.5,0.857143,0.014656,0.017094,0.058591,0
0.074074,0.0,0.0,0.025641,0.082111,0.0,0.012987,0.016529,0.075269,0.285714,0.043253,1.0,0.029412,0.0,0.25,0.0,0.0,0.084275,0.059829,0.210938,0
0.212963,0.25,0.0,0.044872,0.108504,0.051312,0.012987,0.041322,0.225806,0.425324,0.035029,0.857143,0.0,0.354839,0.347826,0.5,0.714286,0.022303,0.051282,0.110053,0
0.083333,0.25,0.0,0.032051,0.064516,0.000469,0.012987,0.033058,0.086022,0.333334,0.02051,0.166667,0.029412,0.538462,0.333333,0.5,0.285714,0.033837,0.017094,0.062501,0
0.027778,0.0,0.0,0.025641,0.01173,0.000703,0.006494,0.024793,0.032258,1.0,0.000711,0.0,0.0,0.0,0.833333,0.0,0.0,0.002171,0.008547,0.046877,1
0.064815,0.0,0.0,0.076923,0.085044,0.000234,0.045455,0.049587,0.010753,0.0,0.026094,1.0,0.029412,0.0,0.514286,0.0,0.0,0.057928,0.017094,0.050224,0
0.083333,0.0,0.0,0.070513,0.1261,0.00656,0.0,0.090909,0.064516,0.34375,0.042238,1.0,0.0,0.0,0.333333,0.0,0.0,0.073282,0.111111,0.226561,0
0.12963,0.25,0.0,0.051282,0.076246,0.016167,0.025974,0.033058,0.129032,0.371795,0.018987,0.666667,0.0,0.5,0.321429,0.5,0.857143,0.019775,0.025641,0.08036,0
0.037037,0.75,0.0,0.025641,0.02346,0.001406,0.019481,0.008264,0.043011,1.0,0.002031,0.0,0.0,1.0,0.666667,0.0,0.0,0.006514,0.0,0.0,0
0.037037,0.0,0.0,0.038462,0.01173,0.001406,0.038961,0.0,0.043011,1.0,0.000406,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.008547,0.070313,0
0.351852,0.25,0.0,0.038462,0.152493,0.112231,0.012987,0.033058,0.376344,0.449325,0.054422,0.9375,0.176471,0.244444,0.335135,0.5,0.857143,0.020656,0.017094,0.064765,0
0.083333,0.25,0.0,0.025641,0.038123,0.008435,0.012987,0.016529,0.096774,0.5625,0.006295,0.0,0.0,0.3,0.333333,0.0,0.0,0.009228,0.008547,0.054689,0
0.074074,0.25,0.0,0.051282,0.055718,0.0,0.012987,0.049587,0.064516,0.410714,0.032897,1.0,0.176471,0.3,0.583333,0.5,0.285714,0.062697,0.034188,0.09668,0
0.037037,0.0,0.0,0.038462,0.01173,0.001406,0.032468,0.016529,0.043011,1.0,0.000406,0.0,0.0,0.0,0.666667,0.0,0.0,0.0,0.008547,0.070313,0
0.222222,0.25,0.0,0.057692,0.146628,0.05717,0.019481,0.049587,0.236559,0.454107,0.040816,0.444444,0.0,0.34375,0.284722,0.5,0.714286,0.025038,0.051282,0.102537,0
0.111111,0.25,0.0,0.044872,0.064516,0.010778,0.025974,0.024793,0.107527,0.409091,0.012895,0.5,0.0,0.55,0.4,0.5,0.857143,0.015335,0.017094,0.070313,0
0.111111,0.25,0.0,0.025641,0.070381,0.010778,0.0,0.033058,0.107527,0.409091,0.014316,0.5,0.0,0.55,0.5,0.5,0.857143,0.017235,0.017094,0.058591,0
0.083333,0.0,0.0,0.064103,0.058651,0.0,0.064935,0.0,0.096774,0.125,0.029851,1.0,0.0,0.0,0.311111,0.5,0.142857,0.051207,0.059829,0.132813,1
0.240741,0.25,0.0,0.038462,0.134897,0.035848,0.006494,0.041322,0.258065,0.4,0.050868,0.888889,0.058824,0.323529,0.346154,0.5,0.857143,0.029188,0.017094,0.064906,0
0.342593,0.25,0.0,0.064103,0.158358,0.081537,0.038961,0.033058,0.376344,0.421627,0.067113,0.928571,0.147059,0.244444,0.279279,0.5,0.857143,0.026848,0.034188,0.079812,0
0.009259,0.0,0.0,0.044872,0.002933,0.0,0.038961,0.008264,0.010753,1.0,0.000102,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.008547,0.070313,0
0.055556,0.0,0.016,0.032051,0.038123,0.0,0.012987,0.024793,0.043011,0.25,0.010864,1.0,0.058824,0.0,0.458333,0.0,0.0,0.02687,0.025641,0.082034,0
0.101852,0.25,0.0,0.032051,0.061584,0.011481,0.012987,0.024793,0.096774,0.466666,0.010864,0.333333,0.0,0.578947,0.522727,0.5,0.857143,0.013768,0.017094,0.05753,1
0.231481,0.25,0.0,0.051282,0.117302,0.06045,0.025974,0.033058,0.247312,0.379167,0.039598,0.8,0.0,0.333333,0.3,0.5,0.857143,0.02345,0.059829,0.12375,0
0.055556,0.5,0.0,0.00641,0.043988,0.003515,0.006494,0.0,0.064516,0.589189,0.02914,0.054054,0.058824,0.915254,0.3,0.5,0.285714,0.066226,0.017094,0.082034,0
0.111111,0.25,0.0,0.032051,0.064516,0.012652,0.012987,0.024793,0.107527,0.409091,0.011879,0.5,0.0,0.55,0.5,0.5,0.857143,0.013978,0.017094,0.058591,0
0.12963,0.25,0.0,0.038462,0.082111,0.014292,0.019481,0.024793,0.11828,0.403846,0.024876,0.5,0.0,0.5,0.5,0.5,0.714286,0.026638,0.034188,0.075333,0
0.138889,0.25,0.0,0.051282,0.099707,0.020384,0.019481,0.041322,0.129032,0.435715,0.023353,0.8,0.0,0.478261,0.516667,0.5,0.714286,0.022799,0.017094,0.070313,0
0.148148,0.5,0.0,0.025641,0.082111,0.028116,0.006494,0.024793,0.172043,0.533334,0.010559,0.0,0.0,0.625,0.53125,0.0,0.0,0.008855,0.008547,0.065918,0
0.101852,0.25,0.0,0.025641,0.046921,0.012887,0.012987,0.024793,0.11828,0.55,0.009747,0.333333,0.0,0.25,0.272727,0.0,0.0,0.01214,0.008547,0.05753,0
0.037037,1.0,0.0,0.012821,0.02346,0.001406,0.006494,0.008264,0.043011,1.0,0.002031,0.0,0.0,1.0,0.666667,0.0,0.0,0.006514,0.0,0.0,0
0.009259,0.0,0.0,0.044872,0.002933,0.0,0.038961,0.008264,0.010753,1.0,0.000102,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.008547,0.070313,0
0.12037,0.25,0.0,0.083333,0.067449,0.0,0.064935,0.024793,0.11828,0.321429,0.027515,1.0,0.029412,0.45,0.25641,0.5,0.285714,0.031443,0.017094,0.064906,0
0.037037,0.0,0.0,0.051282,0.049853,0.0,0.019481,0.041322,0.032258,0.0,0.011778,1.0,0.0,0.0,0.5,0.0,0.0,0.045191,0.017094,0.087891,1
0.018519,0.0,0.0,0.032051,0.005865,0.000234,0.032468,0.0,0.021505,1.0,0.000203,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.008547,0.070313,0
0.037037,0.25,0.0,0.032051,0.032258,0.000937,0.006494,0.033058,0.021505,0.416666,0.010966,1.0,0.029412,0.5,0.4,0.5,0.142857,0.041527,0.025641,0.087891,0
0.064815,0.0,0.0,0.076923,0.085044,0.000234,0.045455,0.049587,0.010753,0.0,0.026094,1.0,0.029412,0.0,0.514286,0.0,0.0,0.057928,0.017094,0.050224,0
0.037037,0.0,0.032,0.032051,0.017595,0.001406,0.025974,0.008264,0.010753,1.0,0.001523,0.0,0.0,0.0,0.666667,0.0,0.0,0.004478,0.008547,0.052734,0
0.166667,0.25,0.0,0.038462,0.102639,0.008669,0.006494,0.041322,0.172043,0.403361,0.02914,0.571429,0.058824,0.423077,0.366667,0.5,0.857143,0.023704,0.017094,0.062501,0
0.083333,0.25,0.0,0.025641,0.049853,0.008435,0.006494,0.024793,0.075269,0.5625,0.00731,0.0,0.0,0.647059,0.555556,0.5,0.857143,0.011219,0.017094,0.054689,0
0.018519,0.0,0.0,0.032051,0.029326,0.000234,0.006494,0.033058,0.0,1.0,0.008326,0.0,0.0,0.0,0.5,0.0,0.0,0.06514,0.008547,0.035156,0
0.083333,0.25,0.0,0.032051,0.049853,0.008435,0.012987,0.024793,0.075269,0.5625,0.00731,0.0,0.0,0.647059,0.555556,0.5,0.857143,0.011219,0.017094,0.054689,0
0.148148,0.25,0.016,0.038462,0.090909,0.023899,0.019481,0.024793,0.11828,0.466666,1.0,0.75,0.029412,0.176471,0.190476,0.0,0.0,1.0,0.042735,0.083496,1
0.185185,0.0,0.0,0.025641,0.11437,0.0,0.019481,0.008264,0.204301,0.489474,0.014215,0.133333,0.029412,0.0,0.258333,0.0,0.0,0.00855,0.008547,0.066797,1
0.018519,0.0,0.0,0.032051,0.005865,0.000234,0.032468,0.0,0.021505,1.0,0.000203,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.008547,0.070313,0
0.231481,0.0,0.0,0.025641,0.085044,0.0,0.025974,0.0,0.258065,0.194444,0.063864,1.0,0.0,0.0,0.36,0.5,0.142857,0.039149,0.076923,0.182813,0
0.0,0.0,0.0,0.012821,0.0,0.0,0.012987,0.0,0.0,1.0,0.001015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.222222,0.25,0.0,0.038462,0.123167,0.0,0.006494,0.041322,0.236559,0.409091,0.042949,0.636364,0.147059,0.34375,0.291667,0.5,0.857143,0.026327,0.017094,0.064456,0
0.777778,0.0,0.0,0.557692,0.788856,0.604967,0.292208,0.355372,0.494624,0.453661,0.326226,1.0,0.117647,0.0,0.168675,0.0,0.0,0.06041,0.162393,0.135605,1
0.101852,0.25,0.0,0.032051,0.061584,0.011481,0.012987,0.024793,0.096774,0.466666,0.010763,0.333333,0.0,0.578947,0.522727,0.5,0.857143,0.01362,0.017094,0.05753,0
0.055556,0.0,0.0,0.012821,0.02346,0.003515,0.012987,0.0,0.064516,0.6,0.014113,0.0,0.0,0.0,0.333333,0.0,0.0,0.035827,0.034188,0.140625,0
0.277778,0.25,0.0,0.038462,0.146628,0.076617,0.012987,0.033058,0.301075,0.387931,0.051274,0.833333,0.0,0.289474,0.216667,0.5,0.857143,0.025459,0.068376,0.145315,0
0.046296,0.75,0.016,0.032051,0.020528,0.000937,0.032468,0.0,0.053763,0.25,0.002944,1.0,0.0,0.944444,0.6,0.0,0.0,0.007491,0.008547,0.014063,0
0.111111,0.25,0.0,0.032051,0.070381,0.010778,0.006494,0.033058,0.107527,0.409091,0.014316,0.5,0.0,0.55,0.5,0.5,0.857143,0.017235,0.017094,0.058591,0
0.074074,0.0,0.0,0.051282,0.055718,0.0,0.045455,0.008264,0.086022,0.321429,0.033811,0.5,0.0,0.0,0.46875,0.0,0.0,0.065751,0.051282,0.149414,0
0.009259,0.0,0.0,0.025641,0.002933,0.0,0.019481,0.008264,0.010753,1.0,0.000102,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.008547,0.070313,0
0.083333,0.0,0.0,0.775641,0.442815,0.007498,0.0,1.0,0.053763,0.375,0.132298,0.5,0.0,0.0,0.253968,0.0,0.0,0.23378,1.0,1.0,0
0.342593,0.25,0.0,0.076923,0.234604,0.110122,0.038961,0.049587,0.344086,0.431713,0.087928,0.833333,0.0,0.244444,0.219595,0.5,0.857143,0.035959,0.059829,0.133024,0
0.101852,0.25,0.0,0.019231,0.041056,0.007732,0.006494,0.024793,0.11828,0.45,0.006701,0.75,0.0,0.4375,0.327273,0.5,0.285714,0.00755,0.008547,0.05753,0
0.083333,0.0,0.0,0.051282,0.026393,0.008435,0.032468,0.033058,0.096774,1.0,0.000914,0.0,0.0,0.0,0.314815,0.0,0.0,0.0,0.008547,0.070313,0
0.111111,0.25,0.0,0.032051,0.064516,0.012652,0.012987,0.024793,0.107527,0.477272,0.012082,0.25,0.0,0.55,0.5,0.5,0.857143,0.013978,0.017094,0.058591,0
0.0,0.0,0.0,0.025641,0.0,0.0,0.025974,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.222222,0.25,0.0,0.057692,0.146628,0.05717,0.019481,0.049587,0.236559,0.454107,0.040816,0.444444,0.0,0.34375,0.284722,0.5,0.714286,0.025038,0.051282,0.102537,0
0.092593,0.0,0.016,0.038462,0.041056,0.004452,0.019481,0.033058,0.064516,0.305555,0.007209,1.0,0.058824,0.0,0.325,0.0,0.0,0.009608,0.025641,0.091406,0
0.037037,0.0,0.0,0.032051,0.014663,0.0,0.019481,0.016529,0.032258,0.333334,0.002843,1.0,0.058824,0.0,0.4375,0.0,0.0,0.00855,0.008547,0.052734,0
0.101852,0.25,0.0,0.019231,0.041056,0.007732,0.006494,0.024793,0.11828,0.45,0.006701,0.75,0.0,0.4375,0.327273,0.5,0.285714,0.00755,0.008547,0.05753,0
0.574074,0.25,0.0,0.089744,0.316716,0.349344,0.032468,0.082645,0.602151,0.478983,0.130369,0.487179,0.0,0.15942,0.203629,0.5,0.857143,0.031073,0.051282,0.098663,0
0.175926,0.25,0.0,0.032051,0.102639,0.025539,0.006494,0.033058,0.182796,0.40873,0.026906,0.857143,0.029412,0.407407,0.368421,0.5,0.857143,0.020485,0.017094,0.062909,0
0.111111,0.25,0.0,0.025641,0.070381,0.010778,0.0,0.033058,0.107527,0.409091,0.014316,0.5,0.0,0.55,0.5,0.5,0.857143,0.017235,0.017094,0.058591,0
0.222222,0.25,0.0,0.044872,0.11437,0.047798,0.012987,0.041322,0.225806,0.441304,0.042441,0.7,0.029412,0.34375,0.298611,0.5,0.857143,0.026056,0.034188,0.090823,0
0.148148,0.0,0.0,0.012821,0.087977,0.020619,0.006494,0.008264,0.150538,0.341666,0.025383,0.0,0.029412,0.0,0.21875,0.0,0.0,0.02341,0.034188,0.079102,0
0.444444,0.25,0.0,0.044872,0.187683,0.037957,0.019481,0.033058,0.494624,0.430851,0.090466,0.95,0.352941,0.196429,0.325,0.5,0.857143,0.027922,0.025641,0.070313,0
0.157407,0.25,0.0,0.044872,0.093842,0.01687,0.019481,0.033058,0.16129,0.395834,0.028632,0.833333,0.0,0.44,0.268908,0.5,0.857143,0.024811,0.034188,0.090992,0
0.092593,0.25,0.0,0.025641,0.041056,0.010544,0.012987,0.016529,0.107527,0.555555,0.006803,0.333333,0.0,0.272727,0.32,0.0,0.0,0.008794,0.008547,0.05625,1
0.203704,0.0,0.008,0.089744,0.164223,0.046157,0.025974,0.082645,0.172043,0.406927,0.03838,0.545455,0.029412,0.0,0.369048,0.0,0.0,0.025538,0.034188,0.073512,1
0.12963,0.25,0.0,0.051282,0.076246,0.016167,0.025974,0.033058,0.129032,0.371795,0.019088,0.666667,0.0,0.5,0.321429,0.5,0.857143,0.019891,0.025641,0.08036,0
0.092593,0.25,0.0,0.025641,0.041056,0.010544,0.012987,0.016529,0.107527,0.555555,0.006803,0.333333,0.0,0.272727,0.32,0.0,0.0,0.008794,0.008547,0.05625,1
0.138889,0.0,1.0,0.935897,0.067449,0.024602,0.948052,0.0,0.129032,1.0,0.008529,0.0,0.0,0.0,0.483333,0.0,0.0,0.007491,0.008547,0.05625,0
0.055556,0.0,0.016,0.032051,0.038123,0.0,0.012987,0.024793,0.043011,0.25,0.010864,1.0,0.058824,0.0,0.458333,0.0,0.0,0.02687,0.025641,0.082034,0
0.101852,0.25,0.0,0.025641,0.046921,0.012887,0.012987,0.024793,0.11828,0.55,0.009747,0.333333,0.0,0.25,0.272727,0.0,0.0,0.01214,0.008547,0.05753,0
0.083333,0.0,0.0,0.025641,0.049853,0.0,0.006494,0.024793,0.075269,0.25,0.023759,1.0,0.029412,0.0,0.511111,0.0,0.0,0.039989,0.017094,0.078124,0
0.157407,0.25,0.0,0.057692,0.093842,0.017338,0.032468,0.033058,0.139785,0.375,0.022743,0.75,0.0,0.44,0.294118,0.5,0.857143,0.019446,0.017094,0.078581,0
0.138889,0.25,0.0,0.025641,0.073314,0.020384,0.012987,0.016529,0.139785,0.401786,0.014519,0.75,0.0,0.478261,0.483333,0.5,0.857143,0.013462,0.008547,0.05625,0
0.240741,0.25,0.0,0.038462,0.134897,0.035848,0.006494,0.041322,0.258065,0.4,0.050868,0.888889,0.058824,0.323529,0.346154,0.5,0.857143,0.029188,0.017094,0.064906,0
0.018519,0.0,0.0,0.019231,0.01173,0.0,0.006494,0.024793,0.021505,0.0,0.001421,0.0,0.029412,0.0,0.666667,0.0,0.0,0.008957,0.008547,0.035156,0
