wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max_cc,avg_cc,bug
0.046512,0.4,0.0,0.101695,0.066667,0.0,0.018182,0.136364,0.019608,0.333334,0.008625,0.5,0.0,0.96,0.5,0.5,0.363636,0.022121,0.020408,0.093573,0
0.0,0.0,0.0,0.033898,0.0,0.0,0.018182,0.022727,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.151163,0.2,0.0,0.101695,0.294118,0.009032,0.036364,0.090909,0.196078,1.0,0.114995,0.0,0.0,0.861538,0.239316,0.5,0.318182,0.097362,0.204082,0.564322,0
0.023256,0.0,0.0,0.372881,0.007843,0.000502,0.4,0.0,0.039216,1.0,0.000575,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.006803,0.074859,0
0.034884,0.6,0.0,0.033898,0.023529,0.001505,0.0,0.045455,0.058824,1.0,0.001955,0.0,0.0,0.979167,0.666667,0.0,0.0,0.005984,0.006803,0.049908,0
0.44186,0.0,0.0,0.0,0.14902,0.352735,0.0,0.0,0.745098,1.0,0.00437,0.0,0.0,0.0,0.355263,0.0,0.0,0.0,0.006803,0.074859,0
0.034884,0.8,0.0,0.067797,0.035294,0.0,0.018182,0.090909,0.019608,0.375,0.00506,0.5,0.0,0.969231,0.555556,0.75,0.5,0.016671,0.013605,0.074859,0
0.348837,0.0,0.0,0.881356,0.196078,0.033618,0.890909,0.090909,0.509804,0.414511,0.243905,0.916667,0.052632,0.0,0.338889,0.0,0.0,0.088356,0.061224,0.237055,0
0.151163,0.0,0.0,0.0,0.05098,0.039137,0.0,0.0,0.254902,1.0,0.001495,0.0,0.0,0.0,0.461538,0.0,0.0,0.0,0.006803,0.074859,0
0.116279,0.6,0.019231,0.084746,0.058824,0.018565,0.072727,0.045455,0.196078,0.466666,0.010695,0.8,0.0,0.897727,0.4,0.5,0.272727,0.010003,0.013605,0.119774,0
0.732558,0.2,0.057692,0.457627,0.882353,0.397893,0.127273,0.454545,0.823529,0.43604,0.653174,0.896552,0.157895,0.678947,0.152074,0.5,0.5,0.113745,0.040816,0.12714,0
0.093023,0.6,0.0,0.322034,0.047059,0.0,0.327273,0.022727,0.156863,0.142857,0.00736,1.0,0.0,0.818182,0.4375,0.0,0.0,0.008656,0.006803,0.037429,0
0.05814,0.0,0.0,0.0,0.019608,0.005018,0.0,0.0,0.098039,1.0,0.000575,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.006803,0.074859,0
0.127907,0.6,0.0,0.050847,0.054902,0.027597,0.0,0.068182,0.215686,1.0,0.007015,0.0,0.0,0.891304,0.545455,0.25,0.272727,0.005829,0.006803,0.068054,0
0.069767,0.0,0.0,0.135593,0.047059,0.001505,0.109091,0.045455,0.117647,0.381818,0.01035,0.0,0.052632,0.0,0.5,0.25,0.045455,0.015602,0.006803,0.049908,0
0.162791,0.0,0.0,0.0,0.058824,0.040642,0.0,0.0,0.27451,0.438462,0.008625,1.0,0.0,0.0,0.392857,0.0,0.0,0.00513,0.006803,0.053472,0
0.104651,0.6,0.0,0.033898,0.058824,0.018063,0.0,0.045455,0.176471,1.0,0.00598,0.0,0.0,0.921569,0.416667,0.0,0.0,0.006127,0.006803,0.066542,0
0.034884,0.0,0.0,0.0,0.011765,0.001505,0.0,0.0,0.058824,1.0,0.000345,0.0,0.0,0.0,0.666667,0.0,0.0,0.0,0.006803,0.074859,1
0.011628,0.0,0.0,0.0,0.003922,0.0,0.0,0.0,0.019608,1.0,0.001955,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.006803,0.074859,1
0.034884,0.0,0.0,0.084746,0.011765,0.001505,0.090909,0.0,0.058824,1.0,0.000345,0.0,0.0,0.0,0.583333,0.0,0.0,0.0,0.006803,0.074859,0
0.127907,0.6,0.0,0.050847,0.054902,0.027597,0.0,0.068182,0.215686,1.0,0.007015,0.0,0.0,0.891304,0.545455,0.25,0.181818,0.005829,0.006803,0.068054,0
0.069767,0.4,0.019231,0.067797,0.070588,0.001505,0.036364,0.068182,0.078431,0.4,0.022079,0.666667,0.0,0.9375,0.611111,0.75,0.136364,0.039113,0.020408,0.099809,1
0.046512,0.6,0.0,0.084746,0.070588,0.0,0.018182,0.113636,0.019608,0.333334,0.013454,0.5,0.0,0.955224,0.5,1.0,0.409091,0.035586,0.047619,0.168432,0
0.569767,0.0,0.038462,0.372881,0.47451,0.312092,0.036364,0.454545,0.431373,0.45786,0.137075,1.0,0.289474,0.0,0.113889,0.0,0.0,0.029338,0.020408,0.077913,0
0.046512,0.0,0.0,0.0,0.015686,0.003011,0.0,0.0,0.078431,1.0,0.00046,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.006803,0.074859,0
