@relation eclipse

@attribute e_changed_log_length numeric
@attribute e_changed_loc_ numeric
@attribute e_loc_ numeric
@attribute e_chang_count_ numeric
@attribute e_bug_count_ numeric
@attribute m_MaxCyclomatic numeric
@attribute m_SumEssential numeric
@attribute m_SumCyclomatic numeric
@attribute m_CountLineBlank numeric
@attribute m_AvgCyclomatic numeric
@attribute m_AvgCyclomaticStrict numeric
@attribute m_AvgCyclomaticModified numeric
@attribute m_SumCyclomaticStrict numeric
@attribute m_CountStmtDecl numeric
@attribute m_CountLineCodeExe numeric
@attribute m_CountLineComment numeric
@attribute m_MaxCyclomaticStrict numeric
@attribute m_CountLineCode numeric
@attribute m_CountStmtExe numeric
@attribute m_MaxCyclomaticModified numeric
@attribute m_CountLineCodeDecl numeric
@attribute m_CountDeclFunction numeric
@attribute m_CountLine numeric
@attribute m_CountDeclClass numeric
@attribute m_CountStmt numeric
@attribute m_SumCyclomaticModified numeric
@attribute md_MaxCyclomatic numeric
@attribute md_SumEssential numeric
@attribute md_SumCyclomatic numeric
@attribute md_CountLineBlank numeric
@attribute md_AvgCyclomatic numeric
@attribute md_AvgCyclomaticStrict numeric
@attribute md_AvgCyclomaticModified numeric
@attribute md_SumCyclomaticStrict numeric
@attribute md_CountStmtDecl numeric
@attribute md_CountLineCodeExe numeric
@attribute md_CountLineComment numeric
@attribute md_MaxCyclomaticStrict numeric
@attribute md_CountLineCode numeric
@attribute md_CountStmtExe numeric
@attribute md_MaxCyclomaticModified numeric
@attribute md_CountLineCodeDecl numeric
@attribute md_CountDeclFunction numeric
@attribute md_CountLine numeric
@attribute md_CountDeclClass numeric
@attribute md_CountStmt numeric
@attribute md_SumCyclomaticModified numeric
@attribute bug {N,Y}

@data
41,519,974,14,6,72,127,194,20,6,6,5,199,149,412,238,91,720,367,72,140,32,974,1,516,176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N
41,6,289,11,4,15,21,49,5,3,2,2,34,60,123,79,5,222,85,7,61,14,289,1,145,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y
41,4,228,12,3,6,14,31,4,2,2,2,33,54,74,75,6,161,55,6,55,14,228,1,109,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y
44,2,36,1,0,3,4,6,8,1,1,1,6,5,11,4,3,28,13,3,12,4,36,1,18,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,N
44,2,28,1,0,3,3,5,6,1,1,1,5,4,9,4,3,22,11,3,9,3,28,1,15,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,N
44,2,28,1,0,3,3,5,6,1,1,1,5,4,9,4,3,22,11,3,9,3,28,1,15,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,N
26,124,223,7,0,9,22,38,22,2,3,2,39,37,89,37,11,165,64,9,43,13,224,1,101,36,0,-2,-4,-8,0,1,0,-1,-4,-11,-18,2,-18,-11,0,-4,-2,-44,0,-15,-4,N
26,2,873,25,7,91,110,175,41,7,8,7,188,124,491,183,96,759,454,91,135,23,874,3,578,175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N
26,8,962,12,5,18,88,226,47,7,7,7,235,161,457,211,20,758,416,18,130,32,968,1,577,224,0,1,3,-1,1,0,1,3,1,6,0,0,7,9,0,1,0,6,0,10,3,N
26,1,5683,18,3,41,374,1229,59,4,3,3,1030,474,3872,501,27,5192,3181,23,461,300,5683,1,3655,1010,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,1,0,N
26,8,956,13,5,18,87,223,48,6,7,6,232,160,451,211,20,751,407,18,129,32,962,1,567,221,0,-1,-3,1,-1,0,-1,-3,-1,-6,0,0,-7,-9,0,-1,0,-6,0,-10,-3,N
26,1,5682,19,3,41,374,1229,59,4,3,3,1030,474,3871,501,27,5191,3180,23,461,300,5682,1,3654,1010,0,0,0,0,0,0,0,0,0,-1,0,0,-1,-1,0,0,0,-1,0,-1,0,N
26,3,2150,25,5,32,197,322,369,8,9,8,349,274,1055,210,37,1610,601,32,358,37,2151,2,875,314,1,1,1,1,0,0,0,1,0,2,0,1,2,2,1,0,0,3,0,2,1,N
45,22,264,11,1,13,38,52,35,4,4,4,47,34,103,58,10,186,99,11,55,11,264,1,133,47,0,1,1,0,0,0,0,1,0,1,0,0,2,1,0,0,0,2,0,1,1,N
45,22,405,18,1,13,42,76,31,4,4,4,70,62,172,84,16,310,142,13,83,17,406,1,204,69,0,1,1,0,0,0,0,1,0,1,0,0,2,1,0,0,0,2,0,1,1,N
45,35,243,11,3,14,38,43,30,4,4,4,41,43,87,38,11,180,79,12,63,9,243,1,122,41,1,2,2,1,0,0,0,2,1,1,0,1,4,1,1,1,0,5,0,2,2,N
45,24,223,14,1,17,32,37,25,3,3,3,40,32,83,38,15,165,70,15,54,11,223,1,102,35,1,1,1,0,0,0,0,1,1,0,0,1,2,0,1,1,0,2,0,1,1,N
45,25,5659,20,3,41,374,1229,57,4,3,3,1030,474,3872,479,27,5192,3181,23,461,300,5659,1,3655,1010,0,0,0,-2,0,0,0,0,0,1,-22,0,1,1,0,0,0,-23,0,1,0,N
26,6,960,14,5,18,88,226,47,7,7,7,235,161,455,211,20,756,414,18,130,32,966,1,575,224,0,1,3,-1,1,0,1,3,1,4,0,0,5,7,0,1,0,4,0,8,3,Y
26,5,1422,19,3,36,168,236,110,7,8,7,269,159,657,344,38,1005,440,33,212,32,1421,1,599,231,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,N
26,12,425,12,3,16,29,67,56,5,6,5,76,50,184,90,19,294,129,16,74,12,424,1,179,67,0,0,1,0,0,0,0,1,1,3,2,0,5,2,0,1,0,6,0,3,1,N
26,16,2239,14,4,52,239,371,63,1,1,1,269,244,1507,243,25,2030,480,26,272,189,2239,1,724,274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N
26,3,72,2,0,13,7,13,8,13,13,13,13,5,31,17,13,48,31,13,7,1,72,1,36,13,1,1,1,1,1,1,1,1,0,2,0,1,2,3,1,0,0,3,0,3,1,N
26,15,907,30,6,15,93,130,71,3,3,3,140,153,317,149,17,696,239,15,262,38,906,2,392,130,0,0,0,0,0,0,0,0,0,3,0,0,3,2,0,0,0,3,0,2,0,N
26,3,904,31,6,15,93,129,71,3,3,3,139,153,315,149,17,693,237,15,262,38,903,2,390,129,0,0,-1,0,0,0,0,-1,0,-2,0,0,-3,-2,0,0,0,-3,0,-2,-1,N
26,1522,867,15,2,25,80,155,82,6,5,5,132,105,356,198,23,596,259,21,126,25,866,1,364,130,0,-4,-22,42,0,0,0,-23,-24,-20,-39,-6,-54,-42,0,-11,-4,-51,0,-66,-22,Y
26,21,1928,25,2,19,186,289,230,3,3,3,299,297,640,480,18,1276,504,15,387,84,1927,1,801,279,0,1,6,1,0,0,0,6,6,8,1,0,18,7,0,4,1,19,0,13,6,N
26,33,593,13,3,7,20,33,22,1,1,1,32,38,73,390,8,188,52,7,84,17,593,2,90,32,0,1,2,0,0,0,0,2,2,4,21,0,8,3,0,2,1,29,0,5,2,Y
45,2,536,14,5,27,92,132,9,7,4,5,88,91,291,79,17,460,228,18,89,18,535,1,319,92,0,0,0,-1,0,0,0,0,-1,0,0,0,-1,0,0,-1,0,-2,0,-1,0,N
