e_changed_log_length,e_changed_loc_,e_loc_,e_chang_count_,e_bug_count_,m_MinEssentialKnots,m_CountDeclInstanceVariablePublic,m_AvgLineCode,m_MaxCyclomatic,m_SumEssential,m_SumCyclomatic,m_AvgLine,m_CountLineBlank,m_AvgCyclomatic,m_CountDeclMethodDefault,m_AvgCyclomaticStrict,m_AvgCyclomaticModified,m_SumCyclomaticStrict,m_CountStmtDecl,m_AvgEssential,m_CountLineInactive,m_AvgLineBlank,m_AvgLineComment,m_CountLineCodeExe,m_CountLineComment,m_MaxCyclomaticStrict,m_CountLinePreprocessor,m_MaxEssentialKnots,m_CountLineCode,m_CountSemicolon,m_CountStmtExe,m_MaxCyclomaticModified,m_CountLineCodeDecl,m_CountDeclFunction,m_CountLine,m_CountDeclMethodFriend,m_Knots,m_CountDeclMethodConst,m_CountDeclInstanceVariablePrivate,m_CountDeclClass,m_CountStmt,m_SumCyclomaticModified,m_CountDeclInstanceVariableProtected,md_MaxCyclomatic,md_SumEssential,md_SumCyclomatic,md_CountLineBlank,md_AvgCyclomatic,md_AvgCyclomaticStrict,md_AvgCyclomaticModified,md_SumCyclomaticStrict,md_CountStmtDecl,md_CountLineCodeExe,md_CountLineComment,md_MaxCyclomaticStrict,md_CountLineCode,md_CountStmtExe,md_MaxCyclomaticModified,md_CountLineCodeDecl,md_CountDeclFunction,md_CountLine,md_CountDeclClass,md_CountStmt,md_SumCyclomaticModified,_class_
62,68,333,17,8,-1,-1,0,6,7,18,0,66,2,0,1,2,13,32,0,-1,0,0,116,78,6,-1,-1,194,-1,82,6,63,7,333,-1,-1,-1,-1,1,114,14,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y
23,47,334,18,9,-1,-1,0,6,7,18,0,65,2,0,1,2,13,34,0,-1,0,0,116,78,6,-1,-1,196,-1,78,6,65,7,334,-1,-1,-1,-1,1,112,14,-1,0,0,0,-1,0,0,0,0,2,0,0,0,2,-4,0,2,0,1,0,-2,0,N
55,6,338,19,9,-1,-1,0,6,7,18,0,65,2,0,1,2,13,34,0,-1,0,0,120,78,6,-1,-1,200,-1,78,6,65,7,338,-1,-1,-1,-1,1,112,14,-1,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,4,0,0,0,N
46,15,91,3,1,-1,-1,0,3,8,9,0,12,1,0,1,1,9,9,0,-1,0,0,14,36,3,-1,-1,45,-1,13,3,17,6,91,-1,-1,-1,-1,1,22,9,-1,-1,-1,-1,0,0,0,0,-1,0,-1,-2,-1,-5,-2,-1,0,0,-5,0,-2,-1,N
46,33,272,8,7,-1,-1,0,3,4,7,0,50,1,0,1,1,7,29,0,-1,0,0,127,42,3,-1,-1,182,-1,85,3,47,4,272,-1,-1,-1,-1,1,114,7,-1,0,0,0,-3,0,0,0,0,0,4,-5,0,6,0,0,1,0,-2,0,0,0,Y
42,32,322,20,9,-1,-1,0,6,7,18,0,64,2,0,1,2,13,33,0,-1,0,0,113,68,6,-1,-1,195,-1,79,6,67,7,322,-1,-1,-1,-1,1,112,14,-1,0,0,0,-1,0,0,0,0,-1,-7,-10,0,-5,1,0,2,0,-16,0,0,0,N
38,6,193,5,3,-1,-1,0,1,6,6,0,38,1,0,1,1,6,15,0,-1,0,0,27,91,1,-1,-1,70,-1,23,1,36,6,193,-1,-1,-1,-1,1,38,6,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N
38,12,166,4,2,-1,-1,0,1,5,5,0,28,1,0,1,1,5,18,0,-1,0,0,30,68,1,-1,-1,75,-1,22,1,39,5,166,-1,-1,-1,-1,1,40,5,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N
38,12,221,4,2,-1,-1,0,2,7,9,0,34,1,0,1,1,9,21,0,-1,0,0,44,88,2,-1,-1,109,-1,40,2,45,7,221,-1,-1,-1,-1,2,61,9,-1,0,0,0,0,0,0,0,0,0,0,-2,0,0,0,0,0,0,0,0,0,0,N
38,9,156,6,3,-1,-1,0,6,9,16,0,18,2,0,2,2,20,29,0,-1,0,0,56,23,9,-1,-1,115,-1,41,6,44,7,156,-1,-1,-1,-1,2,70,16,-1,1,2,1,1,0,0,0,2,0,2,1,2,3,2,1,0,0,5,0,2,1,N
