e_changed_log_length,e_changed_loc_,e_loc_,e_chang_count_,e_bug_count_,m_MaxCyclomatic,m_SumEssential,m_SumCyclomatic,m_CountLineBlank,m_AvgCyclomatic,m_AvgCyclomaticStrict,m_AvgCyclomaticModified,m_SumCyclomaticStrict,m_CountStmtDecl,m_CountLineCodeExe,m_CountLineComment,m_MaxCyclomaticStrict,m_CountLineCode,m_CountStmtExe,m_MaxCyclomaticModified,m_CountLineCodeDecl,m_CountDeclFunction,m_CountLine,m_CountDeclClass,m_CountStmt,m_SumCyclomaticModified,md_MaxCyclomatic,md_SumEssential,md_SumCyclomatic,md_CountLineBlank,md_AvgCyclomatic,md_AvgCyclomaticStrict,md_AvgCyclomaticModified,md_SumCyclomaticStrict,md_CountStmtDecl,md_CountLineCodeExe,md_CountLineComment,md_MaxCyclomaticStrict,md_CountLineCode,md_CountStmtExe,md_MaxCyclomaticModified,md_CountLineCodeDecl,md_CountDeclFunction,md_CountLine,md_CountStmt,md_SumCyclomaticModified,_class_
113,2,88,4,4,1,1,1,5,1,1,1,1,2,0,72,1,11,0,1,7,1,88,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y
113,4,192,8,5,4,3,6,15,2,2,2,6,12,15,129,4,48,10,4,23,3,192,1,22,6,0,0,0,0,0,0,0,0,0,0,1,0,-1,0,0,-1,0,0,0,0,Y
113,2,92,4,2,2,3,4,9,1,1,1,4,6,4,60,2,24,4,2,10,3,92,1,10,4,0,0,0,0,0,0,0,0,0,0,1,0,-1,0,0,-1,0,0,0,0,N
113,2,79,4,2,2,1,2,3,2,2,2,2,3,3,56,2,20,3,2,11,1,79,1,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y
113,4,126,8,5,1,5,5,13,1,1,1,5,9,5,83,1,31,4,1,14,5,126,1,13,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y
113,2,151,3,3,2,8,9,19,1,1,1,9,14,7,79,2,53,7,2,26,8,151,1,21,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y
113,2,165,4,3,3,9,11,11,1,1,1,11,17,15,86,3,68,15,3,29,9,165,1,32,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N
113,6,272,4,4,4,14,16,25,1,1,1,16,22,26,148,4,99,24,4,39,11,272,1,46,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y
113,8,329,18,16,7,23,30,33,2,2,2,34,34,69,123,11,173,65,7,50,13,329,1,99,30,0,0,0,0,0,0,0,0,0,0,1,0,-1,0,0,-1,0,0,0,0,Y
113,13,19,2,1,0,0,0,3,0,0,0,0,1,0,10,0,6,0,0,4,0,19,1,1,0,0,0,0,-3,0,0,0,0,0,0,-3,0,-7,0,0,-7,0,-13,0,0,N
113,13,19,2,1,0,0,0,3,0,0,0,0,1,0,10,0,6,0,0,4,0,19,1,1,0,0,0,0,-3,0,0,0,0,0,0,-3,0,-7,0,0,-7,0,-13,0,0,N
113,6,65,5,1,2,2,3,8,1,1,1,3,6,8,23,2,34,7,2,18,2,65,1,13,3,0,0,0,0,0,0,0,0,0,0,0,0,-4,0,0,-4,0,-4,0,0,N
113,6,31,2,1,0,0,0,7,0,0,0,0,1,0,11,0,13,0,0,11,0,31,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,0,0,-2,0,-2,0,0,Y
113,7,255,15,10,4,16,22,36,1,1,1,22,42,56,49,4,171,46,4,63,12,255,1,88,22,0,0,0,0,0,0,0,0,0,0,1,0,-2,0,0,-2,0,-1,0,0,Y
113,13,19,2,1,0,0,0,3,0,0,0,0,1,0,10,0,6,0,0,4,0,19,1,1,0,0,0,0,-3,0,0,0,0,0,0,-3,0,-7,0,0,-7,0,-13,0,0,N
113,6,31,2,1,0,0,0,7,0,0,0,0,1,0,11,0,13,0,0,11,0,31,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,0,0,-2,0,-2,0,0,Y
113,13,19,2,1,0,0,0,3,0,0,0,0,1,0,10,0,6,0,0,4,0,19,1,1,0,0,0,0,-3,0,0,0,0,0,0,-3,0,-7,0,0,-7,0,-13,0,0,N
113,13,19,2,1,0,0,0,3,0,0,0,0,1,0,10,0,6,0,0,4,0,19,1,1,0,0,0,0,-3,0,0,0,0,0,0,-3,0,-7,0,0,-7,0,-13,0,0,N
113,13,19,2,1,0,0,0,3,0,0,0,0,1,0,10,0,6,0,0,4,0,19,1,1,0,0,0,0,-3,0,0,0,0,0,0,-3,0,-7,0,0,-7,0,-13,0,0,N
113,13,19,2,1,0,0,0,3,0,0,0,0,1,0,10,0,6,0,0,4,0,19,1,1,0,0,0,0,-3,0,0,0,0,0,0,-3,0,-7,0,0,-7,0,-13,0,0,N
113,11,68,2,1,2,2,3,9,1,1,1,3,10,8,19,2,40,6,2,22,2,68,1,16,3,0,0,0,-1,0,0,0,0,0,0,2,0,-4,0,0,-4,0,-3,0,0,Y
113,13,19,2,1,0,0,0,3,0,0,0,0,1,0,10,0,6,0,0,4,0,19,1,1,0,0,0,0,-3,0,0,0,0,0,0,-3,0,-7,0,0,-7,0,-13,0,0,N
113,13,19,2,1,0,0,0,3,0,0,0,0,1,0,10,0,6,0,0,4,0,19,1,1,0,0,0,0,-3,0,0,0,0,0,0,-3,0,-7,0,0,-7,0,-13,0,0,N
113,6,123,3,3,3,6,10,18,1,1,1,10,13,18,38,3,67,15,3,24,6,123,2,28,10,0,0,0,0,0,0,0,0,0,0,0,0,-2,0,0,-2,0,-2,0,0,Y
113,6,31,2,1,0,0,0,7,0,0,0,0,1,0,11,0,13,0,0,11,0,31,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,0,0,-2,0,-2,0,0,Y
113,12,602,25,4,7,29,55,65,2,2,2,59,84,124,159,8,379,108,7,134,20,603,1,192,55,0,0,0,0,0,0,0,0,0,0,1,0,-3,0,0,-3,0,-2,0,0,N
113,4,82,5,4,2,4,6,13,1,1,1,6,10,8,27,2,42,8,2,20,4,82,1,18,6,0,0,0,0,0,0,0,0,0,0,2,0,-2,0,0,-2,0,0,0,0,Y
113,7,30,2,1,0,0,0,7,0,0,0,0,1,0,11,0,12,0,0,10,0,30,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-3,0,0,-3,0,-3,0,0,Y
113,6,80,3,2,3,3,6,17,2,2,2,7,6,13,18,3,45,12,3,16,3,80,1,18,6,0,0,0,0,0,0,0,0,0,0,0,0,-2,0,0,-2,0,-2,0,0,Y
113,10,157,4,3,2,8,13,23,1,2,1,18,14,24,59,3,75,24,2,23,8,157,1,38,13,0,0,0,0,0,0,0,0,0,0,3,0,-3,0,0,-3,0,0,0,0,Y
113,7,468,8,7,14,27,59,47,3,3,3,62,85,129,33,16,389,113,14,121,18,468,2,198,59,0,0,0,0,0,0,0,0,0,0,1,0,-2,0,0,-2,0,-1,0,0,Y
113,6,31,2,1,0,0,0,7,0,0,0,0,1,0,11,0,13,0,0,11,0,31,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,0,0,-2,0,-2,0,0,Y
113,7,283,13,8,4,26,29,36,1,1,1,33,39,46,76,5,171,42,4,67,19,283,1,81,29,0,0,0,0,0,0,0,0,0,0,1,0,-2,0,0,-2,0,-1,0,0,Y
113,6,31,2,1,0,0,0,7,0,0,0,0,1,0,11,0,13,0,0,11,0,31,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,0,0,-2,0,-2,0,0,Y
113,13,19,2,1,0,0,0,3,0,0,0,0,1,0,10,0,6,0,0,4,0,19,1,1,0,0,0,0,-3,0,0,0,0,0,0,-3,0,-7,0,0,-7,0,-13,0,0,N
113,13,19,2,1,0,0,0,3,0,0,0,0,1,0,10,0,6,0,0,4,0,19,1,1,0,0,0,0,-3,0,0,0,0,0,0,-3,0,-7,0,0,-7,0,-13,0,0,N
