project,cls_boot,ck_oo_numberOfPrivateMethods,LDHH_lcom,LDHH_fanIn,numberOfNonTrivialBugsFoundUntil:,WCHU_numberOfPublicAttributes,WCHU_numberOfAttributes,CvsWEntropy,LDHH_numberOfPublicMethods,WCHU_fanIn,LDHH_numberOfPrivateAttributes,CvsEntropy,LDHH_numberOfPublicAttributes,WCHU_numberOfPrivateMethods,WCHU_numberOfMethods,ck_oo_numberOfPublicAttributes,ck_oo_noc,numberOfCriticalBugsFoundUntil:,ck_oo_wmc,LDHH_numberOfPrivateMethods,WCHU_numberOfPrivateAttributes,CvsLogEntropy,WCHU_noc,LDHH_numberOfAttributesInherited,WCHU_wmc,ck_oo_fanOut,ck_oo_numberOfLinesOfCode,ck_oo_numberOfAttributesInherited,ck_oo_numberOfMethods,ck_oo_dit,ck_oo_fanIn,LDHH_noc,WCHU_dit,ck_oo_lcom,WCHU_numberOfAttributesInherited,ck_oo_rfc,LDHH_wmc,LDHH_numberOfAttributes,LDHH_numberOfLinesOfCode,WCHU_fanOut,WCHU_lcom,ck_oo_cbo,WCHU_rfc,ck_oo_numberOfAttributes,numberOfHighPriorityBugsFoundUntil:,ck_oo_numberOfPrivateAttributes,numberOfMajorBugsFoundUntil:,WCHU_numberOfPublicMethods,LDHH_dit,WCHU_cbo,CvsLinEntropy,WCHU_numberOfMethodsInherited,numberOfBugsFoundUntil:,LDHH_fanOut,LDHH_numberOfMethodsInherited,LDHH_rfc,ck_oo_numberOfMethodsInherited,ck_oo_numberOfPublicMethods,LDHH_cbo,WCHU_numberOfLinesOfCode,CvsExpEntropy,LDHH_numberOfMethods
EQ,RandomForestClassifier(random_state=0)0,8.881784197001253e-18,1.7763568394002505e-17,1.3322676295501878e-17,8.881784197001253e-18,8.881784197001253e-18,8.881784197001253e-18,0.0,1.3322676295501878e-17,1.7763568394002505e-17,4.440892098500626e-18,1.578282828287314e-06,8.881784197001253e-18,0.0,8.881784197001253e-18,2.6645352591003756e-17,2.2204460492503132e-17,1.3322676295501878e-17,8.881784197001253e-18,8.881784197001253e-18,4.440892098500626e-18,1.7763568394002505e-17,3.552713678800501e-17,3.9968028886505634e-17,2.6645352591003756e-17,0.0,8.881784197001253e-18,8.881784197001253e-18,2.2204460492503132e-17,4.440892098500626e-18,1.7763568394002505e-17,0.0,2.2204460492503132e-17,0.0,4.440892098500626e-18,8.881784197001253e-18,4.440892098500626e-18,4.440892098500626e-18,1.7763568394002505e-17,1.3322676295501878e-17,8.881784197001253e-18,8.881784197001253e-18,1.3322676295501878e-17,8.881784197001253e-18,8.881784197001253e-18,1.7763568394002505e-17,4.440892098500626e-18,1.7763568394002505e-17,4.440892098500626e-18,0.0,1.3322676295501878e-17,1.3322676295501878e-17,1.7763568394002505e-17,0.0,0.0,1.3322676295501878e-17,8.881784197001253e-18,8.881784197001253e-18,0.0,4.440892098500626e-18,7.891414141480979e-07,8.881784197001253e-18
EQ,RandomForestClassifier(random_state=0)1,0.0,0.0,4.440892098500626e-18,4.440892098500626e-18,0.0,4.440892098500626e-18,1.7763568394002505e-17,0.0,0.0,8.881784197001253e-18,2.2204460492503132e-17,2.2204460492503132e-17,0.0,4.440892098500626e-18,0.0,8.881784197001253e-18,1.7763568394002505e-17,4.440892098500626e-18,8.881784197001253e-18,4.440892098500626e-18,8.354218880635145e-07,4.440892098500626e-18,0.0,1.3322676295501878e-17,4.440892098500626e-18,1.3322676295501878e-17,1.3322676295501878e-17,8.881784197001253e-18,0.0,1.3322676295501878e-17,4.440892098500626e-18,0.0,0.0,1.7763568394002505e-17,8.881784197001253e-18,0.0,0.0,8.881784197001253e-18,0.0,0.0,0.0,8.881784197001253e-18,9.189640768583195e-06,0.0,0.0,4.440892098500626e-18,8.881784197001253e-18,4.440892098500626e-18,1.3322676295501878e-17,8.881784197001253e-18,4.440892098500626e-18,8.881784197001253e-18,0.0,4.440892098500626e-18,8.881784197001253e-18,4.440892098500626e-18,1.3322676295501878e-17,0.0,1.3322676295501878e-17,1.3322676295501878e-17,4.440892098500626e-18
EQ,RandomForestClassifier(random_state=0)2,4.440892098500626e-18,0.0,8.881784197001253e-18,4.440892098500626e-18,0.0,8.881784197001253e-18,3.1641814658200928e-06,4.440892098500626e-18,0.0,8.881784197001253e-18,0.0,-4.440892098500626e-18,0.0,4.440892098500626e-18,0.0,1.3322676295501878e-17,4.440892098500626e-18,1.3322676295501878e-17,0.0,0.0,0.0,0.0,4.440892098500626e-18,4.440892098500626e-18,8.881784197001253e-18,8.881784197001253e-18,4.440892098500626e-18,4.440892098500626e-18,4.440892098500626e-18,0.0,0.0,0.0,4.440892098500626e-18,0.0,8.881784197001253e-18,0.0,1.3322676295501878e-17,0.0,4.440892098500626e-18,0.0,1.3322676295501878e-17,8.881784197001253e-18,4.440892098500626e-18,1.3322676295501878e-17,1.3322676295501878e-17,0.0,8.881784197001253e-18,8.881784197001253e-18,0.0,0.0,0.0,1.3322676295501878e-17,8.881784197001253e-18,4.440892098500626e-18,8.881784197001253e-18,4.746272198716817e-06,8.881784197001253e-18,4.440892098500626e-18,0.0,3.16418146580677e-06,4.440892098500626e-18
EQ,RandomForestClassifier(random_state=0)3,0.0,1.7763568394002505e-17,8.881784197001253e-18,4.440892098500626e-18,0.0,0.0,4.440892098500626e-18,1.3322676295501878e-17,4.440892098500626e-18,8.881784197001253e-18,8.881784197001253e-18,8.881784197001253e-18,1.7763568394002505e-17,0.0,4.440892098500626e-18,4.440892098500626e-18,1.3322676295501878e-17,8.881784197001253e-18,4.440892098500626e-18,0.0,1.7763568394002505e-17,4.440892098500626e-18,4.440892098500626e-18,4.440892098500626e-18,1.7763568394002505e-17,1.3322676295501878e-17,1.3322676295501878e-17,1.3322676295501878e-17,4.440892098500626e-18,4.440892098500626e-18,4.440892098500626e-18,4.440892098500626e-18,4.440892098500626e-18,4.440892098500626e-18,4.440892098500626e-18,4.440892098500626e-18,8.881784197001253e-18,2.2204460492503132e-17,4.440892098500626e-18,4.440892098500626e-18,1.7763568394002505e-17,4.440892098500626e-18,3.1887755102033567e-06,0.0,8.881784197001253e-18,1.3322676295501878e-17,0.0,4.440892098500626e-18,8.881784197001253e-18,4.440892098500626e-18,4.440892098500626e-18,8.881784197001253e-18,0.0,0.0,8.881784197001253e-18,0.0,0.0,1.3322676295501878e-17,8.881784197001253e-18,0.0,0.0
EQ,RandomForestClassifier(random_state=0)4,1.3322676295501878e-17,4.440892098500626e-18,0.0,8.881784197001253e-18,8.881784197001253e-18,1.3322676295501878e-17,4.440892098500626e-18,8.881784197001253e-18,0.0,0.0,8.881784197001253e-18,4.440892098500626e-18,4.440892098500626e-18,4.440892098500626e-18,1.3322676295501878e-17,1.3322676295501878e-17,0.0,1.3322676295501878e-17,4.440892098500626e-18,0.0,1.3322676295501878e-17,0.0,0.0,4.440892098500626e-18,0.0,8.881784197001253e-18,0.0,4.440892098500626e-18,4.440892098500626e-18,4.440892098500626e-18,8.881784197001253e-18,4.440892098500626e-18,1.7763568394002505e-17,0.0,4.440892098500626e-18,8.881784197001253e-18,4.440892098500626e-18,1.3322676295501878e-17,8.881784197001253e-18,4.440892098500626e-18,4.440892098500626e-18,8.881784197001253e-18,8.881784197001253e-18,4.440892098500626e-18,4.440892098500626e-18,8.881784197001253e-18,4.440892098500626e-18,2.2204460492503132e-17,8.881784197001253e-18,4.440892098500626e-18,2.2204460492503132e-17,1.3322676295501878e-17,0.0,8.881784197001253e-18,1.3322676295501878e-17,0.0,4.440892098500626e-18,4.440892098500626e-18,1.7763568394002505e-17,8.881784197001253e-18,4.440892098500626e-18
EQ,RandomForestClassifier(random_state=0)5,1.3322676295501878e-17,1.3322676295501878e-17,1.3322676295501878e-17,1.3322676295501878e-17,1.3322676295501878e-17,0.0,1.7763568394002505e-17,0.0,4.440892098500626e-18,4.440892098500626e-18,1.7763568394002505e-17,4.440892098500626e-18,4.440892098500626e-18,0.0,4.440892098500626e-18,4.440892098500626e-18,1.3322676295501878e-17,1.3322676295501878e-17,4.440892098500626e-18,1.7763568394002505e-17,4.440892098500626e-18,0.0,0.0,4.440892098500626e-18,2.2204460492503132e-17,2.356637863312194e-06,4.440892098500626e-18,1.7763568394002505e-17,8.881784197001253e-18,1.3322676295501878e-17,0.0,0.0,4.440892098500626e-18,4.440892098500626e-18,0.0,0.0,8.881784197001253e-18,4.440892098500626e-18,8.881784197001253e-18,8.881784197001253e-18,8.881784197001253e-18,0.0,2.6645352591003756e-17,0.0,4.440892098500626e-18,0.0,-4.440892098500626e-18,0.0,8.881784197001253e-18,8.881784197001253e-18,8.881784197001253e-18,1.3322676295501878e-17,8.881784197001253e-18,4.440892098500626e-18,4.440892098500626e-18,8.881784197001253e-18,8.881784197001253e-18,0.0,1.3322676295501878e-17,4.440892098500626e-18,8.881784197001253e-18
EQ,RandomForestClassifier(random_state=0)6,8.881784197001253e-18,0.0,8.881784197001253e-18,4.440892098500626e-18,0.0,1.7763568394002505e-17,1.3322676295501878e-17,0.0,4.440892098500626e-18,0.0,1.3322676295501878e-17,0.0,4.440892098500626e-18,4.440892098500626e-18,0.0,4.440892098500626e-18,1.3322676295501878e-17,0.0,0.0,0.0,8.881784197001253e-18,1.3322676295501878e-17,4.440892098500626e-18,8.881784197001253e-18,4.440892098500626e-18,8.881784197001253e-18,4.440892098500626e-18,4.440892098500626e-18,4.440892098500626e-18,4.440892098500626e-18,0.0,0.0,4.440892098500626e-18,4.440892098500626e-18,4.440892098500626e-18,0.0,4.440892098500626e-18,4.440892098500626e-18,4.440892098500626e-18,0.0,4.440892098500626e-18,4.440892098500626e-18,1.7763568394002505e-17,0.0,8.881784197001253e-18,0.0,0.0,0.0,4.440892098500626e-18,0.0,8.881784197001253e-18,4.440892098500626e-18,8.881784197001253e-18,4.440892098500626e-18,4.440892098500626e-18,4.440892098500626e-18,8.881784197001253e-18,1.3322676295501878e-17,8.881784197001253e-18,1.3322676295501878e-17,4.440892098500626e-18
EQ,RandomForestClassifier(random_state=0)7,8.881784197001253e-18,1.7763568394002505e-17,8.881784197001253e-18,8.881784197001253e-18,8.881784197001253e-18,4.440892098500626e-18,8.881784197001253e-18,4.440892098500626e-18,8.881784197001253e-18,4.440892098500626e-18,8.881784197001253e-18,4.440892098500626e-18,1.7763568394002505e-17,8.881784197001253e-18,4.440892098500626e-18,4.440892098500626e-18,1.3322676295501878e-17,8.881784197001253e-18,1.3322676295501878e-17,8.881784197001253e-18,1.3322676295501878e-17,4.440892098500626e-18,4.440892098500626e-18,4.440892098500626e-18,8.881784197001253e-18,8.881784197001253e-18,2.6645352591003756e-17,4.440892098500626e-18,1.7763568394002505e-17,1.7763568394002505e-17,0.0,0.0,2.2204460492503132e-17,1.3322676295501878e-17,1.183712121212821e-05,1.3322676295501878e-17,4.440892098500626e-18,0.0,1.3322676295501878e-17,1.7763568394002505e-17,4.440892098500626e-18,8.881784197001253e-18,4.440892098500626e-18,0.0,1.3322676295501878e-17,8.881784197001253e-18,1.3322676295501878e-17,4.440892098500626e-18,1.7763568394002505e-17,1.7763568394002505e-17,8.881784197001253e-18,8.881784197001253e-18,4.440892098500626e-18,4.440892098500626e-18,8.881784197001253e-18,8.881784197001253e-18,4.440892098500626e-18,8.881784197001253e-18,0.0,1.3322676295501878e-17,2.6645352591003756e-17
EQ,RandomForestClassifier(random_state=0)8,0.0,4.440892098500626e-18,0.0,4.440892098500626e-18,1.7763568394002505e-17,0.0,8.881784197001253e-18,4.440892098500626e-18,0.0,0.0,0.0,8.881784197001253e-18,0.0,0.0,0.0,0.0,2.2204460492503132e-17,8.881784197001253e-18,0.0,0.0,2.6645352591003756e-17,4.440892098500626e-18,4.440892098500626e-18,4.440892098500626e-18,4.440892098500626e-18,4.440892098500626e-18,4.440892098500626e-18,4.440892098500626e-18,0.0,0.0,0.0,0.0,8.881784197001253e-18,0.0,1.3322676295501878e-17,0.0,4.440892098500626e-18,4.440892098500626e-18,4.440892098500626e-18,4.440892098500626e-18,0.0,0.0,1.5583606046698506e-06,0.0,0.0,4.440892098500626e-18,4.440892098500626e-18,0.0,0.0,8.881784197001253e-18,4.440892098500626e-18,0.0,1.3322676295501878e-17,8.881784197001253e-18,1.7763568394002505e-17,0.0,0.0,8.881784197001253e-18,8.881784197001253e-18,1.7763568394002505e-17,4.440892098500626e-18
EQ,RandomForestClassifier(random_state=0)9,2.220446049250313e-16,2.2648549702353194e-16,2.3092638912203257e-16,2.3092638912203257e-16,2.220446049250313e-16,2.353672812205332e-16,2.3980817331903383e-16,2.3092638912203257e-16,2.220446049250313e-16,2.353672812205332e-16,7.705644386835076e-07,2.3980817331903383e-16,2.2648549702353194e-16,2.3092638912203257e-16,2.220446049250313e-16,2.220446049250313e-16,1.4210854715202004e-16,2.3092638912203257e-16,2.220446049250313e-16,2.3980817331903383e-16,2.2648549702353194e-16,2.2648549702353194e-16,2.220446049250313e-16,2.3092638912203257e-16,2.2648549702353194e-16,2.3092638912203257e-16,2.220446049250313e-16,2.220446049250313e-16,2.353672812205332e-16,2.3092638912203257e-16,2.220446049250313e-16,2.2648549702353194e-16,2.2648549702353194e-16,2.3092638912203257e-16,7.705644384725651e-06,2.2648549702353194e-16,2.2648549702353194e-16,2.220446049250313e-16,2.2648549702353194e-16,2.220446049250313e-16,2.2648549702353194e-16,2.3092638912203257e-16,2.220446049250313e-16,0.0,2.220446049250313e-16,2.220446049250313e-16,2.353672812205332e-16,2.2648549702353194e-16,2.220446049250313e-16,2.3092638912203257e-16,2.3092638912203257e-16,2.3092638912203257e-16,2.220446049250313e-16,2.3092638912203257e-16,2.220446049250313e-16,1.541128877127207e-06,2.353672812205332e-16,2.2648549702353194e-16,2.3980817331903383e-16,7.705644386746258e-07,2.2648549702353194e-16
