ck_oo_numberOfPrivateMethods,LDHH_lcom,LDHH_fanIn,numberOfNonTrivialBugsFoundUntil:,WCHU_numberOfPublicAttributes,WCHU_numberOfAttributes,CvsWEntropy,LDHH_numberOfPublicMethods,WCHU_fanIn,LDHH_numberOfPrivateAttributes,CvsEntropy,LDHH_numberOfPublicAttributes,WCHU_numberOfPrivateMethods,WCHU_numberOfMethods,ck_oo_numberOfPublicAttributes,ck_oo_noc,numberOfCriticalBugsFoundUntil:,ck_oo_wmc,LDHH_numberOfPrivateMethods,WCHU_numberOfPrivateAttributes,CvsLogEntropy,WCHU_noc,LDHH_numberOfAttributesInherited,WCHU_wmc,ck_oo_fanOut,ck_oo_numberOfLinesOfCode,ck_oo_numberOfAttributesInherited,ck_oo_numberOfMethods,ck_oo_dit,ck_oo_fanIn,LDHH_noc,WCHU_dit,ck_oo_lcom,WCHU_numberOfAttributesInherited,ck_oo_rfc,LDHH_wmc,LDHH_numberOfAttributes,LDHH_numberOfLinesOfCode,WCHU_fanOut,WCHU_lcom,ck_oo_cbo,WCHU_rfc,ck_oo_numberOfAttributes,numberOfHighPriorityBugsFoundUntil:,ck_oo_numberOfPrivateAttributes,numberOfMajorBugsFoundUntil:,WCHU_numberOfPublicMethods,LDHH_dit,WCHU_cbo,CvsLinEntropy,WCHU_numberOfMethodsInherited,numberOfBugsFoundUntil:,LDHH_fanOut,LDHH_numberOfMethodsInherited,LDHH_rfc,ck_oo_numberOfMethodsInherited,ck_oo_numberOfPublicMethods,LDHH_cbo,WCHU_numberOfLinesOfCode,CvsExpEntropy,LDHH_numberOfMethods,bug
0.0,0.006384,0.002177,5.0,0.0,2.04,0.108434,0.000613,2.02,0.001361,8.71607,0.0,3.03,5.12,0.0,0.0,0.0,6.0,0.001985,2.04,0.212541,0.0,0.007031,6.31,1.0,19.0,1.0,6.0,2.0,4.0,0.0,1.01,15.0,2.03,11.0,0.007168,0.001266,0.007523,2.06,6.11,5.0,5.4,1.0,0.0,1.0,0.0,1.02,0.000559,1.04,0.015601,3.07,5.0,0.001891,0.005193,0.006443,16.0,2.0,0.001476,7.83,0.016825,0.006971,0
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,9.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,9.0,2.0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,1.0,0.0,0.0,0.002299,0.0,0.0,0.0,1.28035,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0569,0.0,0.0,0.0,3.0,48.0,0.0,6.0,1.0,1.0,0.0,0.0,15.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,5.0,0.0,2.0,0.0,0.0,0.0,0.0,0.013509,1.01,1.0,0.0,0.001486,0.0,10.0,5.0,0.0,0.0,0.054769,0.0,1
1.0,0.007705,0.007987,2.0,0.0,0.0,0.070988,0.006293,1.01,0.0,7.71238,0.0,0.0,2.02,1.0,0.0,0.0,29.0,0.0,0.0,0.212488,0.0,0.0,1.04,4.0,121.0,0.0,7.0,1.0,3.0,0.0,0.0,21.0,0.0,71.0,0.000767,0.0,0.001489,1.01,2.11,7.0,3.28,1.0,0.0,0.0,0.0,2.02,0.0,2.02,0.02402,4.04,2.0,0.00107,0.007592,0.00942,12.0,5.0,0.009149,2.19,0.057892,0.008456,0
5.0,0.001228,0.0,13.0,0.0,1.01,1.0227,0.001018,0.0,0.0,17.6953,0.0,0.0,2.02,2.0,0.0,1.0,40.0,0.0,0.0,0.532231,0.0,0.0,5.16,21.0,208.0,0.0,16.0,1.0,2.0,0.0,0.0,120.0,0.0,82.0,0.011147,0.00202,0.022106,3.05,2.29,21.0,6.14,16.0,0.0,0.0,1.0,2.02,0.0,3.05,0.073693,1.02,16.0,0.003749,0.001486,0.010727,15.0,8.0,0.003729,8.61,0.199519,0.00159,1
0.0,0.0,0.0,0.0,0.0,0.0,0.004036,0.0,0.0,0.0,1.27192,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.031256,0.0,0.0,0.0,3.0,11.0,0.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.002174,0.0,1.0,0.0,0.0,0.0,8.0,2.0,0.0,0.0,0.000405,0.0,0
0.0,0.0,0.0,1.0,0.0,0.0,0.033604,0.0,0.0,0.0,2.55158,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.062895,0.0,0.0,0.0,2.0,69.0,0.0,7.0,1.0,1.0,0.0,0.0,21.0,0.0,23.0,0.0,0.0,0.0,1.01,0.0,3.0,0.0,10.0,0.0,10.0,0.0,0.0,0.0,1.01,0.004457,1.01,1.0,0.000535,0.001486,0.0,12.0,7.0,0.000524,0.0,0.001264,0.0,0
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,0
1.0,0.00187,0.004611,29.0,0.0,1.01,0.588834,0.000876,3.03,0.0,25.1033,0.0,1.01,2.02,0.0,1.0,1.0,126.0,0.000791,0.0,0.683134,0.0,0.005538,12.46,22.0,456.0,16.0,21.0,2.0,10.0,0.0,0.0,210.0,4.05,174.0,0.011173,0.000759,0.022514,3.09,2.39,28.0,11.66,3.0,0.0,1.0,5.0,1.01,0.0,4.09,0.074612,8.18,29.0,0.004442,0.007122,0.009902,91.0,5.0,0.0066,18.67,0.119439,0.001733,1
0.0,0.0,0.005368,4.0,0.0,0.0,0.137283,0.0,4.04,0.0,5.08544,0.0,0.0,0.0,0.0,0.0,1.0,60.0,0.0,0.0,0.127419,0.0,0.0,1.03,18.0,252.0,1.0,33.0,1.0,19.0,0.0,0.0,528.0,0.0,114.0,0.000922,0.0,0.003153,4.04,0.0,34.0,2.02,14.0,0.0,14.0,2.0,0.0,0.0,5.05,0.009684,0.0,4.0,0.00927,0.0,0.003672,32.0,32.0,0.01225,2.09,0.006806,0.0,1
1.0,0.000157,0.0,3.0,1.01,0.0,0.141696,0.000219,0.0,0.000396,7.35911,0.000276,1.01,1.02,0.0,0.0,0.0,5.0,0.000591,1.01,0.171798,0.0,0.0,1.01,4.0,13.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,9.0,0.000516,0.0,0.000541,1.02,1.05,4.0,1.02,1.0,0.0,1.0,0.0,1.03,0.0,1.02,0.010303,2.04,3.0,0.000396,0.001702,0.000534,7.0,1.0,0.000446,1.05,0.00163,0.000322,1
1.0,0.0,0.008474,1.0,0.0,0.0,0.018422,0.0,2.02,0.0,1.5526,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.037473,0.0,0.0,0.0,4.0,25.0,0.0,4.0,1.0,4.0,0.0,0.0,6.0,0.0,10.0,0.0,0.0,0.0,1.01,0.0,8.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,3.03,0.002465,0.0,1.0,0.002039,0.0,0.0,7.0,3.0,0.00846,0.0,0.000316,0.0,0
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,0
10.0,0.004232,0.001784,11.0,0.0,0.0,0.661068,0.002743,2.03,0.0,19.4467,0.0,6.07,7.11,0.0,0.0,0.0,98.0,0.002962,0.0,0.507472,0.0,0.003134,14.08,13.0,248.0,3.0,19.0,1.0,4.0,0.0,0.0,171.0,2.03,171.0,0.017277,0.0,0.018578,6.14,8.44,16.0,14.78,1.0,0.0,1.0,0.0,5.06,0.0,7.14,0.048074,6.07,13.0,0.007979,0.004318,0.017204,15.0,9.0,0.009065,17.64,0.088626,0.004729,1
