ck_oo_numberOfPrivateMethods,LDHH_lcom,LDHH_fanIn,numberOfNonTrivialBugsFoundUntil:,WCHU_numberOfPublicAttributes,WCHU_numberOfAttributes,CvsWEntropy,LDHH_numberOfPublicMethods,WCHU_fanIn,LDHH_numberOfPrivateAttributes,CvsEntropy,LDHH_numberOfPublicAttributes,WCHU_numberOfPrivateMethods,WCHU_numberOfMethods,ck_oo_numberOfPublicAttributes,ck_oo_noc,numberOfCriticalBugsFoundUntil:,ck_oo_wmc,LDHH_numberOfPrivateMethods,WCHU_numberOfPrivateAttributes,CvsLogEntropy,WCHU_noc,LDHH_numberOfAttributesInherited,WCHU_wmc,ck_oo_fanOut,ck_oo_numberOfLinesOfCode,ck_oo_numberOfAttributesInherited,ck_oo_numberOfMethods,ck_oo_dit,ck_oo_fanIn,LDHH_noc,WCHU_dit,ck_oo_lcom,WCHU_numberOfAttributesInherited,ck_oo_rfc,LDHH_wmc,LDHH_numberOfAttributes,LDHH_numberOfLinesOfCode,WCHU_fanOut,WCHU_lcom,ck_oo_cbo,WCHU_rfc,ck_oo_numberOfAttributes,numberOfHighPriorityBugsFoundUntil:,ck_oo_numberOfPrivateAttributes,numberOfMajorBugsFoundUntil:,WCHU_numberOfPublicMethods,LDHH_dit,WCHU_cbo,CvsLinEntropy,WCHU_numberOfMethodsInherited,numberOfBugsFoundUntil:,LDHH_fanOut,LDHH_numberOfMethodsInherited,LDHH_rfc,ck_oo_numberOfMethodsInherited,ck_oo_numberOfPublicMethods,LDHH_cbo,WCHU_numberOfLinesOfCode,CvsExpEntropy,LDHH_numberOfMethods,bug
0.0,0.0,0.004544,1.0,0.0,0.0,0.001264,0.0,2.02,0.0,1.09884,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.029128,0.0,0.0,0.0,0.0,3.0,0.0,1.0,1.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.02,0.002528,5.07,1.0,0.0,0.038662,0.0,27.0,1.0,0.004486,0.0,0.001572,0.0,0
0.0,0.0,0.0,3.0,0.0,0.0,0.005626,0.0,0.0,0.0,3.93677,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.227022,0.0,0.0,0.0,4.0,39.0,0.0,5.0,3.0,0.0,0.0,0.0,10.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,4.0,1.01,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.061722,2.04,3.0,0.0,0.00831,0.002454,31.0,5.0,0.0,0.0,0.126922,0.0,0
7.0,0.0,0.001027,0.0,0.0,0.0,0.003912,0.0,1.01,0.0,1.64243,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,0.041874,0.0,0.0,0.0,4.0,135.0,0.0,12.0,3.0,2.0,0.0,0.0,66.0,0.0,51.0,0.0,0.0,0.0,1.01,0.0,6.0,0.0,11.0,0.0,11.0,0.0,0.0,0.0,2.02,0.003252,3.03,0.0,0.001313,0.010398,0.0,24.0,4.0,0.002244,0.0,0.001163,0.0,0
1.0,0.0,0.0,1.0,0.0,0.0,0.002823,0.0,0.0,0.0,2.36108,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.073295,0.0,0.0,0.0,5.0,57.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,25.0,0.0,0.0,0.002644,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009436,1.01,1.0,0.0,0.005149,0.0,9.0,1.0,0.0,1.02,0.021456,0.0,0
0.0,0.0,0.003788,3.0,0.0,0.0,0.04611,0.0,2.02,0.0,4.2341,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.170244,0.0,0.000847,1.02,2.0,32.0,1.0,2.0,3.0,10.0,0.0,0.0,1.0,1.18,8.0,0.001616,0.0,0.01896,1.02,0.0,12.0,1.11,2.0,0.0,2.0,0.0,0.0,0.0,3.04,0.038533,5.05,3.0,0.00273,0.024375,0.001985,16.0,2.0,0.006388,2.02,0.106043,0.0,0
0.0,0.0,0.0,1.0,0.0,0.0,0.000382,0.0,0.0,0.0,0.60098,0.0,1.01,0.0,4.0,0.0,0.0,15.0,0.002642,0.0,0.021936,0.0,0.0,0.0,3.0,71.0,0.0,4.0,1.0,1.0,0.0,0.0,6.0,0.0,47.0,0.0,0.0,0.0,1.01,0.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.01,0.003885,0.0,1.0,0.004292,0.0,0.0,9.0,0.0,0.004676,0.0,0.014134,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,30.0,1.0,5.0,2.0,1.0,0.0,0.0,10.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,1.0,0.0,0.0,0.025941,0.0,0.0,0.0,3.66829,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.206585,0.0,0.0,0.0,0.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.000525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.056403,7.14,1.0,0.0,0.041644,0.0,27.0,1.0,0.0,1.01,0.108521,0.0,0
1.0,0.00154,0.0,3.0,1.01,2.02,0.041505,0.001637,0.0,0.0,5.6765,0.00085,0.0,1.01,1.0,0.0,0.0,11.0,0.0,0.0,0.155688,0.0,0.0,1.01,7.0,40.0,2.0,7.0,2.0,1.0,0.0,0.0,21.0,0.0,31.0,0.001624,0.002289,0.004175,2.03,1.06,8.0,3.08,5.0,0.0,3.0,0.0,1.01,0.0,2.03,0.01487,2.03,3.0,0.002416,0.004949,0.00391,39.0,6.0,0.003421,3.07,0.014557,0.001773,0
2.0,0.002959,0.0,11.0,1.01,2.03,0.118996,0.003283,0.0,0.001713,5.94911,0.0,1.01,3.04,3.0,2.0,0.0,58.0,0.001585,1.01,0.194325,0.0,0.0,5.25,6.0,258.0,0.0,17.0,2.0,1.0,0.0,1.01,136.0,0.0,79.0,0.012595,0.002613,0.011969,0.0,3.58,6.0,5.4,10.0,0.0,4.0,0.0,2.03,0.002169,0.0,0.028154,2.02,11.0,0.0,0.007363,0.011791,15.0,14.0,0.0,6.05,0.079638,0.004653,0
