e_changed_log_length,e_changed_loc_,e_loc_,e_chang_count_,e_bug_count_,m_MinEssentialKnots,m_CountDeclInstanceVariablePublic,m_AvgLineCode,m_MaxCyclomatic,m_SumEssential,m_SumCyclomatic,m_AvgLine,m_CountLineBlank,m_AvgCyclomatic,m_CountDeclMethodDefault,m_AvgCyclomaticStrict,m_AvgCyclomaticModified,m_SumCyclomaticStrict,m_CountStmtDecl,m_AvgEssential,m_CountLineInactive,m_AvgLineBlank,m_AvgLineComment,m_CountLineCodeExe,m_CountLineComment,m_MaxCyclomaticStrict,m_CountLinePreprocessor,m_MaxEssentialKnots,m_CountLineCode,m_CountSemicolon,m_CountStmtExe,m_MaxCyclomaticModified,m_CountLineCodeDecl,m_CountDeclFunction,m_CountLine,m_CountDeclMethodFriend,m_Knots,m_CountDeclMethodConst,m_CountDeclInstanceVariablePrivate,m_CountDeclClass,m_CountStmt,m_SumCyclomaticModified,m_CountDeclInstanceVariableProtected,md_MaxCyclomatic,md_SumEssential,md_SumCyclomatic,md_CountLineBlank,md_AvgCyclomatic,md_AvgCyclomaticStrict,md_AvgCyclomaticModified,md_SumCyclomaticStrict,md_CountStmtDecl,md_CountLineCodeExe,md_CountLineComment,md_MaxCyclomaticStrict,md_CountLineCode,md_CountStmtExe,md_MaxCyclomaticModified,md_CountLineCodeDecl,md_CountDeclFunction,md_CountLine,md_CountDeclClass,md_CountStmt,md_SumCyclomaticModified,bug
55.0,21.0,121.0,3.0,3.0,-1.0,-1.0,0.0,4.0,2.0,5.0,0.0,20.0,2.0,0.0,2.0,2.0,5.0,11.0,0.0,-1.0,0.0,0.0,20.0,40.0,4.0,-1.0,-1.0,61.0,-1.0,11.0,4.0,36.0,2.0,121.0,-1.0,-1.0,-1.0,-1.0,1.0,22.0,5.0,-1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0
77.0,22.0,95.0,5.0,3.0,-1.0,-1.0,0.0,2.0,3.0,4.0,0.0,19.0,1.0,0.0,1.0,1.0,4.0,5.0,0.0,-1.0,0.0,0.0,19.0,32.0,2.0,-1.0,-1.0,44.0,-1.0,9.0,2.0,21.0,3.0,95.0,-1.0,-1.0,-1.0,-1.0,1.0,14.0,4.0,-1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,-3.0,0.0,0.0,-3.0,0.0,2.0,0.0,0.0,0.0,0
88.0,8.0,97.0,5.0,1.0,-1.0,-1.0,0.0,2.0,5.0,7.0,0.0,17.0,1.0,0.0,1.0,1.0,8.0,12.0,0.0,-1.0,0.0,0.0,13.0,35.0,3.0,-1.0,-1.0,45.0,-1.0,12.0,2.0,23.0,5.0,97.0,-1.0,-1.0,-1.0,-1.0,1.0,24.0,7.0,-1.0,-2.0,0.0,-2.0,0.0,0.0,-1.0,0.0,-2.0,0.0,-2.0,0.0,-2.0,-4.0,-2.0,-2.0,0.0,0.0,-4.0,0.0,-2.0,-2.0,0
156.0,2.0,102.0,5.0,1.0,-1.0,-1.0,0.0,6.0,5.0,7.0,0.0,10.0,3.0,0.0,3.0,3.0,7.0,16.0,0.0,-1.0,0.0,0.0,27.0,28.0,6.0,-1.0,-1.0,64.0,-1.0,25.0,6.0,29.0,2.0,102.0,-1.0,-1.0,-1.0,-1.0,1.0,41.0,7.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
48.0,10.0,167.0,6.0,5.0,-1.0,-1.0,0.0,4.0,16.0,19.0,0.0,36.0,1.0,0.0,1.0,1.0,19.0,25.0,0.0,-1.0,0.0,0.0,38.0,27.0,4.0,-1.0,-1.0,104.0,-1.0,36.0,4.0,46.0,16.0,167.0,-1.0,-1.0,-1.0,-1.0,2.0,61.0,19.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1
78.0,8.0,98.0,1.0,0.0,-1.0,-1.0,0.0,7.0,2.0,8.0,0.0,30.0,4.0,0.0,4.0,4.0,8.0,10.0,0.0,-1.0,0.0,0.0,18.0,15.0,7.0,-1.0,-1.0,53.0,-1.0,17.0,7.0,15.0,2.0,98.0,-1.0,-1.0,-1.0,-1.0,1.0,27.0,8.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
77.0,4.0,51.0,1.0,1.0,-1.0,-1.0,0.0,1.0,6.0,6.0,0.0,11.0,1.0,0.0,1.0,1.0,6.0,8.0,0.0,-1.0,0.0,0.0,6.0,15.0,1.0,-1.0,-1.0,25.0,-1.0,6.0,1.0,12.0,6.0,51.0,-1.0,-1.0,-1.0,-1.0,1.0,14.0,6.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,0
104.0,7.0,625.0,22.0,12.0,-1.0,-1.0,0.0,7.0,45.0,63.0,0.0,137.0,1.0,0.0,1.0,1.0,63.0,95.0,0.0,-1.0,0.0,0.0,158.0,108.0,7.0,-1.0,-1.0,380.0,-1.0,149.0,7.0,170.0,34.0,625.0,-1.0,-1.0,-1.0,-1.0,1.0,244.0,63.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1
77.0,6.0,324.0,13.0,2.0,-1.0,-1.0,0.0,1.0,3.0,3.0,0.0,64.0,1.0,0.0,1.0,1.0,3.0,8.0,0.0,-1.0,0.0,0.0,2.0,240.0,1.0,-1.0,-1.0,20.0,-1.0,2.0,1.0,14.0,3.0,324.0,-1.0,-1.0,-1.0,-1.0,1.0,10.0,3.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
48.0,2.0,166.0,4.0,1.0,-1.0,-1.0,0.0,3.0,6.0,7.0,0.0,21.0,1.0,0.0,1.0,1.0,7.0,22.0,0.0,-1.0,0.0,0.0,26.0,73.0,3.0,-1.0,-1.0,74.0,-1.0,25.0,3.0,40.0,4.0,166.0,-1.0,-1.0,-1.0,-1.0,1.0,47.0,7.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
