e_changed_log_length,e_changed_loc_,e_loc_,e_chang_count_,e_bug_count_,m_MaxCyclomatic,m_SumEssential,m_SumCyclomatic,m_CountLineBlank,m_AvgCyclomatic,m_AvgCyclomaticStrict,m_AvgCyclomaticModified,m_SumCyclomaticStrict,m_CountStmtDecl,m_CountLineCodeExe,m_CountLineComment,m_MaxCyclomaticStrict,m_CountLineCode,m_CountStmtExe,m_MaxCyclomaticModified,m_CountLineCodeDecl,m_CountDeclFunction,m_CountLine,m_CountDeclClass,m_CountStmt,m_SumCyclomaticModified,md_MaxCyclomatic,md_SumEssential,md_SumCyclomatic,md_CountLineBlank,md_AvgCyclomatic,md_AvgCyclomaticStrict,md_AvgCyclomaticModified,md_SumCyclomaticStrict,md_CountStmtDecl,md_CountLineCodeExe,md_CountLineComment,md_MaxCyclomaticStrict,md_CountLineCode,md_CountStmtExe,md_MaxCyclomaticModified,md_CountLineCodeDecl,md_CountDeclFunction,md_CountLine,md_CountDeclClass,md_CountStmt,md_SumCyclomaticModified,bug
26.0,13.0,588.0,11.0,1.0,10.0,133.0,177.0,35.0,4.0,4.0,4.0,188.0,146.0,319.0,56.0,16.0,509.0,328.0,10.0,121.0,39.0,588.0,1.0,474.0,177.0,0.0,4.0,4.0,3.0,0.0,0.0,0.0,4.0,3.0,6.0,0.0,0.0,10.0,6.0,0.0,3.0,1.0,13.0,0.0,9.0,4.0,0
26.0,54.0,337.0,16.0,1.0,10.0,35.0,51.0,8.0,1.0,1.0,1.0,51.0,63.0,119.0,86.0,10.0,246.0,68.0,10.0,75.0,35.0,337.0,2.0,131.0,51.0,0.0,14.0,14.0,0.0,0.0,0.0,0.0,14.0,14.0,28.0,8.0,0.0,42.0,11.0,0.0,0.0,14.0,50.0,1.0,25.0,14.0,0
45.0,3.0,244.0,12.0,1.0,7.0,16.0,35.0,13.0,2.0,2.0,2.0,39.0,55.0,63.0,59.0,8.0,177.0,61.0,7.0,77.0,16.0,244.0,2.0,116.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0
26.0,17.0,1019.0,35.0,3.0,34.0,107.0,204.0,76.0,8.0,7.0,7.0,165.0,144.0,454.0,197.0,38.0,765.0,355.0,30.0,169.0,23.0,1018.0,1.0,499.0,166.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,5.0,2.0,1.0,7.0,4.0,1.0,1.0,0.0,9.0,0.0,5.0,1.0,0
44.0,6.0,665.0,11.0,1.0,20.0,60.0,108.0,22.0,3.0,3.0,3.0,117.0,107.0,230.0,206.0,23.0,449.0,199.0,20.0,114.0,34.0,665.0,1.0,306.0,108.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
26.0,241.0,2047.0,27.0,2.0,19.0,195.0,305.0,255.0,3.0,3.0,3.0,316.0,305.0,690.0,497.0,20.0,1357.0,539.0,16.0,410.0,86.0,2046.0,1.0,844.0,292.0,0.0,9.0,16.0,25.0,0.0,0.0,0.0,17.0,8.0,50.0,17.0,2.0,81.0,35.0,1.0,23.0,2.0,119.0,0.0,43.0,13.0,0
44.0,3.0,2032.0,42.0,2.0,19.0,199.0,300.0,256.0,3.0,3.0,3.0,309.0,294.0,685.0,495.0,19.0,1348.0,531.0,15.0,410.0,87.0,2031.0,1.0,825.0,287.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0
26.0,6.0,164.0,13.0,1.0,6.0,25.0,27.0,18.0,2.0,1.0,1.0,25.0,19.0,54.0,42.0,6.0,106.0,39.0,4.0,32.0,13.0,164.0,1.0,58.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
26.0,4.0,479.0,12.0,6.0,58.0,85.0,113.0,53.0,5.0,2.0,2.0,54.0,27.0,234.0,90.0,14.0,347.0,152.0,13.0,63.0,20.0,478.0,1.0,179.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
26.0,11.0,449.0,22.0,1.0,13.0,48.0,86.0,34.0,4.0,4.0,4.0,84.0,66.0,196.0,92.0,16.0,342.0,161.0,13.0,86.0,18.0,450.0,1.0,227.0,79.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,0.0,0.0,5.0,2.0,0.0,1.0,0.0,5.0,0.0,3.0,1.0,0
45.0,4.0,512.0,13.0,2.0,10.0,49.0,76.0,21.0,2.0,3.0,2.0,85.0,84.0,181.0,155.0,10.0,344.0,157.0,10.0,93.0,28.0,512.0,1.0,241.0,75.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,4.0,0.0,2.0,1.0,0
26.0,32.0,413.0,20.0,1.0,13.0,42.0,77.0,31.0,4.0,4.0,4.0,72.0,63.0,179.0,83.0,16.0,318.0,144.0,13.0,83.0,17.0,414.0,1.0,207.0,70.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,7.0,-1.0,0.0,8.0,2.0,0.0,0.0,0.0,8.0,0.0,3.0,1.0,0
26.0,9.0,73.0,2.0,0.0,2.0,6.0,9.0,18.0,1.0,1.0,1.0,10.0,14.0,21.0,11.0,3.0,47.0,18.0,2.0,19.0,6.0,74.0,1.0,32.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,-1.0,0.0,1.0,0.0,1.0,0.0,0
26.0,17.0,77.0,3.0,1.0,11.0,10.0,14.0,11.0,3.0,3.0,3.0,14.0,14.0,23.0,18.0,11.0,51.0,21.0,11.0,20.0,4.0,76.0,1.0,35.0,14.0,3.0,2.0,4.0,1.0,0.0,0.0,0.0,4.0,3.0,8.0,1.0,3.0,14.0,7.0,3.0,4.0,1.0,15.0,0.0,10.0,4.0,0
26.0,16.0,193.0,6.0,0.0,4.0,26.0,41.0,33.0,2.0,2.0,2.0,41.0,53.0,72.0,19.0,4.0,150.0,70.0,4.0,47.0,18.0,192.0,2.0,123.0,41.0,-2.0,0.0,-3.0,-1.0,0.0,0.0,0.0,-4.0,-1.0,-5.0,-2.0,-3.0,-9.0,-5.0,-2.0,-1.0,0.0,-12.0,0.0,-6.0,-3.0,0
26.0,3.0,27.0,1.0,0.0,2.0,2.0,3.0,7.0,1.0,1.0,1.0,3.0,4.0,4.0,4.0,2.0,16.0,4.0,2.0,9.0,2.0,27.0,1.0,8.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0
20.0,4.0,389.0,18.0,2.0,8.0,33.0,71.0,27.0,3.0,3.0,3.0,78.0,71.0,127.0,112.0,10.0,267.0,132.0,8.0,83.0,21.0,389.0,1.0,203.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
26.0,2.0,211.0,10.0,4.0,33.0,41.0,43.0,11.0,6.0,6.0,6.0,47.0,19.0,87.0,60.0,36.0,154.0,83.0,33.0,26.0,7.0,211.0,1.0,102.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
26.0,14.0,316.0,10.0,1.0,9.0,29.0,52.0,6.0,2.0,2.0,2.0,56.0,63.0,90.0,110.0,10.0,209.0,83.0,9.0,67.0,23.0,316.0,1.0,146.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
44.0,8.0,87.0,2.0,0.0,3.0,3.0,5.0,11.0,1.0,1.0,1.0,5.0,10.0,8.0,38.0,3.0,38.0,8.0,3.0,24.0,3.0,87.0,1.0,18.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0
26.0,2.0,229.0,16.0,1.0,17.0,32.0,37.0,25.0,3.0,3.0,3.0,39.0,32.0,87.0,38.0,15.0,171.0,69.0,15.0,56.0,11.0,229.0,1.0,101.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
26.0,1.0,638.0,17.0,4.0,8.0,21.0,37.0,23.0,2.0,2.0,2.0,37.0,47.0,82.0,386.0,10.0,235.0,60.0,8.0,119.0,17.0,638.0,2.0,107.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0
29.0,8.0,355.0,10.0,0.0,24.0,22.0,65.0,35.0,4.0,3.0,3.0,55.0,73.0,149.0,59.0,11.0,269.0,114.0,10.0,83.0,15.0,354.0,1.0,187.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
45.0,4.0,76.0,11.0,1.0,4.0,3.0,6.0,11.0,2.0,2.0,2.0,7.0,11.0,11.0,29.0,5.0,39.0,10.0,4.0,23.0,3.0,76.0,1.0,21.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0
44.0,2.0,448.0,14.0,3.0,10.0,47.0,68.0,10.0,2.0,2.0,2.0,71.0,75.0,136.0,164.0,10.0,284.0,120.0,10.0,84.0,26.0,448.0,1.0,195.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
26.0,2.0,376.0,10.0,1.0,13.0,32.0,67.0,23.0,3.0,4.0,3.0,85.0,39.0,172.0,78.0,16.0,288.0,144.0,13.0,55.0,20.0,376.0,1.0,183.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
26.0,2.0,873.0,25.0,7.0,91.0,110.0,175.0,41.0,7.0,8.0,7.0,188.0,124.0,491.0,183.0,96.0,759.0,454.0,91.0,135.0,23.0,874.0,3.0,578.0,175.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
44.0,120.0,945.0,36.0,6.0,15.0,93.0,135.0,81.0,3.0,3.0,3.0,147.0,161.0,322.0,158.0,16.0,715.0,259.0,15.0,273.0,37.0,944.0,2.0,420.0,135.0,0.0,-3.0,-4.0,6.0,0.0,0.0,0.0,-4.0,-2.0,-12.0,2.0,0.0,-20.0,-4.0,0.0,-4.0,-2.0,-12.0,0.0,-6.0,-4.0,0
26.0,15.0,484.0,18.0,2.0,12.0,31.0,68.0,57.0,4.0,5.0,4.0,74.0,106.0,174.0,86.0,14.0,356.0,144.0,12.0,118.0,14.0,483.0,1.0,250.0,68.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0,-1.0,0.0,0.0,-3.0,0.0,0.0,-2.0,0.0,-3.0,0.0,0.0,-1.0,0
26.0,2.0,17.0,1.0,0.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,2.0,2.0,5.0,1.0,8.0,2.0,1.0,4.0,1.0,17.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
24.0,50.0,584.0,19.0,5.0,26.0,92.0,146.0,52.0,6.0,7.0,6.0,162.0,120.0,292.0,91.0,29.0,462.0,288.0,26.0,95.0,22.0,583.0,1.0,408.0,146.0,4.0,0.0,2.0,1.0,0.0,0.0,0.0,4.0,3.0,2.0,6.0,6.0,4.0,2.0,4.0,2.0,0.0,8.0,0.0,5.0,2.0,0
26.0,28.0,337.0,11.0,1.0,9.0,34.0,54.0,23.0,3.0,4.0,3.0,65.0,39.0,144.0,90.0,12.0,239.0,112.0,9.0,43.0,16.0,337.0,1.0,151.0,53.0,0.0,1.0,1.0,5.0,0.0,1.0,0.0,1.0,0.0,5.0,2.0,0.0,5.0,3.0,0.0,-1.0,-1.0,10.0,0.0,3.0,1.0,0
26.0,2.0,245.0,11.0,1.0,13.0,40.0,55.0,27.0,6.0,5.0,5.0,50.0,40.0,103.0,46.0,10.0,184.0,98.0,11.0,49.0,9.0,245.0,1.0,138.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
26.0,4.0,300.0,4.0,0.0,10.0,27.0,49.0,34.0,3.0,3.0,3.0,50.0,54.0,126.0,68.0,13.0,216.0,111.0,10.0,62.0,15.0,299.0,1.0,165.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
26.0,14.0,361.0,13.0,0.0,24.0,22.0,66.0,36.0,4.0,3.0,3.0,57.0,74.0,151.0,62.0,11.0,271.0,116.0,10.0,83.0,15.0,360.0,1.0,190.0,52.0,0.0,-2.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,0.0,-4.0,-2.0,0.0,0.0,0.0,-4.0,0.0,-2.0,-1.0,0
45.0,6.0,184.0,18.0,3.0,22.0,19.0,29.0,15.0,5.0,6.0,5.0,31.0,29.0,70.0,39.0,24.0,140.0,62.0,22.0,48.0,5.0,183.0,1.0,91.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
26.0,8.0,677.0,17.0,3.0,17.0,46.0,89.0,46.0,2.0,2.0,2.0,105.0,93.0,323.0,139.0,19.0,513.0,261.0,17.0,103.0,38.0,679.0,1.0,354.0,89.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
45.0,8.0,86.0,12.0,1.0,9.0,10.0,14.0,10.0,3.0,3.0,3.0,15.0,9.0,33.0,17.0,10.0,67.0,32.0,9.0,23.0,4.0,86.0,1.0,41.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
57.0,35.0,475.0,5.0,0.0,37.0,65.0,110.0,43.0,7.0,6.0,6.0,101.0,84.0,239.0,102.0,29.0,369.0,226.0,31.0,84.0,15.0,474.0,1.0,310.0,100.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,4.0,2.0,6.0,-1.0,0.0,7.0,6.0,0.0,0.0,0.0,5.0,0.0,8.0,2.0,0
26.0,7.0,2247.0,37.0,5.0,34.0,213.0,338.0,379.0,8.0,9.0,8.0,367.0,281.0,1112.0,213.0,39.0,1696.0,636.0,34.0,381.0,38.0,2248.0,2.0,917.0,330.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0
45.0,1.0,353.0,5.0,1.0,1.0,22.0,22.0,27.0,1.0,1.0,1.0,22.0,23.0,0.0,287.0,1.0,38.0,0.0,1.0,38.0,22.0,352.0,1.0,23.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0
