wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max_cc,avg_cc,bug
5.0,1.0,1.0,14.0,12.0,6.0,13.0,1.0,4.0,1.166667,169.0,0.0,2.0,0.0,0.35,0.0,0.0,27.4,2.0,0.8,0
7.0,4.0,0.0,3.0,64.0,5.0,1.0,2.0,5.0,0.794872,427.0,1.0,0.0,0.990798,0.464286,1.0,2.0,58.142857,3.0,1.2857,0
7.0,1.0,0.0,8.0,29.0,0.0,2.0,6.0,0.0,0.0,248.0,1.0,0.0,0.0,0.404762,0.0,0.0,34.285714,3.0,2.2857,0
7.0,1.0,2.0,19.0,8.0,0.0,19.0,0.0,5.0,0.583333,41.0,1.0,0.0,0.0,0.5,0.0,0.0,4.571429,1.0,0.7143,0
4.0,1.0,0.0,1.0,4.0,6.0,1.0,1.0,4.0,2.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0
10.0,5.0,0.0,8.0,44.0,43.0,4.0,5.0,9.0,0.666667,218.0,1.0,0.0,0.990654,0.375,1.0,1.0,20.7,4.0,1.6,0
10.0,1.0,0.0,10.0,44.0,23.0,7.0,3.0,10.0,0.805556,421.0,1.0,1.0,0.0,0.257143,0.0,0.0,40.7,13.0,2.9,0
2.0,2.0,0.0,11.0,11.0,1.0,5.0,6.0,1.0,2.0,53.0,0.0,0.0,0.944444,0.625,0.0,0.0,25.5,1.0,0.5,0
2.0,1.0,2.0,8.0,4.0,1.0,7.0,1.0,2.0,1.0,11.0,1.0,1.0,0.0,0.666667,0.0,0.0,4.0,1.0,0.5,0
8.0,7.0,0.0,6.0,60.0,20.0,2.0,6.0,3.0,0.8,295.0,1.0,0.0,0.989442,0.375,2.0,5.0,35.25,5.0,1.375,0
9.0,2.0,0.0,16.0,23.0,16.0,7.0,9.0,8.0,0.805556,189.0,1.0,3.0,0.416667,0.270833,1.0,1.0,19.0,6.0,1.4444,0
8.0,6.0,0.0,15.0,52.0,10.0,9.0,7.0,5.0,0.868132,339.0,0.307692,1.0,0.991429,0.242857,2.0,3.0,39.75,9.0,2.625,0
4.0,1.0,0.0,21.0,5.0,0.0,21.0,0.0,4.0,0.666667,28.0,1.0,0.0,0.0,0.5,0.0,0.0,5.25,1.0,0.75,0
1.0,1.0,0.0,4.0,1.0,0.0,4.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0
7.0,5.0,0.0,16.0,56.0,7.0,6.0,11.0,2.0,0.625,610.0,1.0,1.0,0.991678,0.314286,0.0,0.0,85.571429,5.0,1.7143,0
51.0,4.0,0.0,22.0,125.0,1041.0,10.0,17.0,41.0,0.948333,1243.0,0.833333,6.0,0.928161,0.10049,3.0,20.0,22.666667,30.0,2.1569,0
2.0,1.0,0.0,4.0,4.0,1.0,0.0,4.0,2.0,2.0,12.0,0.0,0.0,0.0,0.75,0.0,0.0,5.0,1.0,0.5,1
9.0,2.0,0.0,20.0,27.0,18.0,10.0,10.0,7.0,0.8125,288.0,0.75,0.0,0.68,0.277778,0.0,0.0,30.555556,12.0,2.8889,0
11.0,6.0,0.0,11.0,70.0,47.0,3.0,10.0,8.0,0.911111,672.0,1.0,11.0,0.985272,0.272727,3.0,5.0,57.636364,3.0,1.3636,0
9.0,2.0,0.0,8.0,29.0,0.0,4.0,6.0,3.0,0.25,708.0,0.0,0.0,0.384615,0.416667,1.0,5.0,77.555556,9.0,5.4444,0
11.0,2.0,1.0,12.0,54.0,25.0,1.0,11.0,5.0,0.3,444.0,1.0,1.0,0.666667,0.227273,2.0,10.0,39.272727,23.0,5.1818,0
8.0,1.0,0.0,12.0,16.0,12.0,6.0,6.0,7.0,0.75,88.0,0.5,0.0,0.0,0.285714,0.0,0.0,9.5,2.0,1.125,0
5.0,2.0,0.0,4.0,25.0,2.0,1.0,3.0,4.0,0.416667,301.0,1.0,0.0,0.25,0.44,0.0,0.0,58.6,28.0,6.4,0
19.0,1.0,0.0,17.0,56.0,157.0,2.0,17.0,7.0,0.977778,401.0,1.0,2.0,0.0,0.342105,0.0,0.0,19.578947,12.0,2.8947,0
10.0,2.0,0.0,3.0,21.0,15.0,2.0,1.0,7.0,0.444444,148.0,0.0,0.0,0.666667,0.36,2.0,3.0,13.7,4.0,1.9,0
5.0,7.0,0.0,9.0,64.0,6.0,3.0,8.0,3.0,0.75,312.0,1.0,0.0,0.993939,0.3,2.0,5.0,61.0,1.0,0.8,0
22.0,1.0,2.0,21.0,52.0,201.0,15.0,6.0,19.0,0.947619,411.0,0.9,1.0,0.0,0.2,0.0,0.0,17.227273,6.0,1.9545,0
14.0,7.0,0.0,13.0,98.0,51.0,2.0,12.0,4.0,0.782051,799.0,1.0,0.0,0.980568,0.214286,0.0,0.0,55.214286,6.0,1.7857,0
3.0,1.0,0.0,4.0,4.0,3.0,4.0,0.0,3.0,1.4375,23.0,0.0,2.0,0.0,0.5,0.0,0.0,4.0,2.0,1.0,0
2.0,2.0,0.0,1.0,4.0,1.0,0.0,1.0,1.0,2.0,16.0,0.0,0.0,0.8,0.666667,1.0,1.0,7.0,1.0,0.5,0
