wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max_cc,avg_cc,bug
18.0,2.0,0.0,6.0,33.0,81.0,1.0,5.0,16.0,0.764706,308.0,0.8,0.0,0.423077,0.305556,1.0,6.0,15.833333,2.0,0.8889,0
13.0,2.0,0.0,5.0,23.0,66.0,2.0,3.0,11.0,0.805556,140.0,0.666667,0.0,0.52381,0.5,1.0,6.0,9.538462,2.0,0.8462,0
10.0,2.0,0.0,4.0,18.0,33.0,2.0,3.0,9.0,0.866667,89.0,0.6,0.0,0.5,0.283333,1.0,2.0,7.4,1.0,0.7,0
9.0,2.0,0.0,5.0,17.0,36.0,2.0,3.0,7.0,1.125,72.0,0.0,0.0,0.647059,0.555556,1.0,6.0,6.888889,2.0,0.7778,0
11.0,2.0,0.0,5.0,21.0,49.0,2.0,3.0,9.0,0.933333,107.0,0.333333,0.0,0.578947,0.522727,1.0,6.0,8.454545,2.0,0.8182,1
14.0,2.0,0.0,6.0,28.0,61.0,3.0,3.0,11.0,0.807692,245.0,0.5,0.0,0.5,0.5,1.0,5.0,16.357143,4.0,1.0714,0
30.0,1.0,0.0,3.0,53.0,331.0,3.0,0.0,24.0,0.873563,767.0,0.0,0.0,0.0,0.391667,0.0,0.0,24.366667,6.0,2.6333,0
11.0,2.0,0.0,5.0,21.0,49.0,2.0,3.0,9.0,0.85,106.0,0.5,0.0,0.578947,0.522727,1.0,6.0,8.454545,2.0,0.8182,0
9.0,2.0,0.0,4.0,13.0,36.0,2.0,2.0,9.0,1.125,62.0,0.0,0.0,0.3,0.333333,0.0,0.0,5.666667,1.0,0.7778,0
6.0,1.0,0.0,10.0,19.0,15.0,2.0,8.0,5.0,2.0,171.0,0.0,0.0,0.0,0.666667,0.0,0.0,27.5,1.0,0.8333,0
13.0,2.0,0.0,13.0,23.0,0.0,10.0,3.0,11.0,0.642857,271.0,1.0,1.0,0.45,0.25641,1.0,2.0,19.307692,2.0,0.9231,0
22.0,2.0,0.0,8.0,35.0,169.0,5.0,3.0,20.0,0.946779,316.0,0.352941,0.0,0.366667,0.443182,1.0,6.0,12.590909,2.0,0.9091,1
7.0,1.0,0.0,17.0,51.0,3.0,0.0,17.0,6.0,0.083333,282.0,1.0,1.0,0.0,0.303571,0.0,0.0,39.0,6.0,1.8571,0
5.0,1.0,0.0,2.0,6.0,0.0,1.0,1.0,5.0,0.583333,43.0,1.0,2.0,0.0,0.4,0.0,0.0,7.0,1.0,0.8,0
9.0,1.0,0.0,10.0,20.0,0.0,10.0,0.0,9.0,0.25,294.0,1.0,0.0,0.0,0.311111,1.0,1.0,31.444444,7.0,1.8889,1
3.0,1.0,0.0,7.0,10.0,0.0,5.0,2.0,3.0,0.25,78.0,1.0,0.0,0.0,0.666667,0.0,0.0,24.333333,1.0,0.6667,0
22.0,2.0,0.0,8.0,35.0,169.0,5.0,3.0,20.0,0.946779,316.0,0.352941,0.0,0.366667,0.443182,1.0,6.0,12.590909,2.0,0.9091,1
