@relation velocity-1.6-weka.filters.unsupervised.attribute.Standardize

@attribute wmc numeric
@attribute dit numeric
@attribute noc numeric
@attribute cbo numeric
@attribute rfc numeric
@attribute lcom numeric
@attribute ca numeric
@attribute ce numeric
@attribute npm numeric
@attribute lcom3 numeric
@attribute loc numeric
@attribute dam numeric
@attribute moa numeric
@attribute mfa numeric
@attribute cam numeric
@attribute ic numeric
@attribute cbm numeric
@attribute amc numeric
@attribute max_cc numeric
@attribute avg_cc numeric
@attribute bug {N,Y}

@data
0.352184,0.363598,-0.158514,0.015102,1.060389,-0.067296,-0.501534,0.653658,0.54342,-0.390338,0.210854,-0.573666,0.461354,0.272504,-0.845823,3.056026,2.411324,0.422961,0.549247,0.508344,Y
-0.426019,1.488788,-0.158514,-0.299297,-0.620342,-0.139386,-0.143742,-0.258277,-0.479401,1.079918,-0.225283,-0.933882,-0.411787,1.419991,0.306846,1.242995,0.490652,-0.543331,-0.204733,-0.50515,N
1.130386,-0.761591,-0.158514,-0.299297,2.010366,0.20484,-0.322638,-0.128001,1.111654,-0.497757,0.271777,0.637964,2.207635,-0.942482,-0.913335,-0.570036,-0.469684,0.005381,-0.067646,-0.124376,N
0.635166,1.488788,-0.158514,-0.063498,1.425765,0.12374,-0.501534,0.523381,-0.13846,-0.299607,0.162501,0.026689,0.461354,0.515502,-0.5702,1.242995,1.450988,0.073199,0.069442,-0.086067,N
0.493675,0.363598,-0.158514,-0.613696,0.037335,0.046244,-0.412086,-0.51883,0.429773,-1.265276,-0.094732,1.227405,0.461354,0.52829,0.157001,1.242995,5.292332,-0.404019,-0.136189,-0.112253,N
0.139947,0.363598,-0.158514,-0.299297,0.5854,-0.132177,-0.412086,0.002276,0.20248,-0.796236,-0.00383,-0.933882,0.461354,0.830742,-0.592237,-0.570036,-0.469684,0.049486,0.069442,0.343901,Y
-0.07229,0.363598,-0.158514,0.250902,0.73155,-0.130374,-0.143742,0.783934,0.088833,-0.849842,0.122853,1.227405,0.461354,1.082494,-0.896612,1.242995,1.450988,0.916482,0.069442,0.325527,N
-0.426019,0.363598,-0.158514,-0.456497,-0.620342,-0.139386,-0.143742,-0.388554,-0.479401,1.079918,-0.224316,-0.933882,-0.411787,1.409104,0.306846,-0.570036,-0.469684,-0.531475,-0.204733,-0.50515,N
-0.355273,-0.761591,-0.158514,-0.535097,-0.218428,-0.144792,-0.412086,-0.388554,-0.365754,-1.265276,-0.124711,0.687084,0.461354,-0.942482,0.531617,-0.570036,-0.469684,0.298469,0.000898,0.123475,N
-0.426019,0.363598,-0.158514,-0.692296,-0.620342,-0.139386,-0.501534,-0.51883,-0.706694,1.079918,-0.229151,-0.933882,-0.411787,0.793213,0.906238,1.242995,1.450988,-0.590757,-0.204733,-0.325512,N
-0.07229,0.363598,-0.158514,0.565301,0.658475,-0.144792,-0.054294,1.174764,0.088833,-0.829739,-0.02994,1.227405,0.461354,1.082494,-0.826371,1.242995,0.490652,0.218439,-0.204733,-0.28063,Y
0.210692,-0.761591,-0.158514,0.8011,0.439249,-0.025845,0.035154,1.174764,0.20248,1.079918,0.085138,-0.933882,-0.411787,-0.942482,-0.762514,-0.570036,-0.469684,0.265864,0.206529,0.392878,N
0.281438,0.363598,0.204483,-0.456497,-0.18189,-0.040263,-0.412086,-0.258277,0.657067,-0.796236,-0.14115,1.227405,0.461354,0.5965,-0.015902,-0.570036,-0.469684,-0.453953,0.000898,0.102731,N
-0.213782,1.488788,-0.158514,-0.692296,-0.145353,-0.117759,-0.322638,-0.779383,-0.365754,-0.158344,-0.06282,-0.933882,-0.411787,1.031871,0.157001,1.242995,0.490652,0.32811,0.686334,0.841866,N
-0.355273,0.363598,-0.158514,-0.535097,-0.18189,-0.144792,-0.412086,-0.388554,-0.593048,-0.952582,-0.128579,-0.213453,-0.411787,0.446075,-0.06777,-0.570036,-0.469684,0.271793,0.137985,0.392878,Y
1.979334,-0.761591,-0.158514,0.408101,2.521893,-0.144792,-0.23319,0.914211,3.043649,-1.030756,0.182809,1.227405,0.461354,-0.942482,-1.291521,1.242995,0.490652,-0.313895,0.549247,-0.073135,N
-0.001545,-0.761591,0.204483,0.093702,1.023851,-0.144792,-0.412086,0.653658,-0.13846,-0.729231,0.06483,0.30114,0.461354,-0.942482,-0.392438,-0.570036,-0.469684,0.488171,-0.067646,0.213294,Y
-0.56751,-0.761591,-0.158514,-0.299297,-0.80303,-0.144792,0.124602,-0.779383,-0.706694,1.079918,-0.239789,-0.933882,-0.411787,-0.942482,2.404708,-0.570036,-0.469684,-0.697464,-0.204733,-0.145928,N
-0.284527,0.363598,-0.158514,0.015102,-0.18189,-0.12677,-0.143742,0.393105,-0.252107,1.079918,-0.116007,-0.933882,-0.411787,1.266584,-0.292541,1.242995,0.490652,0.184649,-0.204733,-0.361451,Y
-0.213782,0.363598,-0.158514,0.015102,0.037335,-0.117759,-0.143742,0.393105,-0.252107,1.079918,-0.040578,-0.933882,-0.411787,1.201611,-0.592237,3.056026,1.450988,0.494099,-0.136189,-0.235747,N
10.185833,-0.761591,-0.158514,4.495292,8.294836,14.438855,3.881419,7.16748,4.861998,-0.688234,7.756699,0.811773,8.319621,-0.942482,-1.436359,-0.570036,-0.469684,1.183511,0.549247,0.730979,Y
0.210692,-0.761591,-0.158514,-0.613696,-0.145353,-0.069099,-0.412086,-0.51883,0.20248,-0.583037,-0.086996,0.146762,-0.411787,-0.942482,-0.467363,-0.570036,-0.469684,-0.273599,0.069442,0.213294,Y
-0.001545,2.613978,-0.158514,-0.456497,-0.145353,-0.130374,-0.412086,-0.258277,0.088833,-0.678977,0.013577,1.227405,-0.411787,0.879997,-0.592237,1.242995,1.450988,0.298469,0.41216,0.392878,N
-0.284527,0.363598,-0.158514,-0.142098,-0.547266,-0.12677,-0.501534,0.393105,-0.252107,1.079918,-0.219481,-0.933882,-0.411787,0.739807,-0.112724,-0.570036,-0.469684,-0.576529,-0.204733,-0.253689,Y
-0.355273,2.613978,2.019467,2.137298,-0.583804,-0.144792,2.808043,-0.649107,-0.365754,-0.796236,-0.206909,1.227405,-0.411787,1.31392,0.906238,-0.570036,-0.469684,-0.439588,-0.204733,-0.550033,N
-0.355273,0.363598,-0.158514,-0.299297,-0.474191,-0.133979,-0.143742,-0.128001,-0.365754,1.079918,-0.213679,-0.933882,-0.411787,1.335617,-0.324652,-0.570036,-0.469684,-0.484049,-0.204733,-0.415331,Y
5.65811,-0.761591,-0.158514,-0.456497,3.654559,0.741905,-0.412086,-0.258277,0.316127,-0.597146,12.50005,-0.107507,0.461354,-0.942482,-0.566694,-0.570036,-0.469684,4.518796,14.052337,6.580045,Y
-0.284527,-0.761591,-0.158514,-0.377897,-0.510729,-0.144792,-0.322638,-0.258277,-0.365754,-1.382535,-0.204975,1.227405,0.461354,-0.942482,-0.142695,-0.570036,-0.469684,-0.476936,-0.204733,-0.253689,Y
-0.426019,1.488788,-0.158514,-0.142098,-0.328041,-0.139386,-0.143742,0.002276,-0.479401,1.079918,-0.194338,-0.933882,-0.411787,1.419991,0.306846,3.056026,1.450988,-0.163928,-0.067646,-0.145928,N
-0.143036,0.363598,-0.158514,0.8011,0.768088,-0.144792,-0.054294,1.565593,-0.13846,-1.030756,0.172172,1.227405,0.461354,1.140352,-0.347587,1.242995,1.450988,1.416354,-0.136189,-0.222923,Y
-0.143036,0.363598,0.204483,-0.220697,-0.364578,-0.144792,-0.412086,0.132552,-0.024814,-1.499794,-0.172096,1.227405,0.461354,0.446075,0.049965,-0.570036,-0.469684,-0.377342,-0.204733,-0.222923,Y
0.705912,0.363598,-0.158514,-0.770896,0.220023,-0.034856,-0.412086,-0.779383,0.770714,-0.735435,0.089973,0.506977,-0.411787,0.18572,-0.717106,1.242995,1.450988,-0.109638,-0.136189,-0.231006,N
-0.496764,-0.761591,-0.158514,-0.377897,-0.364578,-0.14299,-0.412086,-0.128001,-0.593048,1.079918,-0.189503,-0.933882,-0.411787,-0.942482,0.157001,-0.570036,-0.469684,0.209547,-0.204733,-0.415331,Y
-0.426019,0.363598,-0.158514,-0.456497,-0.620342,-0.139386,-0.143742,-0.388554,-0.479401,1.079918,-0.224316,-0.933882,-0.411787,1.409104,0.306846,-0.570036,-0.469684,-0.531475,-0.204733,-0.50515,N
-0.001545,0.363598,-0.158514,-0.142098,1.170001,-0.141188,-0.501534,0.393105,-0.13846,-0.913497,0.219557,1.227405,-0.411787,0.515502,-0.392438,3.056026,1.450988,1.136318,0.343616,0.991546,Y
-0.284527,-0.761591,-0.158514,-0.535097,-0.656879,-0.12677,-0.322638,-0.51883,-0.252107,1.079918,-0.235921,-0.933882,-0.411787,-0.942482,0.157001,-0.570036,-0.469684,-0.697464,-0.204733,-0.145928,N
2.403808,0.363598,-0.158514,2.608897,1.060389,1.471808,-0.501534,4.95278,3.839177,-1.717562,0.088039,1.227405,-0.411787,0.286797,-1.786799,-0.570036,-0.469684,-0.453444,0.000898,-0.108319,Y
-0.56751,-0.761591,-0.158514,-0.220697,-0.80303,-0.144792,0.124602,-0.649107,-0.706694,1.079918,-0.239789,-0.933882,-0.411787,-0.942482,2.404708,-0.570036,-0.469684,-0.697464,-0.204733,-0.145928,N
-0.355273,0.363598,-0.158514,-0.142098,-0.145353,-0.133979,-0.143742,0.132552,-0.365754,1.079918,-0.112139,-0.933882,-0.411787,1.335617,-0.217616,1.242995,0.490652,0.449638,-0.204733,-0.415331,N
-0.284527,1.488788,0.56748,0.408101,-0.18189,-0.144792,0.840186,-0.649107,-0.365754,-0.796236,0.134457,0.146762,0.461354,1.163495,-0.292541,1.242995,0.490652,1.984442,0.686334,1.901536,N
-0.284527,-0.761591,0.930476,-0.377897,-0.620342,-0.144792,-0.054294,-0.649107,-0.365754,-0.854866,-0.211745,1.227405,0.461354,-0.942482,0.007155,-0.570036,-0.469684,-0.533846,-0.136189,-0.145928,N
-0.426019,0.363598,-0.158514,-0.456497,-0.291503,-0.144792,-0.412086,-0.258277,-0.593048,-1.382535,-0.128579,1.227405,0.461354,0.6775,0.656491,-0.570036,-0.469684,0.618591,-0.136189,-0.145928,N
0.069201,0.363598,-0.158514,-0.142098,0.841163,-0.144792,-0.412086,0.262828,0.088833,-0.952582,0.045489,0.146762,0.461354,0.879997,-0.356762,-0.570036,-0.469684,0.305583,0.343616,0.716162,Y
0.776658,0.363598,-0.158514,-0.220697,0.146948,0.067871,-0.054294,-0.388554,1.111654,-1.067785,-0.116007,1.227405,0.461354,0.388217,-0.667157,1.242995,2.411324,-0.505391,-0.204733,-0.172868,N
-0.213782,0.363598,-0.158514,0.015102,0.037335,-0.117759,-0.143742,0.393105,-0.252107,1.079918,-0.050248,-0.933882,-0.411787,1.201611,-0.592237,3.056026,1.450988,0.434817,-0.136189,-0.235747,N
-0.001545,-0.761591,-0.158514,-0.692296,0.146948,-0.112352,-0.501534,-0.51883,-0.024814,-0.573443,-0.012534,-0.069367,-0.411787,-0.942482,-0.292541,-0.570036,-0.469684,0.179906,0.069442,0.333017,Y
1.342623,-0.761591,-0.158514,0.093702,1.352689,-0.144792,-0.23319,0.393105,2.361769,-1.734314,0.028082,1.227405,0.461354,-0.942482,-0.966853,-0.570036,-0.469684,-0.381153,-0.136189,-0.184399,Y
-0.213782,-0.761591,-0.158514,-0.692296,-0.108815,-0.139386,-0.501534,-0.51883,-0.252107,-0.397554,-0.134381,-0.39356,-0.411787,-0.942482,0.007155,-0.570036,-0.469684,-0.104646,-0.067646,0.123475,N
-0.426019,-0.761591,0.204483,-0.377897,-0.510729,-0.14299,-0.412086,-0.128001,-0.706694,-1.030756,-0.19047,1.227405,1.334495,-0.942482,0.007155,-0.570036,-0.469684,-0.140215,-0.204733,-0.325512,N
-0.284527,0.363598,-0.158514,0.015102,-0.401116,-0.12677,-0.054294,0.262828,-0.252107,1.079918,-0.180799,-0.933882,-0.411787,1.266584,-0.292541,1.242995,1.450988,-0.291977,-0.204733,-0.361451,N
-0.284527,-0.761591,-0.158514,-0.535097,0.110411,-0.144792,-0.501534,-0.258277,-0.252107,-0.444457,-0.123744,-0.213453,-0.411787,-0.942482,0.067092,-0.570036,-0.469684,0.106397,-0.136189,0.069594,Y
-0.07229,3.739168,-0.158514,2.766096,-0.328041,-0.133979,3.344731,-0.388554,0.088833,-0.59522,-0.164359,1.227405,-0.411787,0.6775,-0.404926,1.242995,0.490652,-0.408465,-0.204733,-0.213279,N
-0.56751,-0.761591,-0.158514,-0.535097,-0.80303,-0.144792,-0.23319,-0.649107,-0.706694,1.079918,-0.239789,-0.933882,-0.411787,-0.942482,2.404708,-0.570036,-0.469684,-0.697464,-0.204733,-0.145928,N
