ck_oo_numberOfPrivateMethods,LDHH_lcom,LDHH_fanIn,numberOfNonTrivialBugsFoundUntil:,WCHU_numberOfPublicAttributes,WCHU_numberOfAttributes,CvsWEntropy,LDHH_numberOfPublicMethods,WCHU_fanIn,LDHH_numberOfPrivateAttributes,CvsEntropy,LDHH_numberOfPublicAttributes,WCHU_numberOfPrivateMethods,WCHU_numberOfMethods,ck_oo_numberOfPublicAttributes,ck_oo_noc,numberOfCriticalBugsFoundUntil:,ck_oo_wmc,LDHH_numberOfPrivateMethods,WCHU_numberOfPrivateAttributes,CvsLogEntropy,WCHU_noc,LDHH_numberOfAttributesInherited,WCHU_wmc,ck_oo_fanOut,ck_oo_numberOfLinesOfCode,ck_oo_numberOfAttributesInherited,ck_oo_numberOfMethods,ck_oo_dit,ck_oo_fanIn,LDHH_noc,WCHU_dit,ck_oo_lcom,WCHU_numberOfAttributesInherited,ck_oo_rfc,LDHH_wmc,LDHH_numberOfAttributes,LDHH_numberOfLinesOfCode,WCHU_fanOut,WCHU_lcom,ck_oo_cbo,WCHU_rfc,ck_oo_numberOfAttributes,numberOfHighPriorityBugsFoundUntil:,ck_oo_numberOfPrivateAttributes,numberOfMajorBugsFoundUntil:,WCHU_numberOfPublicMethods,LDHH_dit,WCHU_cbo,CvsLinEntropy,WCHU_numberOfMethodsInherited,numberOfBugsFoundUntil:,LDHH_fanOut,LDHH_numberOfMethodsInherited,LDHH_rfc,ck_oo_numberOfMethodsInherited,ck_oo_numberOfPublicMethods,LDHH_cbo,WCHU_numberOfLinesOfCode,CvsExpEntropy,LDHH_numberOfMethods,bug
-0.185228,-0.395016,1.502195,-0.290819,-0.275561,-0.446223,-0.389629,-0.351483,0.06739,-0.355567,-0.683053,-0.188772,-0.313347,-0.458645,-0.042891,-0.24703,-0.354474,0.0059,-0.260146,-0.42923,-0.501033,-0.184059,-0.237477,-0.46827,-0.119264,-0.157335,-0.220858,0.325056,-0.472148,0.849836,-0.100582,-0.234953,-0.093347,-0.298551,-0.133501,-0.455748,-0.368,-0.471523,-0.554757,-0.376372,0.298092,-0.462571,-0.050645,-0.148371,0.073013,-0.374153,-0.475055,-0.185522,-0.330931,0.099043,-0.638939,-0.305982,-0.515236,-0.61614,-0.457087,-0.051066,0.313926,0.639908,-0.467341,0.56041,-0.400544,0
-0.185228,-0.191712,4.257318,-0.037865,-0.275561,-0.446223,-0.129389,-0.351483,3.967538,-0.355567,-0.04898,-0.188772,0.258605,-0.02814,-0.14817,-0.24703,-0.354474,-0.504981,-0.117609,-0.42923,-0.097659,-0.184059,-0.237477,-0.257453,-0.742516,-0.515526,-0.220858,-0.619501,-0.472148,1.059864,-0.100582,-0.234953,-0.346181,-0.298551,-0.481693,-0.419564,-0.368,-0.414831,-0.554757,-0.147587,-0.149875,-0.277144,-0.482456,-0.148371,-0.50751,-0.374153,-0.475055,-0.185522,1.850654,-0.268643,-0.105337,-0.069375,-0.515236,-0.002482,-0.354595,-0.546014,-0.66006,2.064697,-0.306225,-0.519631,-0.187861,1
-0.356208,-0.220057,-0.248722,1.226906,-0.275561,0.054298,0.63163,-0.351483,0.06739,-0.204029,1.134273,-0.188772,-0.313347,-0.02814,-0.14817,-0.24703,-0.354474,0.599181,-0.260146,0.252488,0.988713,-0.184059,-0.237477,0.41257,1.33499,0.856083,-0.220858,0.325056,-0.472148,0.219752,-0.100582,-0.234953,-0.093347,-0.298551,0.536769,-0.063099,-0.221044,0.054048,0.916925,-0.11814,1.194025,0.37277,-0.050645,-0.148371,-0.362379,-0.374153,-0.475055,-0.185522,0.94346,0.614503,-0.105337,1.113657,0.146007,-0.002482,-0.058479,-0.19248,-0.103497,0.123188,0.752991,0.412878,-0.168793,0
-0.014248,-0.254267,-0.451185,0.468043,0.830585,-0.446223,-0.236677,-0.351483,-0.489775,0.003141,0.553918,0.436984,0.258605,-0.02814,-0.14817,-0.24703,-0.354474,0.154221,-0.085983,0.279487,0.325673,-0.184059,-0.237477,0.385435,-0.015389,0.113492,-0.220858,-0.06851,-0.472148,-0.200305,-0.100582,-0.234953,-0.247857,-0.298551,0.014481,-0.0522,-0.368,-0.139521,-0.554757,-0.131731,-0.060282,0.108398,-0.050645,-0.148371,0.363275,-0.374153,-0.475055,-0.185522,-0.642586,-0.22481,0.967148,0.403838,-0.515236,0.754474,-0.18369,0.302468,-0.242638,-0.604857,0.199455,-0.634778,-0.253866,0
0.84065,-0.395016,-0.451185,-0.417296,-0.275561,-0.446223,-0.497059,-0.351483,-0.489775,-0.355567,-0.836326,-0.188772,-0.313347,-0.458645,-0.14817,-0.24703,-0.354474,0.549741,-0.260146,-0.42923,-0.829582,-0.184059,-0.237477,-0.46827,-0.327015,0.611465,-0.220858,-0.147223,-0.472148,-0.200305,-0.100582,-0.234953,-0.270331,-0.298551,0.371378,-0.455748,-0.368,-0.471523,-0.554757,-0.376372,-0.329062,-0.462571,-0.482456,-0.148371,-0.50751,-0.374153,-0.475055,-0.185522,-0.642586,-0.760135,-0.638939,-0.424285,-0.515236,-0.61614,-0.457087,-0.546014,-0.66006,-0.604857,-0.467341,-0.642565,-0.400544,0
-0.356208,-0.395016,-0.451185,-0.543774,-0.275561,-0.446223,-0.421864,-0.351483,-0.489775,-0.355567,-0.321631,-0.188772,-0.313347,-0.458645,-0.14817,-0.24703,-0.354474,-0.488501,-0.260146,-0.42923,-0.385741,-0.184059,-0.237477,-0.46827,-0.742516,-0.489317,0.083644,-0.540788,-0.472148,-0.620361,-0.100582,-0.234953,-0.340563,-0.298551,-0.481693,-0.455748,-0.368,-0.471523,-0.554757,-0.376372,-0.866622,-0.462571,-0.410487,-0.148371,-0.362379,-0.374153,-0.475055,-0.185522,-0.642586,-0.525068,-0.105337,-0.542588,-0.515236,-0.002482,-0.457087,-0.121773,-0.520919,-0.604857,-0.467341,-0.627479,-0.400544,0
-0.356208,1.209583,1.238906,0.088612,-0.275561,0.554819,0.599334,2.372176,2.919408,-0.099406,1.489574,-0.188772,-0.313347,2.584727,-0.14817,-0.24703,-0.354474,-0.0765,-0.260146,0.252488,1.362488,-0.184059,-0.237477,1.253752,0.711738,0.340637,-0.220858,0.718621,-0.472148,2.320032,-0.100582,-0.234953,0.131394,-0.298551,0.397492,0.518464,0.235194,0.353569,2.698623,1.573961,1.641992,1.164049,-0.338519,-0.148371,-0.362379,1.180021,5.227974,-0.185522,2.538763,0.944325,-0.105337,0.167231,2.063107,-0.002482,0.414414,-0.546014,1.705334,1.789942,1.084793,0.54281,1.032496,1
0.156731,-0.395016,-0.451185,-0.290819,-0.275561,0.054298,0.016443,-0.351483,-0.489775,-0.09484,-0.013138,-0.188772,-0.313347,-0.458645,-0.14817,-0.24703,-0.354474,-0.17538,-0.260146,0.252488,-0.126647,-0.184059,-0.237477,-0.46827,-0.015389,-0.201017,-0.220858,0.010204,-0.472148,-0.410333,-0.100582,-0.234953,-0.222574,-0.298551,-0.255368,-0.455748,-0.167256,-0.371923,-0.554757,-0.376372,-0.239469,-0.462571,0.165261,-0.148371,0.363275,-0.374153,-0.475055,-0.185522,-0.642586,-0.397439,0.444113,-0.305982,-0.515236,0.366292,-0.457087,1.292364,-0.103497,-0.604857,-0.295059,-0.613689,-0.400544,1
-0.356208,-0.395016,-0.451185,-0.417296,-0.275561,-0.446223,-0.42554,-0.351483,-0.489775,-0.355567,-0.494558,-0.188772,-0.313347,-0.458645,-0.14817,-0.24703,-0.354474,-0.2413,-0.260146,-0.42923,-0.52971,-0.184059,-0.237477,-0.46827,1.023364,-0.144231,-0.220858,-0.462075,-0.472148,-0.410333,-0.100582,-0.234953,-0.332135,-0.298551,0.005776,-0.455748,-0.368,-0.471523,-0.554757,-0.376372,0.656465,-0.462571,-0.26655,-0.148371,-0.072117,-0.374153,-0.475055,-0.185522,-0.642586,-0.594502,-0.638939,-0.424285,-0.515236,-0.61614,-0.457087,-0.333893,-0.242638,-0.604857,-0.467341,-0.634028,-0.400544,0
0.156731,-0.004047,-0.451185,0.215089,-0.275561,0.559775,1.775402,0.791907,-0.489775,-0.124317,0.149803,-0.188772,0.264268,-0.019615,-0.14817,-0.24703,-0.354474,0.02238,0.020475,0.940956,0.521665,-0.184059,-0.237477,0.218451,-0.43089,-0.035026,-0.220858,-0.304649,-0.472148,-0.200305,-0.100582,-0.234953,-0.306852,-0.298551,-0.194434,0.574848,0.005314,1.270352,-0.194854,-0.12267,-0.418656,-0.05867,0.23723,-0.148371,0.943798,0.402934,0.332808,-0.185522,-0.330931,1.576316,-0.638939,0.167231,-0.404964,-0.61614,-0.221726,-0.546014,-0.381778,-0.496545,0.293572,2.242342,-0.044117,1
