ck_oo_numberOfPrivateMethods,LDHH_lcom,LDHH_fanIn,numberOfNonTrivialBugsFoundUntil:,WCHU_numberOfPublicAttributes,WCHU_numberOfAttributes,CvsWEntropy,LDHH_numberOfPublicMethods,WCHU_fanIn,LDHH_numberOfPrivateAttributes,CvsEntropy,LDHH_numberOfPublicAttributes,WCHU_numberOfPrivateMethods,WCHU_numberOfMethods,ck_oo_numberOfPublicAttributes,ck_oo_noc,numberOfCriticalBugsFoundUntil:,ck_oo_wmc,LDHH_numberOfPrivateMethods,WCHU_numberOfPrivateAttributes,CvsLogEntropy,WCHU_noc,LDHH_numberOfAttributesInherited,WCHU_wmc,ck_oo_fanOut,ck_oo_numberOfLinesOfCode,ck_oo_numberOfAttributesInherited,ck_oo_numberOfMethods,ck_oo_dit,ck_oo_fanIn,LDHH_noc,WCHU_dit,ck_oo_lcom,WCHU_numberOfAttributesInherited,ck_oo_rfc,LDHH_wmc,LDHH_numberOfAttributes,LDHH_numberOfLinesOfCode,WCHU_fanOut,WCHU_lcom,ck_oo_cbo,WCHU_rfc,ck_oo_numberOfAttributes,numberOfHighPriorityBugsFoundUntil:,ck_oo_numberOfPrivateAttributes,numberOfMajorBugsFoundUntil:,WCHU_numberOfPublicMethods,LDHH_dit,WCHU_cbo,CvsLinEntropy,WCHU_numberOfMethodsInherited,numberOfBugsFoundUntil:,LDHH_fanOut,LDHH_numberOfMethodsInherited,LDHH_rfc,ck_oo_numberOfMethodsInherited,ck_oo_numberOfPublicMethods,LDHH_cbo,WCHU_numberOfLinesOfCode,CvsExpEntropy,LDHH_numberOfMethods,bug
0.703777,1.224123,-0.272383,0.765466,0.464518,0.981894,1.164972,-0.366395,-0.040195,3.293144,1.499068,-0.261796,1.284695,0.337165,-0.200734,-0.330496,0.465078,-0.054406,1.708632,3.179645,1.211378,-0.24129,-0.172447,0.736216,0.88921,-0.028305,-0.667472,-0.321535,-0.422405,-0.026827,-0.163638,4.025125,-0.108272,-0.221929,-0.109818,0.566951,1.323731,0.518034,1.425812,0.015434,0.493006,0.371193,0.255634,3.303185,0.916986,0.30081,-0.393941,10.113862,0.881591,1.396673,-0.299863,0.739385,1.719221,0.10827,0.484761,-0.739298,-0.398293,1.086628,0.769576,1.44639,0.937621,0
-0.246732,-0.401083,-0.381452,-0.162337,-0.300101,-0.334355,-0.310184,-0.366395,-0.390844,-0.222788,-0.302285,-0.261796,-0.249325,-0.453072,-0.200734,-0.330496,-0.3556,-0.231237,-0.21529,-0.328603,1.108317,-0.24129,-0.631034,-0.516429,-0.350854,-0.211857,-0.048568,0.016932,-0.422405,-0.318339,-0.163638,-0.569002,-0.084743,-0.548222,-0.13192,-0.469317,-0.299612,-0.494417,-0.587362,-0.163939,-0.405068,-0.537181,-0.108657,-0.429629,0.365578,-0.397462,-0.393941,-0.428144,-0.593122,0.958346,-0.308066,-0.164504,-0.470415,-0.319914,-0.497451,0.372526,-0.197966,-0.536538,-0.500424,0.839241,-0.401661,0
-0.246732,-0.261793,-0.381452,-0.316971,-0.300101,-0.334355,-0.305596,-0.151721,-0.390844,-0.222788,-0.424892,-0.261796,-0.249325,-0.071187,-0.200734,-0.330496,-0.3556,-0.172294,-0.21529,-0.328603,1.100773,-0.24129,-0.631034,-0.351263,-0.040838,-0.150673,-0.048568,0.101549,0.158475,-0.318339,-0.163638,-0.569002,-0.075765,-0.548222,-0.037986,-0.409253,-0.299612,-0.439863,-0.587362,-0.091186,-0.292808,-0.376223,-0.017584,-0.429629,0.641282,-0.397462,0.11247,-0.428144,-0.593122,0.923111,-0.308066,-0.300088,-0.470415,-0.319914,-0.435615,0.471797,-0.097803,-0.536538,-0.380745,0.83196,-0.252949,0
-0.246732,-0.401083,-0.381452,-0.42006,-0.300101,-0.334355,-0.317707,-0.366395,-0.390844,-0.222788,-0.41619,-0.261796,-0.249325,-0.453072,-0.200734,-0.330496,-0.3556,-0.363861,-0.21529,-0.328603,-0.868924,-0.24129,0.29415,-0.516429,-0.350854,-0.35402,-0.438747,-0.406152,1.320236,-0.245461,-0.163638,-0.569002,-0.111059,-0.422205,-0.358466,-0.469317,-0.299612,-0.494417,-0.587362,-0.163939,-0.348938,-0.376223,-0.336339,-0.429629,-0.461535,-0.397462,-0.393941,-0.428144,-0.593122,-0.895137,0.244264,-0.435671,-0.470415,0.69022,-0.434949,0.769607,-0.398293,-0.536538,-0.500424,-0.898458,-0.401661,0
-0.246732,-0.401083,-0.206915,-0.523149,-0.300101,-0.334355,-0.329033,-0.366395,-0.040195,-0.222788,-0.994734,-0.261796,-0.249325,-0.453072,-0.200734,-0.330496,-0.3556,-0.371229,-0.21529,-0.328603,-0.899592,-0.24129,-0.601605,-0.516429,-0.557531,-0.366617,-0.6742,-0.321535,-1.003286,-0.172583,-0.163638,-0.569002,-0.108272,-0.434582,-0.375042,-0.469317,-0.299612,-0.494417,-0.587362,-0.163939,-0.405068,-0.537181,-0.245266,-0.429629,0.089873,-0.397462,-0.393941,-0.428144,-0.303907,-0.99438,-0.58423,-0.52606,-0.470415,-0.571084,-0.497451,-0.779006,-0.147884,-0.407987,-0.500424,-0.906672,-0.401661,0
-0.246732,-0.401083,-0.381452,-0.42006,-0.300101,0.101518,-0.315237,-0.366395,-0.390844,7.007987,-1.040503,-0.261796,-0.249325,-0.453072,-0.200734,-0.330496,-0.3556,-0.11335,-0.21529,0.836966,-0.870957,-0.24129,-0.711764,-0.516429,0.579194,-0.174067,-0.586746,0.016932,0.158475,-0.245461,-0.163638,-0.569002,-0.084743,-0.661862,-0.170598,-0.469317,3.188464,0.943168,-0.587362,-0.163939,0.156228,-0.373036,-0.154193,0.503574,0.641282,-0.397462,-0.393941,-0.428144,-0.593122,-0.31981,-0.860395,-0.435671,-0.470415,-0.724029,1.102462,0.412235,-0.398293,-0.536538,-0.376097,-0.065375,-0.401661,0
-0.246732,-0.190229,-0.381452,-0.162337,-0.300101,-0.334355,-0.269947,-0.366395,-0.390844,-0.222788,-0.217527,-0.261796,-0.249325,-0.071187,-0.200734,-0.330496,-0.3556,-0.304917,-0.21529,-0.328603,1.101266,-0.24129,-0.648986,-0.349628,0.269178,-0.298235,-0.499292,-0.321535,0.739355,-0.245461,-0.163638,-0.569002,-0.108272,-0.545971,-0.275583,-0.40102,-0.299612,-0.430984,-0.587362,-0.098085,-0.01216,-0.213672,-0.290803,-0.429629,-0.461535,-0.397462,-0.393941,-0.428144,-0.593122,0.701317,0.260669,-0.209699,-0.470415,0.69022,-0.363275,0.829169,-0.348211,-0.536538,-0.377259,0.583874,-0.221045,0
-0.246732,0.152241,-0.381452,-0.471605,-0.300101,-0.334355,-0.281461,0.688662,-0.390844,-0.222788,-0.424068,-0.261796,-0.249325,-0.071187,-0.200734,1.061776,-0.3556,-0.385965,-0.21529,-0.328603,1.089592,-0.24129,-0.711764,-0.351263,-0.764208,-0.372015,-0.687654,-0.321535,-1.003286,-0.391217,-0.163638,-0.569002,-0.108272,-0.661862,-0.391619,-0.198133,-0.299612,-0.243978,-0.587362,-0.098085,-0.685716,-0.376223,-0.336339,-0.429629,-0.461535,-0.397462,0.11247,-0.428144,-0.593122,0.61527,-0.58423,-0.480866,-0.470415,-0.571084,-0.228062,-0.818714,-0.147884,-0.536538,-0.380745,0.413316,0.140363,0
-0.246732,1.056162,-0.381452,-0.523149,-0.300101,-0.334355,-0.286269,-0.366395,-0.390844,-0.222788,-0.99876,-0.261796,0.499335,-0.067406,-0.200734,-0.330496,-0.3556,-0.378597,2.28862,-0.328603,-0.887698,-0.24129,-0.711764,-0.346357,-0.454192,-0.35582,-0.687654,-0.44846,-1.003286,-0.172583,-0.163638,-0.569002,-0.111987,-0.661862,-0.35294,0.057157,-0.299612,0.005182,-0.096226,-0.096831,-0.348938,-0.361881,-0.245266,0.503574,0.089873,-0.397462,-0.393941,-0.428144,-0.303907,-0.710998,-0.860395,-0.435671,0.70409,-0.724029,0.037332,-0.818714,-0.298129,0.150024,-0.367963,-0.216926,0.867187,0
-0.246732,-0.401083,-0.381452,-0.42006,-0.300101,-0.334355,-0.296206,-0.366395,-0.390844,-0.222788,-0.177244,-0.261796,-0.249325,-0.453072,-0.127613,-0.330496,-0.3556,-0.341757,-0.21529,-0.328603,1.106929,-0.24129,-0.711764,-0.184462,-0.040838,-0.321629,-0.687654,-0.236918,-0.422405,-0.172583,-0.163638,-0.569002,-0.104248,-0.661862,-0.286634,0.079279,-0.299612,-0.118322,-0.587362,-0.163939,-0.12442,-0.212079,-0.290803,-0.429629,-0.461535,-0.397462,-0.393941,-0.428144,-0.593122,0.740994,-0.308066,-0.390477,-0.470415,-0.462573,0.069286,-0.620174,-0.047721,-0.536538,-0.378421,0.589959,-0.401661,0
