ck_oo_numberOfPrivateMethods,LDHH_lcom,LDHH_fanIn,numberOfNonTrivialBugsFoundUntil:,WCHU_numberOfPublicAttributes,WCHU_numberOfAttributes,CvsWEntropy,LDHH_numberOfPublicMethods,WCHU_fanIn,LDHH_numberOfPrivateAttributes,CvsEntropy,LDHH_numberOfPublicAttributes,WCHU_numberOfPrivateMethods,WCHU_numberOfMethods,ck_oo_numberOfPublicAttributes,ck_oo_noc,numberOfCriticalBugsFoundUntil:,ck_oo_wmc,LDHH_numberOfPrivateMethods,WCHU_numberOfPrivateAttributes,CvsLogEntropy,WCHU_noc,LDHH_numberOfAttributesInherited,WCHU_wmc,ck_oo_fanOut,ck_oo_numberOfLinesOfCode,ck_oo_numberOfAttributesInherited,ck_oo_numberOfMethods,ck_oo_dit,ck_oo_fanIn,LDHH_noc,WCHU_dit,ck_oo_lcom,WCHU_numberOfAttributesInherited,ck_oo_rfc,LDHH_wmc,LDHH_numberOfAttributes,LDHH_numberOfLinesOfCode,WCHU_fanOut,WCHU_lcom,ck_oo_cbo,WCHU_rfc,ck_oo_numberOfAttributes,numberOfHighPriorityBugsFoundUntil:,ck_oo_numberOfPrivateAttributes,numberOfMajorBugsFoundUntil:,WCHU_numberOfPublicMethods,LDHH_dit,WCHU_cbo,CvsLinEntropy,WCHU_numberOfMethodsInherited,numberOfBugsFoundUntil:,LDHH_fanOut,LDHH_numberOfMethodsInherited,LDHH_rfc,ck_oo_numberOfMethodsInherited,ck_oo_numberOfPublicMethods,LDHH_cbo,WCHU_numberOfLinesOfCode,CvsExpEntropy,LDHH_numberOfMethods,bug
-0.406988,-0.294685,2.718721,-0.443886,-0.137885,-0.379407,-0.267331,-0.287878,3.521543,-0.299701,-0.337471,-0.095296,-0.275006,-0.389057,-0.134293,-0.191586,-0.278808,0.039926,-0.22421,-0.340845,0.751712,-0.204046,-0.165312,-0.426747,-0.421213,-0.143885,-0.281467,-0.292723,-0.617319,2.68338,-0.169728,-0.221424,-0.208837,-0.23441,-0.339185,-0.347063,-0.31158,-0.427441,0.320668,-0.320566,2.086223,-0.47386,-0.296865,-0.198429,-0.195917,-0.371129,-0.369489,-0.170764,2.790244,0.52106,-0.170167,-0.416957,0.541359,-0.176139,-0.38746,-0.304171,-0.132521,2.401267,-0.506247,0.352037,-0.302687,0
2.395274,8.156592,2.270555,5.908789,3.527265,6.162969,2.831541,8.484312,3.897362,2.273152,4.076619,0.248761,10.471351,8.462488,-0.134293,-0.191586,6.348508,2.370271,4.720977,6.826079,0.956129,-0.204046,-0.165312,8.696524,2.930494,1.665871,-0.281467,3.143779,-0.617319,0.728953,-0.169728,-0.221424,2.100023,-0.23441,2.544116,6.693591,1.66542,6.311745,6.248237,7.351701,1.693037,7.710572,0.489846,5.760832,0.981391,5.465374,6.107361,-0.170764,4.652736,2.529069,-0.163615,7.268201,8.069535,-0.373891,7.931574,-0.799391,2.165238,5.323899,7.661878,3.397156,8.289784,1
-0.406988,-0.202983,4.343281,0.224816,-0.137885,-0.379407,-0.024899,-0.169994,3.882022,-0.299701,0.666157,-0.095296,-0.275006,0.344938,-0.134293,-0.191586,-0.278808,-0.288292,-0.22421,-0.340845,0.79084,-0.204046,-0.165312,0.030548,-0.261608,-0.249052,-0.281467,-0.08445,-0.617319,0.728953,-0.169728,-0.221424,-0.172189,-0.23441,-0.354047,-0.281085,-0.31158,-0.377847,0.771145,0.127264,0.513479,0.609531,-0.198526,0.107174,-0.02773,-0.371129,0.546704,-0.170764,3.382717,0.784986,0.491563,0.273844,0.950152,0.195619,0.350097,-0.304171,0.122786,4.098488,-0.202193,0.672801,-0.204678,0
-0.406988,-0.294685,1.019492,-0.443886,-0.137885,-0.379407,-0.265771,-0.287878,0.388438,-0.299701,-0.582879,-0.095296,-0.275006,-0.389057,-0.134293,-0.191586,-0.278808,-0.518044,-0.22421,-0.340845,0.736005,-0.204046,-0.165312,-0.426747,-0.580819,-0.35422,-0.281467,-0.605132,-0.617319,-0.287349,-0.169728,-0.221424,-0.238822,-0.23441,-0.443221,-0.347063,-0.31158,-0.427441,-0.580287,-0.320566,-0.469486,-0.47386,-0.493543,-0.504032,-0.532291,-0.371129,-0.369489,-0.170764,-0.001974,0.294356,0.491563,-0.503307,-0.507493,0.195619,-0.38746,-0.304171,-0.515481,0.533219,-0.506247,-0.12025,-0.302687,0
-0.406988,-0.294685,-0.357377,-0.443886,-0.137885,-0.379407,-0.281249,-0.287878,-0.38621,-0.299701,-0.901785,-0.095296,-0.275006,-0.389057,-0.134293,-0.191586,-0.278808,-0.386757,-0.22421,-0.340845,-1.288707,-0.204046,-0.165312,-0.426747,-0.261608,-0.249052,-0.281467,-0.292723,-0.617319,-0.130995,-0.169728,-0.221424,-0.208837,-0.23441,-0.354047,-0.347063,-0.31158,-0.427441,-0.580287,-0.320566,-0.207362,-0.47386,-0.296865,-0.504032,-0.195917,-0.371129,-0.369489,-0.170764,-0.615716,-1.341687,-0.831897,-0.589657,-0.507493,-0.745649,-0.38746,-0.799391,-0.260174,-0.531276,-0.506247,-1.239353,-0.302687,0
0.393658,0.571143,1.039996,0.559168,-0.137885,0.436371,-0.193631,0.833181,0.775762,0.167778,0.279689,-0.095296,1.063319,1.100735,-0.134293,-0.191586,-0.278808,0.368143,0.833172,0.552809,0.782256,-0.204046,-0.165312,1.003999,0.376812,0.101506,-0.281467,0.644505,-0.617319,0.025359,-0.169728,-0.221424,0.06103,-0.23441,0.121549,0.659953,0.049718,0.507757,0.780065,0.756762,0.185824,0.670316,0.09649,0.565579,0.47683,0.796172,1.48104,-0.170764,1.231585,0.836234,-0.831897,0.791944,0.704622,-0.745649,0.451402,-0.799391,0.633399,1.279869,0.822144,1.017456,0.585018,0
-0.406988,-0.294685,-0.357377,-0.611062,-0.137885,-0.379407,-0.281249,-0.287878,-0.38621,-0.299701,-0.901785,-0.095296,-0.275006,-0.389057,-0.134293,-0.191586,-0.278808,-0.452401,-0.22421,-0.340845,-1.288707,-0.204046,-0.165312,-0.426747,-0.580819,-0.327928,-0.281467,-0.396859,0.733384,-0.209172,-0.169728,-0.221424,-0.222164,-0.23441,-0.443221,-0.347063,-0.31158,-0.427441,-0.580287,-0.320566,-0.403955,-0.47386,-0.493543,-0.656833,-0.532291,-0.371129,-0.369489,-0.170764,-0.615716,-1.341687,-0.831897,-0.589657,-0.507493,-0.745649,-0.38746,0.411147,-0.643134,-0.531276,-0.506247,-1.239353,-0.302687,0
5.597858,-0.294685,-0.038691,-0.611062,-0.137885,-0.379407,-0.252434,-0.287878,0.004949,-0.299701,-0.057695,-0.095296,-0.275006,-0.389057,-0.134293,-0.191586,-0.278808,1.549727,-0.22421,-0.340845,0.764971,1.606274,-0.165312,-0.426747,-0.421213,2.57294,-0.281467,1.581732,-0.617319,-0.130995,1.315502,-0.221424,0.600763,-0.23441,1.028154,-0.347063,-0.31158,0.173152,0.320668,-0.320566,-0.272893,-0.47386,1.964929,-0.198429,3.67238,-0.371129,-0.369489,-0.170764,0.307935,0.645722,-0.831897,-0.157907,0.655756,-0.745649,-0.38746,-0.744367,0.250439,0.362075,0.095957,0.636897,-0.302687,1
-0.406988,-0.294685,-0.357377,0.057641,-0.137885,-0.379407,-0.054418,-0.287878,-0.38621,-0.299701,0.502325,-0.095296,-0.275006,-0.389057,-0.134293,-0.191586,-0.278808,-0.288292,-0.22421,-0.340845,0.775948,-0.204046,-0.165312,-0.426747,-0.740424,-0.235907,-0.281467,-0.396859,-0.617319,-0.287349,-0.169728,-0.221424,-0.222164,-0.23441,-0.324322,-0.347063,-0.31158,-0.427441,-0.580287,-0.320566,-0.535017,-0.47386,-0.395204,0.259976,-0.364104,-0.371129,-0.369489,-0.170764,-0.615716,0.532627,-0.831897,0.014794,-0.507493,-0.745649,-0.38746,-0.799391,-0.260174,-0.531276,-0.506247,0.13297,-0.302687,0
-0.406988,-0.294685,1.542527,0.057641,-0.137885,-0.379407,-0.181915,-0.287878,0.775762,-0.299701,0.124695,-0.095296,-0.275006,-0.389057,-0.134293,3.430075,1.930298,0.039926,-0.22421,-0.340845,0.76449,1.606274,-0.165312,-0.426747,-0.421213,-0.152649,-0.281467,0.019686,0.733384,0.650776,1.173639,-0.221424,-0.148867,-0.23441,-0.264873,-0.347063,-0.31158,0.143251,-0.12535,-0.320566,0.382417,-0.47386,-0.100187,0.107174,0.140457,0.796172,-0.369489,-0.170764,0.614805,0.498214,0.51777,-0.071556,-0.322268,0.195619,-0.38746,1.126465,0.250439,1.08369,0.408866,0.153496,-0.302687,0
