ck_oo_numberOfPrivateMethods,LDHH_lcom,LDHH_fanIn,numberOfNonTrivialBugsFoundUntil:,WCHU_numberOfPublicAttributes,WCHU_numberOfAttributes,CvsWEntropy,LDHH_numberOfPublicMethods,WCHU_fanIn,LDHH_numberOfPrivateAttributes,CvsEntropy,LDHH_numberOfPublicAttributes,WCHU_numberOfPrivateMethods,WCHU_numberOfMethods,ck_oo_numberOfPublicAttributes,ck_oo_noc,numberOfCriticalBugsFoundUntil:,ck_oo_wmc,LDHH_numberOfPrivateMethods,WCHU_numberOfPrivateAttributes,CvsLogEntropy,WCHU_noc,LDHH_numberOfAttributesInherited,WCHU_wmc,ck_oo_fanOut,ck_oo_numberOfLinesOfCode,ck_oo_numberOfAttributesInherited,ck_oo_numberOfMethods,ck_oo_dit,ck_oo_fanIn,LDHH_noc,WCHU_dit,ck_oo_lcom,WCHU_numberOfAttributesInherited,ck_oo_rfc,LDHH_wmc,LDHH_numberOfAttributes,LDHH_numberOfLinesOfCode,WCHU_fanOut,WCHU_lcom,ck_oo_cbo,WCHU_rfc,ck_oo_numberOfAttributes,numberOfHighPriorityBugsFoundUntil:,ck_oo_numberOfPrivateAttributes,numberOfMajorBugsFoundUntil:,WCHU_numberOfPublicMethods,LDHH_dit,WCHU_cbo,CvsLinEntropy,WCHU_numberOfMethodsInherited,numberOfBugsFoundUntil:,LDHH_fanOut,LDHH_numberOfMethodsInherited,LDHH_rfc,ck_oo_numberOfMethodsInherited,ck_oo_numberOfPublicMethods,LDHH_cbo,WCHU_numberOfLinesOfCode,CvsExpEntropy,LDHH_numberOfMethods,bug
-0.265218,-0.332697,0.017594,-0.326811,-0.044478,-0.251887,-0.387903,-0.143886,0.195304,-0.343565,0.875871,-0.048535,-0.40956,-0.046152,-0.033268,-0.244783,-0.179442,-0.501325,-0.367612,-0.475706,0.225846,-0.16937,-0.248476,-0.27414,-0.094029,-0.553227,1.437223,-0.513373,2.376598,-0.053985,-0.157384,-0.256582,-0.342364,-0.306443,-0.435759,-0.419205,-0.192022,-0.722907,-0.207037,-0.146198,-0.081477,-0.098785,-0.077331,-0.174585,-0.438132,-0.320343,0.289841,-0.206691,0.120866,0.15392,3.93296,-0.364763,-0.394153,2.505844,-0.35603,2.263109,-0.291012,-0.157597,-0.485384,-0.340952,-0.337981,0
0.586324,3.175737,0.366353,0.036393,-0.044478,-0.251887,0.335674,-0.460749,0.999768,-0.343565,1.208973,-0.048535,1.216729,1.039725,-0.033268,-0.244783,-0.179442,0.103493,0.959844,-0.475706,0.45199,-0.16937,-0.248476,1.039895,1.157803,-0.024599,-0.258944,-0.069783,-0.818236,0.258949,-0.157384,-0.256582,-0.219033,-0.306443,0.213863,1.829808,-0.192022,0.810623,0.718128,0.597615,0.795043,0.781965,-0.094861,-0.174585,-0.699649,-0.320343,-0.497367,-0.206691,1.303125,1.115422,-0.719145,-0.11114,0.77251,-0.705677,1.409066,-0.512677,-0.47545,0.694288,0.293392,1.230419,3.049769,0
-0.478104,2.709973,0.361191,-0.145209,-0.044478,-0.251887,-0.053755,0.203641,0.462576,-0.343565,0.471474,-0.048535,-0.40956,0.494112,-0.033268,-0.244783,-0.179442,-0.660488,-0.367612,-0.475706,0.149235,-0.16937,-0.248476,0.045661,-0.650399,-0.638741,-0.258944,-0.735168,-0.818236,-0.132218,-0.157384,-0.256582,-0.375568,-0.306443,-0.562514,1.103145,-0.192022,0.547321,-0.654127,0.187351,-0.4186,0.163059,-0.094861,-0.174585,-0.699649,-0.320343,0.289841,-0.206691,0.120866,0.63912,-0.719145,-0.237952,-0.586199,-0.705677,0.951821,-0.512677,-0.659889,0.044556,-0.036932,1.097337,2.573598,0
-0.265218,0.383945,0.120312,0.944402,-0.044478,0.761657,0.205994,0.6937,0.195304,0.594323,0.728017,-0.048535,1.208718,0.50481,-0.033268,-0.244783,-0.179442,-0.119335,0.95506,1.291478,0.334582,-0.16937,-0.248476,0.096323,0.184156,0.161975,-0.193707,-0.402476,-0.179269,-0.053985,-0.157384,-0.256582,-0.318647,-0.306443,-0.087181,-0.048022,0.285412,-0.344674,0.248905,0.224041,0.053372,0.234472,-0.042272,-0.174585,0.084901,-0.320343,0.289841,-0.206691,-0.104985,1.605648,-0.719145,0.522917,0.152965,-0.705677,-0.015851,-0.441044,-0.291012,-0.16233,0.15995,1.623379,0.352082,0
-0.265218,-0.01054,-0.339767,-0.145209,-0.044478,0.092586,0.695377,-0.460749,-0.339241,0.084779,0.411902,-0.048535,0.399579,0.50481,-0.033268,0.166025,-0.179442,0.167158,0.206538,0.425211,0.146244,-0.16937,-0.248476,0.067826,-0.233121,0.56622,-0.193707,1.150089,-0.179269,-0.053985,-0.157384,-0.256582,0.511462,-0.306443,0.261396,-0.164675,-0.084322,0.090517,-0.207037,0.407493,-0.148902,-0.067046,0.133023,-0.174585,2.177035,-0.320343,-0.497367,-0.206691,-0.344663,0.673422,-0.310924,0.015671,-0.245008,-0.297888,-0.245033,-0.27987,-0.844328,-0.369216,0.050571,1.026222,0.014294,1
-0.478104,0.058294,0.063705,0.762801,-0.044478,0.751721,0.376535,0.504036,0.465223,-0.128749,0.522569,-0.048535,1.22474,1.07182,-0.033268,0.576833,-0.179442,-0.373995,0.163477,0.399223,0.060836,1.859484,9.959042,1.730159,-0.511306,-0.413296,0.458665,0.152012,-0.818236,0.180715,0.542502,-0.256582,-0.128907,5.898483,-0.277315,0.264489,0.014655,-0.17342,1.151938,0.971189,-0.081477,1.662715,-0.077331,2.547854,-0.699649,1.00439,1.872053,-0.206691,0.602527,-0.178122,-0.719145,0.396106,0.106531,-0.705677,0.23537,-0.512677,0.077866,-0.038469,1.328113,-0.449623,0.046347,0
-0.478104,-0.550031,-0.339767,-0.508412,-0.044478,-0.251887,-0.558471,-0.460749,-0.339241,-0.343565,-1.27085,-0.048535,-0.40956,-0.586416,-0.033268,-0.244783,-0.179442,-0.660488,-0.367612,-0.475706,-0.640069,-0.16937,-0.248476,-0.593941,-0.372214,-0.568775,0.067242,-0.735168,-0.179269,-0.210451,-0.157384,-0.256582,-0.375568,-0.306443,-0.54667,-0.527057,-0.192022,-0.801859,-0.654127,-0.493088,-0.351175,-0.643634,-0.094861,-0.174585,-0.699649,-0.320343,-0.497367,-0.206691,-0.577428,-1.225333,-0.719145,-0.364763,-0.586199,-0.705677,-0.579621,-0.297778,-0.659889,-0.56542,-0.710704,-1.185589,-0.538312,0
-0.478104,2.165591,1.878557,-0.145209,-0.044478,0.089273,0.039169,1.275183,2.07415,0.620101,1.061045,-0.048535,-0.40956,1.665576,-0.033268,0.576833,-0.179442,0.485483,-0.367612,0.416549,0.361067,-0.16937,0.338832,0.767589,0.184156,0.402967,-0.258944,2.369962,0.459698,1.667149,-0.157384,-0.256582,1.81592,0.377725,0.213863,0.863455,0.144878,1.370535,0.695995,2.242008,1.536713,0.512186,-0.024743,-0.174585,0.084901,-0.320343,1.154991,-0.206691,1.99681,0.650416,0.55402,0.522917,1.086194,0.565504,0.733819,0.060388,1.553376,1.820668,1.290925,0.205717,2.045957,0
0.586324,-0.276791,-0.178894,-0.326811,0.34457,0.082649,-0.421869,0.009435,-0.071969,-0.085785,-0.170314,0.050172,0.415602,-0.046152,-0.033268,-0.244783,-0.179442,0.007995,0.026319,0.407886,-0.182491,-0.16937,-0.248476,-0.593941,-0.511306,-0.141208,-0.258944,0.041114,-0.818236,-0.132218,-0.157384,-0.256582,-0.176342,-0.306443,-0.087181,-0.527057,-0.118424,-0.064082,-0.654127,-0.12952,-0.351175,-0.643634,-0.059802,-0.174585,-0.176616,-0.320343,0.289841,-0.206691,-0.344663,-0.40431,-0.719145,-0.364763,-0.586199,-0.705677,-0.579621,-0.512677,-0.106573,-0.434933,-0.257876,-0.447464,-0.277881,0
-0.478104,-0.550031,-0.339767,-0.508412,-0.044478,-0.251887,-0.558471,-0.460749,-0.339241,-0.343565,-1.27085,-0.048535,-0.40956,-0.586416,-0.033268,-0.244783,-0.179442,-0.405828,-0.367612,-0.475706,-0.640069,-0.16937,-0.248476,-0.593941,-0.511306,-0.405522,-0.258944,-0.180681,1.098664,-0.210451,-0.157384,-0.256582,-0.256981,-0.306443,-0.372381,-0.527057,-0.192022,-0.801859,-0.654127,-0.493088,-0.4186,-0.643634,-0.059802,-0.174585,-0.176616,-0.320343,-0.497367,-0.206691,-0.577428,-1.225333,-0.719145,-0.364763,-0.586199,-0.705677,-0.579621,0.096205,0.077866,-0.56542,-0.710704,-1.185589,-0.538312,0
