AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,bug
-0.657786,-0.633753,-0.646904,0.110878,-0.386077,-0.239943,-0.41209,-0.546848,-0.627881,-0.648898,-0.609882,-0.649147,-0.580554,-0.477528,-0.629088,-0.63805,-0.667949,-0.621298,-0.612905,-0.620027,-0.619244,-0.198124,-0.595384,-0.590294,-0.60664,-0.558342,0
-0.657786,-0.633753,-0.646904,0.110878,-0.299596,-0.239943,-0.30272,-0.546848,-0.707601,-0.722382,-0.661734,-0.715002,-0.62019,-0.648635,-0.693297,-0.70153,-0.74868,-0.677181,-0.612905,-0.620027,-0.619244,-0.3721,-0.65595,-0.65356,-0.663072,-0.635928,0
1.509037,1.584383,1.187356,2.180594,2.29484,1.827259,2.431527,0.104716,0.598934,0.931027,0.738278,0.646011,0.866143,-0.453084,0.772792,0.734686,0.543009,0.809305,1.264116,1.493455,0.988329,-0.387916,0.464518,0.51686,0.409129,0.683034,1
0.425626,0.475315,0.270226,0.110878,0.046329,-0.239943,0.025389,-0.546848,-0.136269,0.049209,-0.085597,-0.144255,-0.065292,-0.453084,-0.104721,-0.027064,-0.183566,0.03812,-0.210686,-0.167138,-0.159937,-0.356284,0.07084,0.105632,0.07054,0.062346,1
1.509037,1.029849,1.187356,0.110878,0.305773,-0.239943,0.353499,0.756279,0.005457,0.012466,-0.016461,-0.166207,0.103159,0.060237,-0.01911,0.036415,-0.210476,0.138709,0.99597,0.587677,0.873503,-0.229756,0.403953,0.137265,0.352698,0.217518,1
-0.657786,-0.633753,-0.646904,0.110878,-0.991445,-0.756744,-0.958939,-0.546848,-0.676599,-0.68564,-0.621405,-0.539388,-0.659825,-0.673079,-0.650491,-0.661855,-0.614129,-0.677181,-0.746977,-0.77099,-0.73407,-0.41164,-0.565101,-0.558661,-0.578424,-0.325584,1
0.967332,1.029849,1.645921,0.110878,0.478735,-0.239943,0.244129,3.362532,-0.703173,-0.795867,-0.679019,-0.649147,-0.659825,-0.477528,-0.671894,-0.66979,-0.69486,-0.654828,-0.344759,-0.318101,-0.159937,-0.063688,-0.625667,-0.621927,-0.578424,-0.713514,0
1.509037,1.584383,1.187356,2.180594,1.430028,1.310459,1.447198,0.756279,0.895673,1.408679,0.732517,0.404541,0.915687,0.964659,0.826299,0.901319,0.62374,1.010483,1.800407,2.097308,1.447636,-0.21394,0.767348,0.83319,0.691287,1.070964,1
-0.657786,-0.633753,-0.646904,0.110878,-0.386077,0.276857,-0.7402,0.756279,-0.415292,0.012466,-0.500416,-0.407677,-0.540919,-0.208646,-0.522074,-0.526962,-0.425758,-0.565416,-0.612905,-0.620027,-0.619244,-0.103228,-0.504535,-0.495395,-0.521993,-0.247998,0
-0.11608,-0.079219,-0.188339,0.110878,0.219292,-0.239943,0.353499,-0.546848,-0.450723,-0.53867,-0.488893,-0.627195,-0.422012,-0.086426,-0.596984,-0.574571,-0.587219,-0.565416,-0.478832,-0.469064,-0.504417,-0.039964,-0.534818,-0.527028,-0.550208,-0.558342,0
