AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,bug
0.510726,0.634311,0.652987,0.671388,0.706826,0.626797,0.635088,0.948145,3.566076,3.489712,3.346229,2.099143,3.244879,3.231513,3.914377,4.010646,4.451758,3.606654,1.224658,1.437888,0.793641,0.307914,4.410201,4.710997,4.065466,4.721939,0
1.539915,1.825322,1.036137,-0.366921,0.989793,2.746222,0.972056,-0.370008,-0.33284,-0.16943,-0.292155,-0.26421,-0.316497,-0.447906,-0.218056,-0.238782,-0.146761,-0.276914,1.040266,1.228502,0.653649,-0.447801,-0.054236,-0.031531,-0.131619,-0.551829,0
-0.518464,-0.556701,-0.496462,-0.366921,0.140892,0.626797,-0.151171,0.948145,0.056224,0.287963,-0.270368,-0.26421,-0.2327,1.023861,-0.285069,-0.256126,-0.342443,-0.199757,-0.250477,-0.237199,-0.326298,2.197199,-0.30226,-0.295005,-0.341473,-0.348992,0
-0.518464,-0.556701,-0.496462,-0.366921,-0.425041,0.626797,-0.488139,-0.370008,-0.647402,-0.626823,-0.651636,-0.431316,-0.651685,-0.447906,-0.687143,-0.689741,-0.635965,-0.688418,-0.619261,-0.655971,-0.606283,-0.447801,-0.674297,-0.690215,-0.656255,-0.653248,0
-0.518464,-0.556701,-0.496462,-0.366921,-0.613686,-0.432915,-0.600462,-0.370008,-0.680514,-0.80978,-0.673423,-0.502933,-0.609787,-0.447906,-0.709481,-0.724431,-0.831647,-0.63698,-0.619261,-0.655971,-0.606283,-0.447801,-0.674297,-0.690215,-0.656255,-0.653248,1
-0.518464,-0.556701,-0.496462,-0.366921,0.329537,0.626797,0.29812,-0.370008,0.941965,1.294227,1.102196,0.595191,1.422293,-0.027401,1.904004,1.65178,1.467613,1.677729,-0.434869,-0.446585,-0.326298,-0.258872,0.131782,0.166074,0.078235,0.25952,0
2.05451,2.420828,1.419287,2.748006,1.933016,3.805934,1.645992,1.607221,1.595923,2.757884,1.232916,0.523574,1.296597,1.689661,1.41258,1.513023,1.565453,1.420539,4.359321,4.997448,3.873474,0.469852,1.867952,2.010391,1.757069,2.490729,0
-0.003869,0.038805,0.269837,0.671388,0.04657,-0.432915,0.185797,-0.370008,-0.506677,-0.718302,-0.466449,-0.26421,-0.50504,-0.412864,-0.463769,-0.446917,-0.293523,-0.508385,-0.066085,-0.027813,0.093679,-0.339841,-0.426272,-0.426742,-0.341473,-0.247573,0
0.510726,0.634311,0.652987,0.671388,0.423859,-0.432915,0.522765,-0.370008,1.215137,1.019791,1.330957,0.547446,1.359445,0.428146,1.479592,1.634435,1.712215,1.523415,1.040266,1.228502,0.793641,-0.096933,2.177982,2.339733,2.071851,1.780799,0
-0.518464,-0.556701,-0.496462,-0.366921,-0.80233,-0.432915,-0.825107,-0.370008,-0.630846,-0.626823,-0.62985,-0.431316,-0.630736,-0.447906,-0.687143,-0.689741,-0.684886,-0.662699,-0.619261,-0.655971,-0.606283,-0.447801,-0.61229,-0.624347,-0.603791,-0.551829,0
