wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max_cc,avg_cc,bug
-0.828991,-0.999906,-0.177178,-0.36478,-0.18497,-0.267354,-0.372466,-0.054139,-0.956503,-1.605039,-0.370362,0.573658,1.075528,-1.113439,0.447574,-0.762085,-0.671453,2.734213,1.166213,3.646756,0
-0.539539,-0.999906,-0.177178,0.373913,-0.770752,-0.251927,0.56405,-0.73088,-0.383335,-1.148564,-0.727183,0.573658,-0.584237,-1.113439,0.182183,-0.762085,-0.671453,-0.811666,-0.650947,-0.804501,0
-0.828991,-0.999906,-0.177178,-0.633395,-0.977499,-0.267354,-0.305572,-1.18204,-0.727236,0.22086,-0.774366,0.573658,-0.584237,-1.113439,0.712966,-0.762085,-0.671453,-0.49783,-0.44904,-0.399841,0
-0.636023,0.562447,-0.177178,-0.297626,-0.667379,-0.267354,-0.10489,-0.73088,-0.497969,-0.996407,-0.647562,-1.944442,-0.584237,1.100087,0.547096,0.181089,-0.076193,-0.369017,-0.650947,-0.652753,0
-0.636023,-0.218729,-0.177178,-0.633395,-0.80521,-0.267354,-0.372466,-0.95646,-0.841869,-1.199284,-0.688847,0.573658,0.245645,0.382187,0.049489,0.181089,-0.076193,-0.556382,-0.44904,-0.399841,0
0.61827,0.562447,0.130423,0.105297,1.021054,-0.0668,-0.305572,1.299342,0.533734,-0.15661,1.00384,0.573658,0.245645,0.557147,-0.974996,0.181089,-0.076193,0.415573,1.36812,0.611808,0
-0.828991,-0.999906,-0.177178,-0.431933,-1.11533,-0.263497,-0.171784,-0.73088,-0.727236,2.046758,-0.883476,-1.944442,-0.584237,-1.113439,1.044702,-0.762085,-0.671453,-1.27071,-0.650947,-0.399841,0
-0.539539,-0.999906,-0.177178,-0.633395,0.021777,-0.251927,-0.305572,-1.18204,-0.497969,-0.539932,0.154548,0.573658,-0.584237,-1.113439,0.049489,-0.762085,-0.671453,1.970701,0.7624,1.825788,0
-0.443055,0.562447,-0.177178,-0.431933,-0.322801,-0.224929,-0.372466,-0.279719,-0.497969,-0.14432,-0.426392,0.573658,-0.584237,0.994681,-0.348597,1.124264,0.519067,-0.107487,-0.650947,-0.568483,0
3.030372,1.343623,0.130423,0.575374,1.365632,2.590543,0.095792,1.750502,3.628843,0.126552,0.732538,0.573658,2.735293,0.455083,-1.10144,2.067438,1.114326,-0.723114,-0.44904,-0.183045,0
-0.539539,-0.999906,1.360827,0.105297,-0.80521,-0.2365,0.363368,-0.95646,-0.383335,-0.235615,-0.715387,0.573658,-0.584237,-1.113439,0.84566,-0.762085,-0.671453,-0.774193,0.15668,0.207149,0
-0.828991,-0.999906,-0.177178,-0.431933,-1.11533,-0.263497,-0.171784,-0.73088,-0.727236,2.046758,-0.883476,-1.944442,-0.584237,-1.113439,1.044702,-0.762085,-0.671453,-1.27071,-0.650947,-0.399841,0
-0.443055,-0.999906,-0.177178,-0.230472,-0.288343,-0.267354,-0.305572,0.171441,-0.268701,-0.418205,-0.343822,0.573658,1.905411,-1.113439,-0.724564,-0.762085,-0.671453,0.095492,-0.650947,-0.568483,0
0.232334,-0.999906,-0.177178,-0.431933,-0.736294,0.033477,-0.10489,-1.18204,0.533734,2.046758,-0.851038,-1.944442,-0.584237,-1.113439,-0.639506,-0.762085,-0.671453,-1.27071,-0.650947,-0.399841,0
-0.828991,-0.999906,-0.177178,-0.700549,-0.977499,-0.263497,-0.372466,-1.18204,-0.727236,2.046758,-0.756672,-1.944442,-0.584237,-1.113439,0.712966,-0.762085,-0.671453,-0.263624,0.7624,2.635107,0
-0.057119,0.562447,-0.177178,-0.096164,1.227801,-0.263497,-0.305572,0.622601,-0.039434,-0.320147,0.408156,-0.265708,0.245645,0.811367,-0.083205,0.181089,-0.076193,0.715357,0.358586,0.510643,0
-0.057119,-0.999906,1.053226,0.441066,1.606837,-0.24807,-0.10489,1.750502,-0.497969,-0.174217,1.301682,0.573658,5.224941,-1.113439,-0.908866,-0.762085,-0.671453,2.073752,1.97384,2.837437,1
-0.636023,2.124799,-0.177178,-0.36478,-0.460632,-0.267354,-0.372466,-0.054139,-0.497969,-0.996407,-0.632817,0.573658,-0.584237,1.233837,2.039916,0.181089,-0.076193,-0.310465,-0.247134,-0.146929,0
