wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max_cc,avg_cc,bug
-0.352867,-0.606612,-0.23343,-0.792006,-0.323662,-0.154603,-0.502666,-0.792131,-0.607719,-1.337067,0.318299,-0.762876,-0.527623,-0.797432,-0.466685,-0.572745,-0.461579,1.746559,0.217601,0.973841,1
-0.558958,3.834656,-0.23343,-0.583851,-0.709626,-0.146003,-0.386492,-0.58287,-0.436354,1.597112,-0.643971,-0.762876,-0.527623,1.634466,0.09415,1.057988,0.320435,-0.759497,-0.745166,-0.825737,1
-0.352867,-0.606612,-0.23343,0.144693,0.202653,-0.125936,-0.502666,1.091222,-0.607719,-0.245279,-0.137513,-0.762876,-0.527623,-0.797432,-0.606892,-0.572745,-0.461579,0.499051,0.217601,0.433954,1
-0.455912,1.614022,-0.23343,-0.375695,-0.534188,-0.154603,-0.270317,-0.164347,-0.264989,-0.177042,-0.538784,-0.762876,0.076638,1.475195,0.760138,-0.572745,-0.461579,-0.538699,-0.103321,-0.038447,1
-0.765048,1.614022,-0.23343,-0.583851,-0.779802,-0.154603,-0.386492,-0.58287,-0.950449,1.597112,-0.698513,-0.762876,-0.527623,1.641485,2.33748,-0.572745,-0.461579,-0.759497,-1.066089,-1.725593,1
-0.662003,-0.606612,-0.23343,-0.479773,-0.534188,-0.151736,-0.502666,-0.164347,-0.607719,1.597112,-0.647867,-0.762876,-0.527623,-0.797432,0.234357,-0.572745,-0.461579,-0.593899,-0.745166,-1.050735,1
-0.352867,0.133599,1.538906,-0.271618,-0.288575,-0.154603,-0.037969,-0.58287,-0.607719,-0.683943,-0.258284,-0.076017,-0.527623,1.491399,0.09415,1.057988,0.320435,0.101615,-0.103321,0.16401,1
0.883676,0.133599,-0.23343,0.352849,1.711421,-0.057137,-0.386492,1.300484,1.105932,-0.338329,1.580547,0.985495,0.680899,0.234418,-1.167724,2.688721,2.666478,0.74063,-0.424244,-0.45524,1
-0.765048,1.614022,-0.23343,-0.583851,-0.779802,-0.154603,-0.386492,-0.58287,-0.950449,1.597112,-0.698513,-0.762876,-0.527623,1.641485,2.33748,-0.572745,-0.461579,-0.759497,-1.066089,-1.725593,1
-0.249822,0.133599,-0.23343,-0.479773,-0.604363,-0.111603,-0.502666,-0.164347,0.077741,-0.040569,-0.593325,-0.762876,-0.527623,1.198046,0.234357,1.057988,0.320435,-0.851497,-0.424244,-0.600874,1
-0.455912,-0.606612,-0.23343,-0.479773,-0.35875,-0.143136,-0.386492,-0.373608,-0.607719,-0.313516,-0.460867,-0.762876,0.076638,-0.797432,0.234357,-0.572745,-0.461579,-0.235102,-0.745166,-1.050735,1
-0.043731,0.133599,-0.23343,-0.375695,-0.113136,-0.143136,-0.386492,-0.164347,-0.264989,-0.420745,0.337778,1.641133,0.680899,0.930134,-0.641943,1.057988,1.10245,0.62739,0.859446,1.479984,1
-0.352867,0.873811,1.538906,-0.375695,-0.288575,-0.13167,-0.037969,-0.792131,-0.264989,0.123199,-0.149201,0.198728,-0.527623,1.522515,-0.366535,1.057988,1.884464,0.432812,1.180368,0.433954,1
-0.765048,-0.606612,-0.23343,0.040616,-0.849977,-0.154603,0.426728,-0.58287,-0.779084,1.597112,-0.721888,-0.762876,-0.527623,-0.797432,2.33748,-0.572745,-0.461579,-1.090694,-0.745166,-0.375876,1
-0.146777,-0.606612,-0.23343,-0.583851,0.027214,-0.10587,-0.502666,-0.373608,-0.607719,-0.586462,-0.21543,-0.762876,0.076638,-0.797432,-0.700363,-0.572745,-0.461579,-0.128646,-0.424244,-0.375876,1
-0.455912,3.834656,-0.23343,-0.271618,-0.007873,-0.154603,-0.037969,0.044915,-0.436354,-0.586462,-0.238805,0.439129,-0.527623,1.633839,0.024045,-0.572745,-0.461579,0.55149,-0.103321,-0.375876,1
-0.043731,-0.606612,4.197409,2.954792,-0.4991,-0.074337,3.447256,-0.373608,0.249106,-0.040569,-0.624492,-0.762876,-0.527623,-0.797432,0.534805,-0.572745,-0.461579,-0.980295,-0.745166,-0.713306,1
-0.352867,-0.606612,-0.23343,-0.687928,-0.428925,-0.13167,-0.502666,-0.58287,-0.607719,-0.245279,-0.554367,-0.762876,0.076638,-0.797432,-0.466685,-0.572745,-0.461579,-0.682218,-0.745166,-0.915763,1
-0.043731,-0.606612,-0.23343,-0.16754,0.202653,-0.091537,-0.502666,0.463438,-0.607719,-0.134151,0.540361,-0.762876,3.702206,-0.797432,-0.666983,-0.572745,-0.461579,1.027586,0.538524,0.973841,0
-0.043731,-0.606612,-0.23343,-0.16754,-0.4991,-0.091537,-0.386492,0.254176,0.420471,-0.274523,-0.519304,-0.762876,-0.527623,-0.797432,-0.441646,-0.572745,-0.461579,-0.800897,-0.424244,-0.207162,1
-0.455912,0.133599,-0.23343,-0.375695,-0.4991,-0.143136,-0.154143,-0.58287,-0.779084,-0.222533,-0.566054,0.03846,0.680899,1.384757,0.000675,-0.572745,-0.461579,-0.621499,-0.745166,-1.050735,1
-0.455912,-0.606612,-0.23343,-0.479773,-0.35875,-0.137403,-0.502666,-0.164347,-0.607719,-0.040569,-0.515409,-0.762876,-0.527623,-0.797432,-0.554314,-0.572745,-0.461579,-0.414501,-0.745166,-0.713306,1
0.36845,-0.606612,0.652738,2.850715,-0.288575,-0.028471,3.56343,-0.58287,0.763202,-0.070345,-0.141409,-0.762876,2.493683,-0.797432,-0.645131,-0.572745,-0.461579,-0.5249,-0.103321,-0.263445,1
-0.662003,-0.606612,-0.23343,-0.583851,-0.709626,-0.154603,-0.386492,-0.58287,-0.779084,-1.67825,-0.651763,1.641133,0.076638,-0.797432,1.285919,-0.572745,-0.461579,-0.649098,-0.745166,-1.050735,1
0.162359,0.133599,-0.23343,-0.16754,0.448266,-0.128803,-0.502666,0.463438,0.077741,-0.454124,0.548153,-0.762876,0.680899,1.358712,-0.934046,-0.572745,-0.461579,0.59841,0.217601,0.973841,1
-0.043731,-0.606612,4.197409,2.954792,-0.4991,-0.074337,3.447256,-0.373608,0.249106,-0.040569,-0.624492,-0.762876,-0.527623,-0.797432,0.534805,-0.572745,-0.461579,-0.980295,-0.745166,-0.713306,1
0.883676,0.873811,1.538906,0.144693,0.378091,-0.11447,-0.154143,0.463438,1.448662,-0.782643,0.333882,1.641133,-0.527623,0.96689,-0.466685,1.057988,8.140579,-0.27569,-0.424244,-0.45524,1
