wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max_cc,avg_cc,bug
-0.671185,0.447841,2.250753,0.736509,-0.707892,-0.260686,1.068126,-0.388817,-0.611426,0.542875,-0.429039,-1.306526,-0.338013,1.194507,0.945103,-1.025535,-0.925459,-0.442275,-0.338624,-0.335372,0
-0.526883,1.94382,-0.096775,-0.277544,-0.378591,-0.288488,-0.173043,-0.277014,-0.525602,-0.150963,-0.267236,-0.453055,-0.338013,1.679027,0.538089,0.902717,0.844298,-0.062353,-0.338624,-0.417461,0
-0.16613,0.447841,-0.096775,-0.217894,-0.228909,-0.160598,-0.173043,-0.165212,-0.182307,-0.286819,-0.256651,-0.026319,-0.338013,0.887643,-0.123316,0.902717,1.198249,-0.224957,-0.207678,-0.1438,0
-0.16613,0.447841,-0.096775,-0.158244,-0.198973,-0.160598,-0.173043,-0.053409,-0.182307,-0.286819,-0.264212,-0.026319,-0.338013,0.887643,-0.123316,0.902717,1.198249,-0.235715,-0.207678,-0.303475,0
-0.09398,0.447841,-0.096775,-0.217894,-0.228909,-0.104993,-0.173043,-0.165212,-0.096483,-0.311079,-0.236993,0.400417,-0.338013,0.794585,-0.123316,0.902717,1.198249,-0.221812,-0.207678,-0.291119,0
-0.815486,-1.048138,-0.096775,-0.098594,-0.588146,-0.288488,0.033818,-0.277014,-0.783074,-1.378524,-0.330747,1.253888,-0.338013,-1.066594,1.301244,-1.025535,-0.925459,0.160191,-0.338624,-0.463055,0
1.709786,0.447841,-0.096775,-0.158244,0.938613,0.731854,-0.241997,0.058394,2.049111,-0.217895,0.771628,1.083193,1.053936,-0.216927,-0.784047,0.902717,1.198249,0.044228,-0.207678,-0.194183,0
-0.310431,0.447841,-0.096775,-0.277544,-0.468401,-0.163378,-0.173043,-0.277014,-0.182307,0.276014,-0.370064,-0.026319,-0.338013,-0.097552,-0.550683,-1.025535,-0.925459,-0.364815,-0.338624,-0.335372,0
0.411075,0.447841,-0.096775,-0.158244,0.220138,-0.043828,-0.241997,0.058394,0.504283,-0.392542,0.07754,0.827151,0.009974,0.329289,-0.337,0.902717,1.198249,-0.052393,-0.207678,-0.239586,0
-0.16613,0.447841,-0.096775,-0.158244,-0.228909,-0.160598,-0.10409,-0.165212,-0.182307,-0.286819,-0.255139,-0.026319,-0.338013,0.887643,-0.123316,0.902717,1.198249,-0.222805,-0.207678,-0.1438,0
3.441401,0.447841,-0.096775,0.318958,2.345626,3.856825,0.033818,0.617407,3.765586,-0.018238,1.492936,-0.059146,-0.338013,-0.500149,-1.172348,0.902717,1.198249,0.024567,0.316104,0.242411,0
1.276882,-1.048138,0.294479,0.617209,1.058359,0.517777,0.585449,0.170196,0.504283,-0.009241,0.658215,1.253888,5.229786,-1.066594,-1.321115,-1.025535,-0.925459,0.066056,-0.076732,0.005914,0
-0.16613,0.447841,-0.096775,-0.217894,-0.228909,-0.138356,-0.173043,-0.165212,-0.182307,-0.024812,-0.268748,-0.666422,-0.338013,0.887643,0.410893,0.902717,1.198249,-0.246473,-0.207678,-0.303475,0
-0.382582,0.447841,-0.096775,-0.217894,-0.378591,-0.1884,-0.173043,-0.165212,-0.439778,0.302701,-0.33982,-1.306526,-0.338013,1.232508,0.707679,0.902717,1.198249,-0.290224,-0.207678,-0.356637,0
-0.16613,0.447841,-0.096775,-0.158244,-0.228909,-0.160598,-0.10409,-0.165212,-0.182307,-0.286819,-0.255139,-0.026319,-0.338013,0.887643,-0.123316,0.902717,1.198249,-0.222805,-0.207678,-0.1438,0
