wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max_cc,avg_cc,bug
-0.579899,0.940378,-0.233268,0.387832,-0.144458,-0.223696,-0.288279,1.153593,-0.542319,1.244282,-0.339525,-0.948098,-0.484243,0.99791,0.615813,0.994782,-0.015707,1.085213,0.714295,2.477736,0
0.09515,-1.026526,-0.233268,-0.646101,-0.088486,-0.225429,-0.349009,-0.745833,0.247619,-0.594587,-0.279147,-0.948098,0.049458,-1.244639,-0.254777,-0.84703,-0.670874,-0.405875,0.250847,0.271643,0
-0.273058,0.284743,0.916638,0.077652,-0.256402,-0.225429,0.197562,0.053926,-0.183256,-0.985835,-0.321996,1.169139,0.583158,0.877941,-0.420603,0.994782,0.202682,-0.195358,-0.212601,-0.160037,0
0.463359,0.284743,0.533336,0.904798,0.863033,-0.053864,0.501212,1.153593,0.606682,-0.29463,0.046111,1.169139,1.116858,0.503097,-1.064275,0.073876,0.202682,-0.29078,0.40533,0.306608,0
-0.641267,-1.026526,-0.233268,-0.749494,-0.816119,-0.225429,-0.409739,-0.845803,-0.614131,1.244282,-0.604406,-0.948098,-0.484243,-1.244639,2.066797,-0.84703,-0.670874,-0.718274,-0.521566,-0.272318,0
0.09515,-1.026526,-0.233268,-0.335921,0.415259,-0.152644,-0.166819,-0.345954,0.247619,-0.692399,0.065587,0.110521,-0.484243,-1.244639,-0.484385,-0.84703,-0.670874,-0.040039,0.096365,0.392567,0
-0.395795,-0.370892,-0.233268,-0.594404,-0.396331,-0.218497,-0.349009,-0.645863,-0.326881,-1.572708,-0.355106,1.169139,-0.484243,0.690817,-0.254777,-0.84703,-0.670874,-0.066346,0.096365,0.19912,0
-0.273058,0.284743,1.29994,-0.284224,-0.396331,-0.225429,-0.166819,-0.245984,-0.255069,-1.337959,-0.374582,1.169139,0.049458,0.95993,-0.144228,-0.84703,-0.670874,-0.294597,-0.367083,-0.272318,0
1.015672,-1.026526,-0.233268,0.284439,0.331302,-0.225429,0.744132,-0.745833,0.822119,-0.685877,2.657914,-0.815771,0.049458,-1.244639,-0.863037,-0.84703,-0.670874,0.839023,1.02326,1.299142,1
0.156518,-0.370892,-0.233268,0.801405,0.247344,-0.102387,-0.045359,1.653442,0.247619,-0.814287,-0.281095,1.169139,-0.484243,0.421535,-0.942652,0.994782,-0.015707,-0.428189,-0.367083,-0.272318,0
-0.457163,-1.026526,-0.233268,-0.335921,1.842539,-0.215031,-0.409739,-0.046044,-0.542319,1.244282,2.29565,-0.948098,-0.484243,-1.244639,-0.835171,-0.84703,-0.670874,9.207583,12.609455,16.228007,1
-0.579899,1.596012,-0.233268,-0.439314,-0.620218,-0.223696,-0.409739,-0.245984,-0.542319,1.244282,-0.540133,-0.948098,-0.484243,0.987556,1.099474,0.073876,0.63946,-0.29078,-0.521566,-0.665183,0
4.452288,-0.370892,10.882488,4.471866,2.654129,5.070566,5.116696,0.853684,4.699996,-0.28583,1.884695,0.63983,1.116858,0.045226,-1.452957,0.073876,1.949793,-0.341991,0.714295,0.167298,1
2.549876,-1.026526,-0.233268,0.491225,3.073918,1.552611,0.744132,0.053926,2.689245,-0.311878,1.738621,0.895948,1.116858,-1.244639,-1.388797,-0.84703,-0.670874,-0.15366,1.950156,0.26135,0
0.954304,0.284743,-0.233268,-0.180831,1.590666,0.1229,-0.106089,0.153895,1.037557,-0.468935,0.751161,1.169139,-0.484243,-0.234837,-1.139572,0.073876,-0.234096,-0.06318,-0.212601,-0.214095,1
-0.088954,-0.370892,-0.233268,-0.594404,-0.228416,-0.225429,-0.409739,-0.545893,0.032182,-0.633711,-0.370687,1.169139,0.049458,-0.048819,-0.448242,0.073876,0.421071,-0.432387,-0.058118,-0.036599,0
-0.579899,-1.026526,-0.233268,-0.439314,-0.172444,-0.223696,-0.166819,-0.445923,-0.542319,-0.164213,-0.37653,1.169139,0.583158,-1.244639,0.454591,-0.84703,-0.670874,0.804671,-0.521566,-0.665183,0
-0.641267,-1.026526,-0.233268,-0.594404,-0.816119,-0.225429,-0.227549,-0.845803,-0.685944,1.244282,-0.536238,-0.948098,-0.484243,-1.244639,-1.802493,-0.84703,-0.670874,0.029839,-0.676048,-1.058047,0
-0.334427,0.284743,-0.233268,0.542922,0.247344,-0.225429,-0.349009,1.553473,-0.326881,-1.00931,-0.214875,1.169139,0.583158,0.841184,-0.40525,0.073876,0.63946,0.141166,-0.212601,0.251528,0
-0.579899,1.596012,-0.233268,-0.439314,-0.620218,-0.223696,-0.409739,-0.245984,-0.542319,1.244282,-0.540133,-0.948098,-0.484243,0.987556,1.099474,0.073876,0.63946,-0.29078,-0.521566,-0.665183,0
-0.395795,0.284743,-0.233268,-0.025741,0.527203,-0.218497,-0.349009,0.553775,-0.398694,-0.868461,0.014948,1.169139,0.049458,0.885414,-0.409549,0.994782,0.421071,0.954293,1.332225,1.456288,0
-0.579899,-1.026526,-0.233268,-0.439314,-0.788133,-0.223696,-0.045359,-0.745833,-0.542319,1.244282,-0.602458,-0.948098,-0.484243,-1.244639,2.066797,-0.84703,-0.670874,-0.718274,-0.521566,-0.272318,0
-0.641267,0.940378,0.150034,-0.594404,-0.788133,-0.225429,-0.288279,-0.745833,-0.614131,1.244282,-0.598563,-0.948098,-0.484243,1.027417,2.066797,-0.84703,-0.670874,-0.638119,-0.676048,-1.058047,0
-0.027586,-0.370892,-0.233268,-0.491011,-0.116472,-0.225429,-0.166819,-0.645863,0.103994,-0.798036,-0.359001,0.110521,0.049458,0.080726,-0.219602,0.073876,-0.015707,-0.441375,-0.212601,0.013374,0
-0.395795,0.940378,-0.233268,0.232742,-0.312373,-0.208099,-0.409739,1.053624,-0.326881,1.244282,-0.440803,-0.948098,-0.484243,0.936535,-0.512731,1.915688,1.949793,-0.29078,-0.367083,-0.115172,0
-0.21169,0.940378,-0.233268,-0.232528,-0.172444,-0.197701,-0.045359,-0.146014,-0.111444,-0.767853,-0.417431,-0.948098,0.049458,0.951319,-0.641706,0.994782,0.202682,-0.424372,-0.212601,-0.174102,0
-0.518531,0.940378,-0.233268,0.129349,-0.452303,-0.225429,-0.409739,0.853684,-0.470506,-1.572708,-0.485599,1.169139,0.049458,0.981049,-0.082811,1.915688,2.168182,-0.201719,-0.521566,-0.534201,0
3.654502,-1.026526,0.533336,0.491225,3.381762,1.571674,0.076102,0.753714,2.761058,-0.335479,4.699054,0.332092,2.71796,-1.244639,-1.286589,-0.84703,-0.670874,0.263907,1.177743,0.126047,1
1.322513,0.940378,0.533336,1.421765,1.22685,0.66879,1.047782,1.053624,1.540245,-0.208229,0.562239,-0.948098,2.71796,0.576348,-1.130742,1.915688,5.662405,-0.264062,-0.367083,-0.15328,1
0.463359,-1.026526,-0.233268,-0.542707,0.471231,-0.126649,-0.349009,-0.545893,0.463057,-0.467431,0.16297,1.169139,-0.484243,-1.244639,-0.958814,-0.84703,-0.670874,-0.200782,-0.212601,-0.106922,1
-0.457163,-0.370892,-0.233268,-0.439314,-0.144458,-0.225429,-0.349009,-0.345954,-0.542319,-0.946711,-0.31031,-0.948098,0.583158,0.407766,0.373982,0.073876,0.202682,0.250266,-0.521566,-0.46875,0
-0.641267,-1.026526,-0.233268,-0.697797,-0.788133,-0.225429,-0.349009,-0.845803,-0.614131,1.244282,-0.582981,-0.948098,-0.484243,-1.244639,2.066797,-0.84703,-0.670874,-0.477809,-0.676048,-1.058047,0
-0.027586,-0.370892,-0.233268,-0.646101,-0.284388,-0.225429,-0.409739,-0.645863,0.103994,-0.77456,-0.372635,1.169139,0.049458,-0.108611,-0.483418,0.073876,0.421071,-0.460806,0.096365,0.013374,0
-0.027586,-0.370892,-0.233268,-0.491011,-0.116472,-0.225429,-0.409739,-0.345954,-0.111444,-0.633711,-0.078539,1.169139,1.116858,-0.108611,-0.606531,0.073876,0.421071,-0.101323,-0.058118,0.227721,0
-0.641267,-1.026526,-0.233268,-0.646101,-0.816119,-0.225429,-0.349009,-0.745833,-0.614131,1.244282,-0.604406,-0.948098,-0.484243,-1.244639,2.066797,-0.84703,-0.670874,-0.718274,-0.521566,-0.272318,0
-0.518531,0.284743,-0.233268,0.594619,0.163386,-0.22023,-0.349009,1.653442,-0.542319,1.244282,-0.129178,-0.948098,-0.484243,0.94907,0.132152,0.994782,0.202682,1.437005,1.641191,3.132485,0
2.856716,-1.026526,-0.233268,-0.077438,1.618652,-0.225429,-0.166819,0.153895,-0.326881,-0.61574,6.169533,0.014282,0.583158,-1.244639,-1.168731,-0.84703,-0.670874,0.85258,0.250847,0.107033,1
0.217887,-1.026526,-0.233268,0.387832,-0.116472,-0.223696,0.865592,-0.645863,0.319432,-0.793006,0.334363,1.169139,0.049458,-1.244639,-0.319267,-0.84703,-0.670874,0.108213,0.250847,0.880112,0
0.401991,-0.370892,-0.233268,1.525158,0.331302,0.039717,0.683402,2.153291,0.534869,1.244282,-0.084382,-0.948098,-0.484243,0.254918,-0.703805,0.994782,0.202682,-0.347186,-0.058118,-0.054042,0
-0.21169,0.284743,-0.233268,-0.697797,-0.256402,-0.176906,-0.349009,-0.845803,-0.183256,0.037,0.231138,-0.948098,-0.484243,0.702838,-0.931903,-0.84703,-0.670874,-0.254043,-0.367083,-0.370534,1
-0.518531,-1.026526,-0.233268,-0.542707,-0.592232,-0.223696,-0.166819,-0.845803,-0.542319,0.479324,0.529129,0.950115,-0.484243,-1.244639,0.132152,-0.84703,-0.670874,3.930715,-0.212601,-0.272318,0
-0.641267,0.940378,-0.233268,-0.749494,-0.788133,-0.225429,-0.409739,-0.845803,-0.614131,1.244282,-0.598563,-0.948098,-0.484243,1.027417,2.066797,-0.84703,-0.670874,-0.638119,-0.676048,-1.058047,0
-0.457163,-0.370892,-0.233268,-0.594404,-0.592232,-0.225429,-0.409739,-0.545893,-0.398694,-1.572708,-0.477808,-0.948098,0.049458,0.951683,0.373982,-0.84703,-0.670874,-0.310819,-0.521566,-0.861615,0
0.09515,0.940378,0.150034,0.025956,0.555189,-0.17344,-0.288279,0.453805,-0.039631,-0.751086,0.149336,1.169139,0.583158,0.900012,-0.909581,0.994782,0.63946,0.048337,0.559812,0.271643,0
-0.21169,0.284743,-0.233268,-0.025741,-0.088486,-0.225429,-0.409739,0.553775,-0.183256,-1.170281,-0.378478,1.169139,0.049458,0.94907,-0.754562,0.994782,0.421071,-0.357576,-0.367083,-0.272318,0
-0.395795,1.596012,-0.233268,-0.077438,-0.20043,-0.218497,-0.349009,0.453805,-0.470506,-0.516337,-0.117492,1.169139,0.583158,0.956965,-0.100006,0.073876,0.421071,0.574893,0.868778,1.299142,1
0.033782,2.907282,-0.233268,0.077652,0.135401,-0.215031,-0.227549,0.553775,-0.111444,-0.996506,-0.158393,1.169139,0.049458,0.868532,-0.673949,2.836594,2.168182,-0.237344,0.096365,0.251528,1
0.033782,2.907282,-0.233268,0.077652,0.135401,-0.215031,-0.227549,0.553775,-0.111444,-0.996506,-0.158393,1.169139,0.049458,0.868532,-0.673949,2.836594,2.168182,-0.237344,0.096365,0.251528,1
-0.334427,-1.026526,-0.233268,0.181045,-0.67619,-0.199434,0.561942,-0.545893,-0.255069,1.244282,-0.594667,-0.948098,-0.484243,-1.244639,0.132152,-0.84703,-0.670874,-0.718274,-0.521566,-0.272318,1
-0.457163,-0.370892,0.150034,-0.439314,-0.312373,-0.225429,-0.349009,-0.245984,-0.398694,-1.10321,-0.290833,1.169139,0.049458,0.626465,0.132152,0.073876,0.202682,0.330421,1.02326,1.495574,0
-0.027586,0.940378,-0.233268,0.439529,0.219358,-0.225429,-0.288279,1.353533,0.103994,-0.671271,0.133755,1.169139,1.116858,0.753675,-1.011049,0.994782,0.857849,0.16586,4.730843,2.727756,0
-0.395795,-0.370892,-0.233268,-0.646101,-0.340359,-0.208099,-0.288279,-0.845803,-0.326881,1.244282,-0.397954,-0.948098,-0.484243,0.774967,0.519081,0.073876,-0.234096,-0.17322,-0.058118,0.356266,0
-0.518531,2.907282,-0.233268,-0.491011,-0.67619,-0.22023,-0.349009,-0.445923,-0.614131,1.244282,-0.545976,-0.948098,-0.484243,0.993757,0.347114,1.915688,0.421071,-0.468903,-0.367083,-0.272318,0
-0.395795,0.940378,0.916638,0.232742,-0.256402,-0.225429,-0.227549,0.753714,-0.326881,-1.220584,-0.316153,1.169139,0.583158,0.958567,-0.383752,1.915688,2.386571,0.040527,-0.058118,-0.115172,0
-0.088954,-1.026526,-0.233268,2.145518,-0.340359,-0.195968,2.991144,-0.845803,0.032182,-0.477212,-0.399902,1.169139,-0.484243,-1.244639,-0.254777,0.073876,-0.452485,-0.475137,-0.367083,-0.272318,0
0.217887,-1.026526,-0.233268,-0.335921,-0.144458,-0.140513,-0.288279,-0.245984,0.175807,-0.398963,-0.335629,0.816266,1.116858,-1.244639,-0.996393,-0.84703,-0.670874,-0.508089,0.250847,-0.062764,0
-0.273058,-1.026526,-0.233268,-0.542707,-0.312373,-0.189037,-0.409739,-0.445923,-0.183256,1.244282,-0.298624,-0.948098,-0.484243,-1.244639,-0.32848,-0.84703,-0.670874,-0.141921,0.250847,0.962378,0
0.217887,-1.026526,-0.233268,0.387832,-0.116472,-0.223696,0.865592,-0.645863,0.319432,-0.793006,0.334363,1.169139,0.049458,-1.244639,-0.319267,-0.84703,-0.670874,0.108213,0.250847,0.880112,0
-0.150322,0.284743,-0.233268,0.284439,0.415259,-0.215031,-0.409739,1.153593,-0.111444,-1.044523,-0.183712,-0.948098,0.049458,0.938316,-0.881235,0.994782,0.421071,-0.103752,-0.367083,-0.272318,0
6.661541,-1.026526,-0.233268,-0.232528,3.297805,10.071955,-0.106089,-0.345954,7.787935,-0.44828,1.378305,-0.948098,0.049458,-1.244639,-1.083548,-0.84703,-0.670874,-0.518777,-0.058118,-0.128293,0
6.416068,-1.026526,-0.233268,2.352304,4.837028,8.325108,2.262383,3.952748,3.766433,-0.297189,5.063266,1.169139,2.71796,-1.244639,-1.40061,-0.84703,-0.670874,-0.080949,1.332225,0.574385,1
-0.518531,0.284743,-0.233268,-0.439314,-0.648204,-0.22023,-0.349009,-0.345954,-0.470506,1.244282,-0.524552,-0.948098,-0.484243,0.921739,1.421914,0.073876,0.63946,-0.370935,-0.521566,-0.534201,0
-0.21169,1.596012,-0.233268,-0.491011,-0.564246,-0.176906,-0.288279,-0.545893,-0.111444,1.244282,-0.545976,-0.948098,-0.484243,0.916198,-0.190288,1.915688,3.478516,-0.641458,-0.367083,-0.272318,0
-0.579899,0.284743,-0.233268,-0.232528,-0.536261,-0.223696,-0.349009,0.053926,-0.542319,1.244282,-0.530395,-0.948098,-0.484243,0.978025,0.777035,0.073876,-0.452485,-0.223985,-0.521566,-0.665183,0
-0.518531,-0.370892,-0.233268,-0.594404,-0.704176,-0.22023,-0.349009,-0.645863,-0.685944,1.244282,-0.55961,-0.948098,-0.484243,-0.108611,0.347114,-0.84703,-0.670874,-0.531245,-0.367083,-0.010434,0
-0.579899,-1.026526,-0.233268,-0.646101,-0.788133,-0.223696,-0.349009,-0.745833,-0.542319,1.244282,-0.602458,-0.948098,-0.484243,-1.244639,0.777035,-0.84703,-0.670874,-0.718274,-0.521566,-0.272318,0
0.156518,-1.026526,-0.233268,-0.542707,-0.452303,-0.067728,-0.166819,-0.845803,0.319432,1.244282,-0.579086,-0.948098,-0.484243,-1.244639,-0.743043,-0.84703,-0.670874,-0.718274,-0.521566,-0.272318,0
-0.641267,-1.026526,-0.233268,-0.594404,-0.816119,-0.225429,-0.349009,-0.645863,-0.614131,1.244282,-0.604406,-0.948098,-0.484243,-1.244639,2.066797,-0.84703,-0.670874,-0.718274,-0.521566,-0.272318,0
0.033782,-1.026526,-0.233268,-0.491011,-0.20043,-0.131848,-0.409739,-0.345954,0.175807,-0.932484,-0.335629,1.169139,0.049458,-1.244639,0.261127,-0.84703,-0.670874,-0.437731,-0.521566,-0.403299,0
-0.395795,-0.370892,-0.233268,-0.491011,-0.508275,-0.225429,-0.349009,-0.445923,-0.398694,-1.572708,-0.540133,-0.948098,-0.484243,0.459403,-0.254777,-0.84703,-0.670874,-0.568651,-0.521566,-0.429464,0
-0.273058,-0.370892,-0.233268,-0.697797,-0.480289,-0.225429,-0.349009,-0.845803,-0.183256,-1.572708,-0.191503,1.169139,-0.484243,0.309927,-0.47588,0.073876,-0.234096,0.064192,-0.521566,-0.384599,0
-0.150322,1.596012,0.533336,0.698012,-0.116472,-0.187304,-0.227549,1.753412,-0.039631,-0.516337,-0.298624,1.169139,0.049458,0.857545,-0.799345,1.915688,0.202682,-0.284843,-0.367083,-0.272318,0
-0.457163,0.284743,-0.233268,0.387832,-0.20043,-0.225429,-0.409739,1.353533,-0.470506,-1.10321,-0.382373,1.169139,-0.484243,0.91189,-0.254777,0.994782,0.421071,0.01648,-0.367083,-0.075885,0
-0.518531,1.596012,-0.233268,-0.491011,-0.67619,-0.223696,-0.349009,-0.445923,-0.542319,-0.868461,-0.551819,1.169139,-0.484243,1.011072,0.615813,0.994782,-0.015707,-0.504527,-0.367083,-0.534201,0
-0.518531,0.284743,-0.233268,0.594619,0.163386,-0.22023,-0.349009,1.653442,-0.542319,1.244282,-0.129178,-0.948098,-0.484243,0.94907,0.132152,0.994782,0.202682,1.437005,1.641191,3.132485,0
-0.518531,1.596012,-0.233268,-0.387618,-0.564246,-0.22023,-0.349009,-0.245984,-0.542319,1.244282,-0.528447,-0.948098,-0.484243,1.006282,0.454591,0.994782,0.202682,-0.388748,-0.521566,-0.534201,0
-0.641267,-1.026526,-0.233268,-0.749494,-0.788133,-0.225429,-0.409739,-0.845803,-0.614131,1.244282,-0.473913,-0.915016,-0.484243,-1.244639,2.066797,-0.84703,-0.670874,-0.638119,-0.676048,-1.058047,0
-0.088954,0.940378,-0.233268,-0.335921,-0.20043,-0.182105,-0.349009,-0.146014,0.032182,-0.79021,-0.438855,-0.948098,0.049458,0.812169,-0.719092,1.915688,4.133683,-0.517886,-0.367083,-0.272318,1
-0.395795,0.940378,-0.233268,-0.232528,-0.424317,-0.208099,-0.227549,-0.146014,-0.326881,1.244282,-0.485599,-0.948098,-0.484243,0.986293,0.519081,1.915688,0.857849,-0.413685,-0.212601,-0.115172,1
-0.21169,-1.026526,-0.233268,-0.387618,0.667132,-0.215031,-0.349009,-0.146014,-0.470506,-0.642096,0.17076,1.169139,-0.484243,-1.244639,-0.489697,-0.84703,-0.670874,0.560866,0.40533,0.808061,0
-0.457163,0.940378,-0.233268,0.232742,-0.368345,-0.225429,-0.409739,1.053624,-0.398694,-0.633711,-0.44275,1.169139,0.583158,0.958567,-0.35151,1.915688,1.076238,-0.197266,-0.367083,-0.272318,0
